date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2000226,-76.8,177.9,1,0,0,0,23,6
2000227,-76.6769,177.7604,0,0,0,0,0,0
2000228,-76.5557,177.623,0,0,0,0,0,0
2000229,-76.437,177.4888,0,0,0,0,0,0
2000230,-76.3214,177.3586,0,0,0,0,0,0
2000231,-76.2096,177.2331,0,0,0,0,0,0
2000232,-76.1023,177.1133,0,0,0,0,0,0
2000233,-76,177,1,0,0,0,23,6
2000239,0,0,0,-75.3561,176.7674,1,0,0
2000240,0,0,0,-75.2754,176.7853,1,0,0
2000241,0,0,0,-75.0423,175.1103,1,0,0
2000242,0,0,0,-74.9547,174.8268,1,0,0
2000243,0,0,0,-74.9145,174.8408,1,0,0
2000244,0,0,0,-74.8743,174.8547,1,0,0
2000245,0,0,0,-74.7973,175.0356,1,0,0
2000246,0,0,0,-74.7571,175.0489,1,0,0
2000247,-74.8,175.7,1,-74.634,174.9956,0,23,6
2000248,0,0,0,-74.5013,174.9423,1,0,0
2000249,0,0,0,-74.4428,175.0371,1,0,0
2000250,0,0,0,-74.3675,175.2867,1,0,0
2000251,0,0,0,-74.205,175.2615,1,0,0
2000252,0,0,0,-74.0409,175.1639,1,0,0
2000253,0,0,0,-74.0941,174.8522,1,0,0
2000254,0,0,0,-73.9755,174.9642,1,0,0
2000255,0,0,0,-73.9955,174.9578,1,0,0
2000256,0,0,0,-74.0905,174.7058,1,0,0
2000257,0,0,0,-74.0102,174.7328,1,0,0
2000258,0,0,0,-73.9737,174.8915,1,0,0
2000259,0,0,0,-73.95,174.7529,1,0,0
2000260,0,0,0,-73.97,174.7462,1,0,0
2000261,-73.9,174.9,1,-73.8822,174.4838,1,23,6
2000262,0,0,0,-73.8258,174.6486,1,0,0
2000263,0,0,0,-73.9424,174.4628,1,0,0
2000264,0,0,0,-73.8401,174.4257,1,0,0
2000265,0,0,0,-73.6978,174.4031,1,0,0
2000266,0,0,0,-73.6177,174.4309,1,0,0
2000267,0,0,0,-73.8277,174.7205,1,0,0
2000268,0,0,0,-73.2792,173.9108,1,0,0
2000269,0,0,0,-72.9551,174.0166,1,0,0
2000270,0,0,0,-72.9424,174.2277,1,0,0
2000271,0,0,0,-72.7679,173.8504,1,0,0
2000272,0,0,0,-72.8998,173.9195,1,0,0
2000273,0,0,0,-72.7183,173.6763,1,0,0
2000274,0,0,0,-72.7379,173.7291,1,0,0
2000275,0,0,0,-72.6963,173.6924,1,0,0
2000276,0,0,0,-72.5574,173.7357,1,0,0
2000277,0,0,0,-72.1636,172.7401,1,0,0
2000278,0,0,0,-72.0597,172.4588,1,0,0
2000279,0,0,0,-72.0068,172.2462,1,0,0
2000280,0,0,0,-71.8296,172.1404,1,0,0
2000281,0,0,0,-71.7073,172.0922,1,0,0
2000282,-71.45,171.55,1,-71.6332,172.1398,1,23,6
2000283,0,0,0,-71.6599,172.264,1,0,0
2000284,0,0,0,-71.6114,171.972,1,0,0
2000285,0,0,0,-71.4907,171.4708,1,0,0
2000286,0,0,0,-71.3397,171.162,1,0,0
2000287,0,0,0,-71.2597,171.134,1,0,0
2000288,0,0,0,-71.1961,171.0318,1,0,0
2000289,0,0,0,-71.2022,171.0331,1,0,0
2000290,0,0,0,-71.1372,170.7693,1,0,0
2000291,0,0,0,-71.0878,170.5586,1,0,0
2000292,0,0,0,-70.9196,169.9432,1,0,0
2000293,0,0,0,-70.8051,169.9468,1,0,0
2000294,0,0,0,-70.6588,169.7367,1,0,0
2000295,0,0,0,-70.9196,169.9432,1,0,0
2000296,-70.2,168.1,1,-70.6208,169.1234,1,18,2
2000297,-70.1588,167.9155,0,-70.5249,169.1212,1,0,0
2000298,-70.1186,167.7225,0,-70.5438,168.8228,1,0,0
2000299,-70.0812,167.5343,0,-70.5254,168.8337,1,0,0
2000300,-70.0486,167.3645,0,-70.1667,168.0822,1,0,0
2000301,-70.0229,167.2265,0,-70.1744,168.1905,1,0,0
2000302,-70.0061,167.1339,0,-70.1575,167.6919,1,0,0
2000303,-70,167.1,1,-70.1168,167.6615,1,18,2
2000304,0,0,0,-70.072,167.5774,1,0,0
2000305,0,0,0,-70.0736,167.8582,1,0,0
2000306,0,0,0,-69.9925,167.2914,1,0,0
2000307,0,0,0,-69.9659,167.1966,1,0,0
2000308,0,0,0,-69.9758,167.0776,1,0,0
2000309,0,0,0,-69.9575,167.0898,1,0,0
2000310,0,0,0,-69.9233,167.3929,1,0,0
2000311,0,0,0,-69.9233,167.3929,1,0,0
2000312,0,0,0,-69.8989,167.5765,1,0,0
2000313,0,0,0,-69.8989,167.5765,1,0,0
2000314,0,0,0,-69.9659,167.7016,1,0,0
2000315,0,0,0,-69.9619,167.6481,1,0,0
2000316,0,0,0,-69.9986,167.6247,1,0,0
2000317,-70,167.6,1,-69.9986,167.6247,1,18,2
2000318,-69.9945,167.6,0,-70.0129,167.5593,1,0,0
2000319,-69.9802,167.6,0,-70.0353,167.6011,1,0,0
2000320,-69.9606,167.6,0,-70.0026,167.6783,1,0,0
2000321,-69.9394,167.6,0,-69.9292,167.7249,1,0,0
2000322,-69.9198,167.6,0,-69.9004,167.7171,0,0,0
2000323,-69.9055,167.6,0,-69.8886,167.6948,1,0,0
2000324,-69.9,167.6,1,-69.9762,167.5829,1,18,2
2000325,0,0,0,-69.9498,167.4877,1,0,0
2000326,0,0,0,-69.9416,167.3809,1,0,0
2000327,0,0,0,-69.9375,167.3275,1,0,0
2000328,0,0,0,-69.8581,167.5467,1,0,0
2000329,0,0,0,-69.8295,167.6764,1,0,0
2000330,0,0,0,-69.8581,167.5467,1,0,0
2000331,0,0,0,-69.9539,167.5412,1,0,0
2000332,0,0,0,-69.9091,167.4581,1,0,0
2000333,0,0,0,-69.8926,167.245,1,0,0
2000334,0,0,0,-69.9491,166.9832,1,0,0
2000335,0,0,0,-69.8801,167.0854,1,0,0
2000336,0,0,0,-69.8435,167.1098,1,0,0
2000337,0,0,0,-69.8984,167.0732,1,0,0
2000338,-69.9,165.1,1,-69.9138,166.7826,1,18,2
2000339,0,0,0,-69.8833,166.4109,1,0,0
2000340,0,0,0,-69.8383,165.8819,1,0,0
2000341,0,0,0,-69.8287,165.5521,1,0,0
2000342,0,0,0,-69.9015,165.4976,1,0,0
2000343,0,0,0,-69.8328,165.3805,1,0,0
2000344,0,0,0,-69.8233,165.2752,1,0,0
2000345,0,0,0,-69.832,165.519,1,0,0
2000346,0,0,0,-69.7593,165.3952,1,0,0
2000347,0,0,0,-69.7593,165.3952,1,0,0
2000348,0,0,0,-69.7593,165.3952,1,0,0
2000349,0,0,0,-69.7593,165.3952,1,0,0
2000350,0,0,0,-69.7593,165.3952,1,0,0
2000351,0,0,0,-69.7593,165.3952,1,0,0
2000352,0,0,0,-69.7593,165.3952,1,0,0
2000353,0,0,0,-69.7322,164.752,1,0,0
2000354,0,0,0,-69.7322,164.752,1,0,0
2000355,0,0,0,-69.7322,164.752,1,0,0
2000356,0,0,0,-69.7322,164.752,1,0,0
2000357,0,0,0,-69.7322,164.752,1,0,0
2000358,0,0,0,-69.7322,164.752,1,0,0
2000359,0,0,0,-69.7322,164.752,1,0,0
2000360,0,0,0,-69.7322,164.752,1,0,0
2000361,0,0,0,-69.7322,164.752,1,0,0
2000362,0,0,0,-69.7322,164.752,1,0,0
2000363,0,0,0,-69.7322,164.752,1,0,0
2000364,0,0,0,-69.7322,164.752,1,0,0
2000365,0,0,0,-69.7322,164.752,1,0,0
2000366,0,0,0,-69.7322,164.752,1,0,0
2001001,0,0,0,-69.7322,164.752,1,0,0
2001002,0,0,0,-69.7322,164.752,1,0,0
2001003,0,0,0,-69.7322,164.752,1,0,0
2001004,0,0,0,-69.7322,164.752,1,0,0
2001005,0,0,0,-69.7322,164.752,1,0,0
2001013,0,0,0,-69.0245,158.5972,1,0,0
2001014,0,0,0,-69.0245,158.5972,1,0,0
2001015,0,0,0,-69.0242,158.6148,1,0,0
2001016,0,0,0,-69.0242,158.6148,1,0,0
2001017,0,0,0,-69.0242,158.6148,1,0,0
2001018,0,0,0,-69.0242,158.6148,1,0,0
2001019,0,0,0,-69.0913,158.4641,1,0,0
2001133,-69.1,158.4,1,0,0,0,16,2
2001134,-69.1,158.4,0,0,0,0,0,0
2001135,-69.1,158.4,0,0,0,0,0,0
2001136,-69.1,158.4,0,0,0,0,0,0
2001137,-69.1,158.4,0,0,0,0,0,0
2001138,-69.1,158.4,0,0,0,0,0,0
2001139,-69.1,158.4,0,0,0,0,0,0
2001140,-69.1,158.4,1,0,0,0,16,2
