ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2000345,-75,-179.4,1,0,0,0,0,0,0,0,0,0,29,8
0,0,0,2000347,0,0,0,0,0,0,-75,-179.4051,1,0,0,0,0,0
0,0,0,2000348,0,0,0,0,0,0,-75,-179.4051,1,0,0,0,0,0
0,0,0,2000349,0,0,0,0,0,0,-75,-179.4051,1,0,0,0,0,0
0,0,0,2000350,0,0,0,0,0,0,-75.0745,-179.5437,1,0,0,0,0,0
0,0,0,2000351,0,0,0,0,0,0,-75.0745,-179.5437,1,0,0,0,0,0
0,0,0,2000352,0,0,0,0,0,0,-75.1037,179.9688,1,0,0,0,0,0
0,0,0,2000353,0,0,0,0,0,0,-75.1037,179.9688,1,0,0,0,0,0
0,0,0,2000354,0,0,0,0,0,0,-75.1037,179.9688,1,0,0,0,0,0
0,0,0,2000355,0,0,0,0,0,0,-75.1013,179.6837,1,0,0,0,0,0
0,0,0,2000356,0,0,0,0,0,0,-75.1013,179.6837,1,0,0,0,0,0
0,0,0,2000357,0,0,0,0,0,0,-75.1013,179.6837,1,0,0,0,0,0
0,0,0,2000358,0,0,0,0,0,0,-75.1003,179.2867,1,0,0,0,0,0
0,0,0,2000359,-75.2,178.3,1,0,0,0,-75.1003,179.2867,1,0,0,0,29,8
0,0,0,2000360,0,0,0,0,0,0,-75.1003,179.2867,1,0,0,0,0,0
0,0,0,2000361,0,0,0,0,0,0,-75.1683,178.972,1,0,0,0,0,0
0,0,0,2000362,0,0,0,0,0,0,-75.1683,178.972,1,0,0,0,0,0
0,0,0,2000363,0,0,0,0,0,0,-75.1683,178.972,1,0,0,0,0,0
0,0,0,2000364,0,0,0,0,0,0,-75.2497,178.8578,1,0,0,0,0,0
0,0,0,2000365,0,0,0,0,0,0,-75.2497,178.8578,1,0,0,0,0,0
0,0,0,2000366,0,0,0,0,0,0,-75.2497,178.8578,1,0,0,0,0,0
0,0,0,2001001,0,0,0,0,0,0,-75.2497,178.8578,1,0,0,0,0,0
0,0,0,2001002,0,0,0,0,0,0,-75.2497,178.8578,1,0,0,0,0,0
0,0,0,2001003,0,0,0,0,0,0,-75.2497,178.8578,1,0,0,0,0,0
0,0,0,2001004,0,0,0,0,0,0,-75.2497,178.8578,1,0,0,0,0,0
0,0,0,2001005,0,0,0,0,0,0,-75.2545,178.5898,1,0,0,0,0,0
0,0,0,2001006,0,0,0,0,0,0,-75.2545,178.5898,1,0,0,0,0,0
0,0,0,2001007,0,0,0,0,0,0,-75.2545,178.5898,1,0,0,0,0,0
0,0,0,2001008,0,0,0,0,0,0,-75.2545,178.5898,1,0,0,0,0,0
0,0,0,2001009,0,0,0,0,0,0,-75.3806,178.4892,1,0,0,0,0,0
0,0,0,2001010,0,0,0,0,0,0,-75.3806,178.4892,1,0,0,0,0,0
0,0,0,2001011,0,0,0,0,0,0,-75.3806,178.4892,1,0,0,0,0,0
0,0,0,2001012,0,0,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001013,0,0,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001014,-75.5,178.9,1,0,0,0,-75.4036,178.9983,1,0,0,0,29,8
0,0,0,2001015,-75.5,178.9292,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001016,-75.5,178.9589,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001017,-75.5,178.9887,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001018,-75.5,179.0181,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001019,-75.5,179.0467,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001020,-75.5,179.0742,0,0,0,0,-75.4036,178.9983,1,0,0,0,0,0
0,0,0,2001021,-75.5,179.1,1,0,0,0,-75.4036,178.9983,1,0,0,0,29,8
0,0,0,2001022,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001023,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001024,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001025,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001026,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001027,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001028,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001029,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001030,0,0,0,0,0,0,-75.419,179.1194,1,0,0,0,0,0
0,0,0,2001031,0,0,0,0,0,0,-75.4075,179.1961,1,0,0,0,0,0
0,0,0,2001032,0,0,0,0,0,0,-75.4075,179.1961,1,0,0,0,0,0
0,0,0,2001033,0,0,0,0,0,0,-75.4075,179.1961,1,0,0,0,0,0
0,0,0,2001034,0,0,0,0,0,0,-75.4075,179.1961,1,0,0,0,0,0
0,0,0,2001035,-75.4,179.4,1,0,0,0,-75.3559,179.3842,1,0,0,0,29,8
0,0,0,2001036,-75.3872,179.3945,0,0,0,0,-75.3559,179.3842,1,0,0,0,0,0
0,0,0,2001037,-75.3701,179.3802,0,0,0,0,-75.3559,179.3842,1,0,0,0,0,0
0,0,0,2001038,-75.351,179.3606,0,0,0,0,-75.3559,179.3842,1,0,0,0,0,0
0,0,0,2001039,-75.3321,179.3394,0,0,0,0,-75.3559,179.3842,1,0,0,0,0,0
0,0,0,2001040,-75.3158,179.3198,0,0,0,0,-75.3559,179.3842,1,0,0,0,0,0
0,0,0,2001041,-75.3043,179.3055,0,0,0,0,-75.3559,179.3842,1,0,0,0,0,0
0,0,0,2001042,-75.3,179.3,1,0,0,0,-75.3559,179.3842,1,0,0,0,29,8
0,0,0,2001043,-75.3,179.3,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001044,-75.3,179.3,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001045,-75.3,179.3,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001046,-75.3,179.3,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001047,-75.3,179.3,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001048,-75.3,179.3,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001049,-75.3,179.3,1,0,0,0,-75.247,179.2757,1,0,0,0,29,8
0,0,0,2001050,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001051,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001052,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001053,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001054,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001055,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001056,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001057,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001058,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001059,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001060,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001061,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001062,0,0,0,0,0,0,-75.247,179.2757,1,0,0,0,0,0
0,0,0,2001063,-75.3,178.7,1,0,0,0,-75.247,179.2757,1,0,0,0,28,8
