ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2001119,-71,170.9,1,0,0,0,0,0,0,0,0,0,32,12
0,0,0,2001124,0,0,0,0,0,0,-71,170.9,1,0,0,0,0,0
0,0,0,2001125,0,0,0,0,0,0,-71.0188,170.6204,1,0,0,0,0,0
0,0,0,2001126,0,0,0,0,0,0,-71.0188,170.6204,1,0,0,0,0,0
0,0,0,2001127,0,0,0,0,0,0,-70.916,170.5112,1,0,0,0,0,0
0,0,0,2001128,0,0,0,0,0,0,-70.8685,170.4737,1,0,0,0,0,0
0,0,0,2001129,0,0,0,0,0,0,-70.8685,170.4737,1,0,0,0,0,0
0,0,0,2001130,0,0,0,0,0,0,-70.843,170.3316,1,0,0,0,0,0
0,0,0,2001131,0,0,0,0,0,0,-70.843,170.3316,1,0,0,0,0,0
0,0,0,2001132,0,0,0,0,0,0,-70.8038,170.1578,0,0,0,0,0,0
0,0,0,2001133,0,0,0,0,0,0,-70.7309,169.8351,0,0,0,0,0,0
0,0,0,2001134,0,0,0,0,0,0,-70.6917,169.6613,1,0,0,0,0,0
0,0,0,2001135,0,0,0,0,0,0,-70.6917,169.6613,1,0,0,0,0,0
0,0,0,2001136,0,0,0,0,0,0,-70.5839,169.3106,1,0,0,0,0,0
0,0,0,2001137,0,0,0,0,0,0,-70.4702,168.9263,1,0,0,0,0,0
0,0,0,2001138,0,0,0,0,0,0,-70.4702,168.9263,1,0,0,0,0,0
0,0,0,2001139,0,0,0,0,0,0,-70.4205,168.7827,1,0,0,0,0,0
0,0,0,2001140,0,0,0,0,0,0,-70.3562,168.5476,1,0,0,0,0,0
0,0,0,2001141,0,0,0,0,0,0,-70.3161,168.2237,1,0,0,0,0,0
0,0,0,2001142,0,0,0,0,0,0,-70.2781,167.9761,1,0,0,0,0,0
0,0,0,2001143,0,0,0,0,0,0,-70.1438,167.684,1,0,0,0,0,0
0,0,0,2001144,0,0,0,0,0,0,-70.0935,167.5151,1,0,0,0,0,0
0,0,0,2001145,0,0,0,0,0,0,-70.0246,167.185,1,0,0,0,0,0
0,0,0,2001146,0,0,0,0,0,0,-69.9988,167.0468,1,0,0,0,0,0
0,0,0,2001147,-69.9,166.8,1,0,0,0,-69.9351,167.0233,1,0,0,0,32,12
0,0,0,2001148,0,0,0,0,0,0,-69.9351,167.0233,1,0,0,0,0,0
0,0,0,2001149,0,0,0,0,0,0,-69.907,166.6676,1,0,0,0,0,0
0,0,0,2001150,0,0,0,0,0,0,-69.9046,166.3565,1,0,0,0,0,0
0,0,0,2001151,0,0,0,0,0,0,-69.9046,166.3565,1,0,0,0,0,0
0,0,0,2001152,0,0,0,0,0,0,-69.8589,165.7635,1,0,0,0,0,0
0,0,0,2001153,0,0,0,0,0,0,-69.8189,165.487,1,0,0,0,0,0
0,0,0,2001154,0,0,0,0,0,0,-69.8189,165.487,1,0,0,0,0,0
0,0,0,2001155,0,0,0,0,0,0,-69.7805,165.3755,1,0,0,0,0,0
0,0,0,2001156,0,0,0,0,0,0,-69.7634,165.1569,1,0,0,0,0,0
0,0,0,2001157,0,0,0,0,0,0,-69.7634,165.1569,1,0,0,0,0,0
0,0,0,2001158,0,0,0,0,0,0,-69.7634,165.1569,1,0,0,0,0,0
0,0,0,2001159,0,0,0,0,0,0,-69.7634,165.1569,1,0,0,0,0,0
0,0,0,2001160,0,0,0,0,0,0,-69.7269,165.0144,1,0,0,0,0,0
0,0,0,2001161,-69.5,163.3,1,0,0,0,-69.7317,164.787,1,0,0,0,32,12
0,0,0,2001162,0,0,0,0,0,0,-69.6891,164.695,1,0,0,0,0,0
0,0,0,2001163,0,0,0,0,0,0,-69.6891,164.695,1,0,0,0,0,0
0,0,0,2001164,0,0,0,0,0,0,-69.6374,164.213,1,0,0,0,0,0
0,0,0,2001165,0,0,0,0,0,0,-69.6374,164.213,1,0,0,0,0,0
0,0,0,2001166,0,0,0,0,0,0,-69.6255,163.9638,1,0,0,0,0,0
0,0,0,2001167,0,0,0,0,0,0,-69.6255,163.9638,1,0,0,0,0,0
0,0,0,2001168,0,0,0,0,0,0,-69.5394,163.477,1,0,0,0,0,0
0,0,0,2001169,0,0,0,0,0,0,-69.5394,163.477,1,0,0,0,0,0
0,0,0,2001170,0,0,0,0,0,0,-69.5394,163.477,1,0,0,0,0,0
0,0,0,2001171,0,0,0,0,0,0,-69.5018,163.2889,1,0,0,0,0,0
0,0,0,2001172,0,0,0,0,0,0,-69.4365,162.7749,1,0,0,0,0,0
0,0,0,2001173,0,0,0,0,0,0,-69.4365,162.7749,1,0,0,0,0,0
0,0,0,2001174,0,0,0,0,0,0,-69.3876,162.3574,1,0,0,0,0,0
0,0,0,2001175,0,0,0,0,0,0,-69.293,161.8055,1,0,0,0,0,0
0,0,0,2001176,0,0,0,0,0,0,-69.2551,161.57,1,0,0,0,0,0
0,0,0,2001177,0,0,0,0,0,0,-69.202,161.2576,1,0,0,0,0,0
0,0,0,2001178,0,0,0,0,0,0,-69.0926,161.053,1,0,0,0,0,0
0,0,0,2001179,0,0,0,0,0,0,-69.0633,160.8537,1,0,0,0,0,0
0,0,0,2001180,0,0,0,0,0,0,-68.981,160.8317,1,0,0,0,0,0
0,0,0,2001181,0,0,0,0,0,0,-68.981,160.8317,1,0,0,0,0,0
0,0,0,2001182,0,0,0,0,0,0,-68.9343,160.5607,1,0,0,0,0,0
0,0,0,2001183,0,0,0,0,0,0,-68.9343,160.5607,1,0,0,0,0,0
0,0,0,2001184,0,0,0,0,0,0,-68.7604,160.5491,1,0,0,0,0,0
0,0,0,2001185,0,0,0,0,0,0,-68.765,160.3481,1,0,0,0,0,0
0,0,0,2001186,0,0,0,0,0,0,-68.7408,160.2052,1,0,0,0,0,0
0,0,0,2001187,0,0,0,0,0,0,-68.7408,160.2052,1,0,0,0,0,0
0,0,0,2001188,0,0,0,0,0,0,-68.7503,160.1783,0,0,0,0,0,0
0,0,0,2001189,-68.8,159.9,1,0,0,0,-68.768,160.1093,0,0,0,0,32,12
0,0,0,2001190,0,0,0,0,0,0,-68.7775,160.0159,1,0,0,0,0,0
0,0,0,2001191,0,0,0,0,0,0,-68.7436,159.8452,1,0,0,0,0,0
0,0,0,2001192,0,0,0,0,0,0,-68.7436,159.8452,1,0,0,0,0,0
0,0,0,2001193,0,0,0,0,0,0,-68.7495,159.6499,1,0,0,0,0,0
0,0,0,2001194,0,0,0,0,0,0,-68.7411,159.5494,1,0,0,0,0,0
0,0,0,2001195,0,0,0,0,0,0,-68.7411,159.5494,1,0,0,0,0,0
0,0,0,2001196,0,0,0,0,0,0,-68.7411,159.5494,1,0,0,0,0,0
0,0,0,2001197,0,0,0,0,0,0,-68.7373,159.3273,1,0,0,0,0,0
0,0,0,2001198,0,0,0,0,0,0,-68.7402,159.0001,1,0,0,0,0,0
0,0,0,2001199,0,0,0,0,0,0,-68.7411,158.8167,1,0,0,0,0,0
0,0,0,2001200,0,0,0,0,0,0,-68.7477,158.6555,1,0,0,0,0,0
0,0,0,2001201,0,0,0,0,0,0,-68.7335,158.5389,1,0,0,0,0,0
0,0,0,2001202,0,0,0,0,0,0,-68.7091,158.4255,1,0,0,0,0,0
0,0,0,2001203,-68.7,158.5,1,0,0,0,-68.7091,158.4255,1,0,0,0,32,12
0,0,0,2001204,-68.7055,158.5055,0,0,0,0,-68.7188,158.4164,1,0,0,0,0,0
0,0,0,2001205,-68.7198,158.5198,0,0,0,0,-68.7188,158.4164,1,0,0,0,0,0
0,0,0,2001206,-68.7394,158.5394,0,0,0,0,-68.7471,158.5778,1,0,0,0,0,0
0,0,0,2001207,-68.7606,158.5606,0,0,0,0,-68.7471,158.5778,1,0,0,0,0,0
0,0,0,2001208,-68.7802,158.5802,0,0,0,0,-68.7471,158.5778,1,0,0,0,0,0
0,0,0,2001209,-68.7945,158.5945,0,0,0,0,-68.7471,158.5778,1,0,0,0,0,0
0,0,0,2001210,-68.8,158.6,1,0,0,0,-68.7471,158.5778,1,0,0,0,32,12
