ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2004004,-76.7,166.8,1,0,0,0,0,0,0,32,5
0,0,0,2004032,-76.6,166.9,1,0,0,0,0,0,0,32,5
0,0,0,2004050,0,0,0,0,0,0,-76.4833,166.7833,1,0,0
0,0,0,2004051,0,0,0,0,0,0,-76.4833,166.7833,1,0,0
0,0,0,2004052,0,0,0,0,0,0,-76.4833,166.7833,1,0,0
0,0,0,2004053,0,0,0,0,0,0,-76.4833,166.7833,1,0,0
0,0,0,2004054,0,0,0,0,0,0,-76.4833,166.7833,1,0,0
0,0,0,2004055,0,0,0,0,0,0,-76.6195,166.7779,1,0,0
0,0,0,2004056,0,0,0,0,0,0,-76.6195,166.7779,1,0,0
0,0,0,2004057,0,0,0,0,0,0,-76.6195,166.7779,1,0,0
0,0,0,2004058,0,0,0,0,0,0,-76.6195,166.7779,1,0,0
0,0,0,2004059,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004060,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004061,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004062,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004063,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004064,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004065,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004066,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004067,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004068,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004069,0,0,0,0,0,0,-76.5992,166.8544,1,0,0
0,0,0,2004070,0,0,0,0,0,0,-76.6116,167.0336,1,0,0
0,0,0,2004071,0,0,0,0,0,0,-76.6116,167.0336,1,0,0
0,0,0,2004072,0,0,0,0,0,0,-76.6116,167.0336,1,0,0
0,0,0,2004073,0,0,0,0,0,0,-76.6116,167.0336,1,0,0
0,0,0,2004074,-76.7,167,1,0,0,0,-76.6116,167.0336,1,32,5
0,0,0,2004075,0,0,0,0,0,0,-76.6116,167.0336,1,0,0
0,0,0,2004076,0,0,0,0,0,0,-76.6528,167.0705,1,0,0
0,0,0,2004077,0,0,0,0,0,0,-76.6528,167.0705,1,0,0
0,0,0,2004078,0,0,0,0,0,0,-76.6528,167.0705,1,0,0
0,0,0,2004079,0,0,0,0,0,0,-76.6528,167.0705,1,0,0
0,0,0,2004080,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004081,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004082,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004083,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004084,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004085,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004086,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004087,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004088,-76.7,166.9,1,0,0,0,-76.6992,167.0121,1,32,5
0,0,0,2004089,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004090,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004091,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004092,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004093,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004094,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004095,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004096,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004097,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004098,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004099,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004100,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004101,0,0,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004102,-76.62,166.9,1,0,0,0,-76.6992,167.0121,1,32,5
0,0,0,2004103,-76.62,166.9,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004104,-76.62,166.9,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004105,-76.62,166.9,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004106,-76.62,166.9,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004107,-76.62,166.9,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004108,-76.62,166.9,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004109,-76.62,166.9,1,0,0,0,-76.6992,167.0121,1,32,5
0,0,0,2004110,-76.62,166.8961,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004111,-76.62,166.8861,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004112,-76.62,166.8724,0,0,0,0,-76.6992,167.0121,1,0,0
0,0,0,2004113,-76.62,166.8576,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004114,-76.62,166.8439,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004115,-76.62,166.8339,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004116,-76.62,166.83,1,0,0,0,-76.6422,166.9329,1,32,5
0,0,0,2004117,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004118,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004119,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004120,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004121,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004122,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004123,-76.62,166.83,1,0,0,0,-76.6422,166.9329,1,32,5
0,0,0,2004124,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004125,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004126,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004127,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004128,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004129,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004130,-76.62,166.83,1,0,0,0,-76.6422,166.9329,1,32,5
0,0,0,2004131,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004132,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004133,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004134,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004135,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
0,0,0,2004136,-76.62,166.83,0,0,0,0,-76.6422,166.9329,1,0,0
