date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2006043,-68.72,157.8,1,0,0,0,14,3
2006044,-68.6971,157.7567,0,0,0,0,0,0
2006045,-68.6761,157.7098,0,0,0,0,0,0
2006046,-68.6576,157.6595,0,0,0,0,0,0
2006047,-68.642,157.6062,0,0,0,0,0,0
2006048,-68.6302,157.55,0,0,0,0,0,0
2006049,-68.6227,157.4912,0,0,0,0,0,0
2006050,-68.62,157.43,1,0,0,0,14,3
2006051,-68.6217,157.3668,0,0,0,0,0,0
2006052,-68.6259,157.3011,0,0,0,0,0,0
2006053,-68.6318,157.2318,0,0,0,0,0,0
2006054,-68.6382,157.1581,0,0,0,0,0,0
2006055,-68.6441,157.0788,0,0,0,0,0,0
2006056,-68.6483,156.9931,0,0,0,0,0,0
2006057,-68.65,156.9,1,0,0,0,14,3
2006058,-68.6477,156.7928,0,0,0,0,0,0
2006059,-68.6414,156.6684,0,0,0,0,0,0
2006060,-68.632,156.5316,0,0,0,0,0,0
2006061,-68.6203,156.3868,0,0,0,0,0,0
2006062,-68.6071,156.2386,0,0,0,0,0,0
2006063,-68.5934,156.0915,0,0,0,0,0,0
2006064,-68.58,155.95,1,0,0,0,14,3
2006065,-68.565,155.8051,0,0,0,0,0,0
2006066,-68.5467,155.6496,0,0,0,0,0,0
2006067,-68.5265,155.4912,0,0,0,0,0,0
2006068,-68.5055,155.3374,0,0,0,0,0,0
2006069,-68.4849,155.1959,0,0,0,0,0,0
2006070,-68.466,155.0743,0,0,0,0,0,0
2006071,-68.45,154.98,1,0,0,0,14,3
2006072,-68.437,154.909,0,0,0,0,0,0
2006073,-68.4258,154.8496,0,0,0,0,0,0
2006074,-68.4156,154.7981,0,0,0,0,0,0
2006075,-68.4057,154.7511,0,0,0,0,0,0
2006076,-68.3953,154.7048,0,0,0,0,0,0
2006077,-68.3837,154.6556,0,0,0,0,0,0
2006078,-68.37,154.6,1,0,0,0,14,3
2006079,-68.3521,154.5349,0,0,0,0,0,0
2006080,-68.3294,154.4625,0,0,0,0,0,0
2006081,-68.3042,154.3867,0,0,0,0,0,0
2006082,-68.2786,154.3115,0,0,0,0,0,0
2006083,-68.2546,154.241,0,0,0,0,0,0
2006084,-68.2344,154.1792,0,0,0,0,0,0
2006085,-68.22,154.13,1,0,0,0,14,3
2006086,-68.2094,154.0879,0,0,0,0,0,0
2006087,-68.1992,154.0461,0,0,0,0,0,0
2006088,-68.1898,154.0067,0,0,0,0,0,0
2006089,-68.1818,153.9722,0,0,0,0,0,0
2006090,-68.1755,153.9447,0,0,0,0,0,0
2006091,-68.1715,153.9266,0,0,0,0,0,0
2006092,-68.17,153.92,1,0,0,0,14,3
2006093,-68.1703,153.9355,0,0,0,0,0,0
2006094,-68.1712,153.9755,0,0,0,0,0,0
2006095,-68.1725,154.0302,0,0,0,0,0,0
2006096,-68.1742,154.0898,0,0,0,0,0,0
2006097,-68.1761,154.1445,0,0,0,0,0,0
2006098,-68.178,154.1845,0,0,0,0,0,0
2006099,-68.18,154.2,1,0,0,0,14,3
2006100,-68.1825,154.0689,0,0,0,0,0,0
