ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2006176,-65.53,84.28,1,0,0,0,0,0,0,31,5
0,0,0,2006190,-65.7,83.25,1,0,0,0,0,0,0,31,5
0,0,0,2006204,-65.3,81.37,1,0,0,0,0,0,0,31,5
0,0,0,2006205,-65.3061,81.2046,0,0,0,0,0,0,0,0,0
0,0,0,2006206,-65.3227,81.022,0,0,0,0,0,0,0,0,0
0,0,0,2006207,-65.3475,80.8307,0,0,0,0,0,0,0,0,0
0,0,0,2006208,-65.3781,80.6393,0,0,0,0,0,0,0,0,0
0,0,0,2006209,-65.4119,80.4563,0,0,0,0,0,0,0,0,0
0,0,0,2006210,-65.4467,80.2904,0,0,0,0,0,0,0,0,0
0,0,0,2006211,-65.48,80.15,1,0,0,0,0,0,0,31,5
0,0,0,2006212,-65.5162,80.0308,0,0,0,0,0,0,0,0,0
0,0,0,2006213,-65.5594,79.9215,0,0,0,0,0,0,0,0,0
0,0,0,2006214,-65.6064,79.8206,0,0,0,0,0,0,0,0,0
0,0,0,2006215,-65.6541,79.7266,0,0,0,0,0,0,0,0,0
0,0,0,2006216,-65.6993,79.6379,0,0,0,0,0,0,0,0,0
0,0,0,2006217,-65.739,79.5529,0,0,0,0,0,0,0,0,0
0,0,0,2006218,-65.77,79.47,1,0,0,0,0,0,0,31,5
0,0,0,2006219,-65.7932,79.3932,0,0,0,0,0,0,0,0,0
0,0,0,2006220,-65.8123,79.3247,0,0,0,0,0,0,0,0,0
0,0,0,2006221,-65.8289,79.2607,0,0,0,0,0,0,0,0,0
0,0,0,2006222,-65.8446,79.1971,0,0,0,0,0,0,0,0,0
0,0,0,2006223,-65.8606,79.1301,0,0,0,0,0,0,0,0,0
0,0,0,2006224,-65.8786,79.0557,0,0,0,0,0,0,0,0,0
0,0,0,2006225,-65.9,78.97,1,0,0,0,0,0,0,31,5
0,0,0,2006239,-66.4,76.9,1,0,0,0,0,0,0,31,5
0,0,0,2006253,-66.75,75.72,1,0,0,0,0,0,0,31,5
0,0,0,2006254,-66.793,75.6586,0,0,0,0,0,0,0,0,0
0,0,0,2006255,-66.8479,75.6007,0,0,0,0,0,0,0,0,0
0,0,0,2006256,-66.9095,75.546,0,0,0,0,0,0,0,0,0
0,0,0,2006257,-66.9727,75.494,0,0,0,0,0,0,0,0,0
0,0,0,2006258,-67.0323,75.4442,0,0,0,0,0,0,0,0,0
0,0,0,2006259,-67.0831,75.3964,0,0,0,0,0,0,0,0,0
0,0,0,2006260,-67.12,75.35,1,0,0,0,0,0,0,31,5
0,0,0,2006274,-67.37,74.8,1,0,0,0,0,0,0,31,5
0,0,0,2006288,-67.305,74.505,1,0,0,0,0,0,0,22,5
0,0,0,2006295,-66.51,65.77,1,0,0,0,0,0,0,22,5
0,0,0,2006309,-67.35,74.9,1,0,0,0,0,0,0,22,5
0,0,0,2006310,-67.3489,74.8889,0,0,0,0,0,0,0,0,0
0,0,0,2006311,-67.346,74.8603,0,0,0,0,0,0,0,0,0
0,0,0,2006312,-67.3421,74.8213,0,0,0,0,0,0,0,0,0
0,0,0,2006313,-67.3379,74.7787,0,0,0,0,0,0,0,0,0
0,0,0,2006314,-67.334,74.7397,0,0,0,0,0,0,0,0,0
0,0,0,2006315,-67.3311,74.7111,0,0,0,0,0,0,0,0,0
0,0,0,2006316,-67.33,74.7,1,0,0,0,0,0,0,22,5
0,0,0,2006317,-67.3347,74.72,0,0,0,0,0,0,0,0,0
0,0,0,2006318,-67.3469,74.7726,0,0,0,0,0,0,0,0,0
0,0,0,2006319,-67.3635,74.8469,0,0,0,0,0,0,0,0,0
0,0,0,2006320,-67.3815,74.9317,0,0,0,0,0,0,0,0,0
0,0,0,2006321,-67.3981,75.0162,0,0,0,0,0,0,0,0,0
0,0,0,2006322,-67.4103,75.0893,0,0,0,0,0,0,0,0,0
0,0,0,2006323,-67.415,75.14,1,0,0,0,0,0,0,22,5
0,0,0,2006351,-67.35,75.75,1,0,0,0,0,0,0,22,5
0,0,0,2006352,-67.3465,75.7736,0,0,0,0,0,0,0,0,0
0,0,0,2006353,-67.3426,75.7969,0,0,0,0,0,0,0,0,0
0,0,0,2006354,-67.3383,75.8205,0,0,0,0,0,0,0,0,0
0,0,0,2006355,-67.3338,75.845,0,0,0,0,0,0,0,0,0
0,0,0,2006356,-67.3292,75.871,0,0,0,0,0,0,0,0,0
0,0,0,2006357,-67.3245,75.8992,0,0,0,0,0,0,0,0,0
0,0,0,2006358,-67.32,75.93,1,0,0,0,0,0,0,22,5
0,0,0,2007014,-67.22,77.03,1,0,0,0,0,0,0,22,5
0,0,0,2007015,-67.2222,77.0902,0,0,0,0,0,0,0,0,0
0,0,0,2007016,-67.2281,77.1563,0,0,0,0,0,0,0,0,0
0,0,0,2007017,-67.2368,77.2247,0,0,0,0,0,0,0,0,0
0,0,0,2007018,-67.2473,77.292,0,0,0,0,0,0,0,0,0
0,0,0,2007019,-67.2587,77.3543,0,0,0,0,0,0,0,0,0
0,0,0,2007020,-67.2699,77.4082,0,0,0,0,0,0,0,0,0
0,0,0,2007021,-67.28,77.45,1,0,0,0,0,0,0,22,5
0,0,0,2007022,-67.2907,77.4826,0,0,0,0,0,0,0,0,0
0,0,0,2007023,-67.3033,77.5116,0,0,0,0,0,0,0,0,0
