ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2007357,-67.32,77.93,1,0,0,0,0,0,0,22,5
0,0,0,2007358,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2007359,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2007360,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2007361,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2007362,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2007363,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2007364,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2007365,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008001,-67.32,77.93,1,0,0,0,0,0,0,0,0
0,0,0,2008002,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008003,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008004,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008005,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008006,-67.32,77.93,1,0,0,0,0,0,0,22,5
0,0,0,2008007,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008008,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008009,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008010,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008011,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008012,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008013,-67.32,77.93,1,0,0,0,0,0,0,22,5
0,0,0,2008014,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008015,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008016,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008017,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008018,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008019,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008020,-67.32,77.93,1,0,0,0,0,0,0,22,5
0,0,0,2008021,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008022,-67.32,77.93,0,0,0,0,0,0,0,0,0
0,0,0,2008023,-67.32,77.93,0,0,0,0,0,0,0,0,0
