date,nic_1,nic_2,nic_3,size_1,size_2
2011240,-55.37,84.18,1,11,3
2011241,-55.451,84.1467,0,0,0
2011242,-55.5313,84.1228,0,0,0
2011243,-55.6107,84.1068,0,0,0
2011244,-55.6893,84.0971,0,0,0
2011245,-55.767,84.0921,0,0,0
2011246,-55.844,84.0903,0,0,0
2011247,-55.92,84.09,1,11,2
2011248,-56.0038,84.1234,0,0,0
2011249,-56.0983,84.2131,0,0,0
2011250,-56.1948,84.3427,0,0,0
2011251,-56.2848,84.4964,0,0,0
2011252,-56.3598,84.6578,0,0,0
2011253,-56.411,84.8111,0,0,0
2011254,-56.43,84.94,1,11,2
2011255,-56.4148,85.0536,0,0,0
2011256,-56.3726,85.1695,0,0,0
2011257,-56.3087,85.284,0,0,0
2011258,-56.2283,85.3938,0,0,0
2011259,-56.1365,85.4954,0,0,0
2011260,-56.0387,85.5853,0,0,0
2011261,-55.94,85.66,1,10,2
2011262,-55.8211,85.7273,0,0,0
2011263,-55.6675,85.7947,0,0,0
2011264,-55.4918,85.8585,0,0,0
2011265,-55.3066,85.9147,0,0,0
2011266,-55.1245,85.9595,0,0,0
2011267,-54.9581,85.9892,0,0,0
2011268,-54.82,86,1,10,2
2011269,-54.7027,85.9797,0,0,0
2011270,-54.5909,85.9213,0,0,0
2011271,-54.4857,85.8289,0,0,0
2011272,-54.388,85.7066,0,0,0
2011273,-54.2988,85.5583,0,0,0
2011274,-54.2192,85.3881,0,0,0
2011275,-54.15,85.2,1,10,2
