ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2002024,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002025,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002026,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002027,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002028,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002029,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002030,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002031,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002032,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002033,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002034,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002035,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002036,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002037,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002038,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002039,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002040,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002041,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002042,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002043,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002044,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002045,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002046,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
0,0,0,2002047,0,0,0,0,0,0,-74.7,-102.97,1,0,0,0,0,0
