date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2003005,-72,-114.2,1,0,0,0,0,0,0,21,6
2003006,-71.9443,-114.7163,0,0,0,0,0,0,0,0,0
2003007,-71.8984,-115.2064,0,0,0,0,0,0,0,0,0
2003008,-71.8618,-115.6571,0,0,0,0,0,0,0,0,0
2003009,-71.8341,-116.055,0,0,0,0,0,0,0,0,0
2003010,-71.8149,-116.387,0,0,0,0,0,0,0,0,0
2003011,-71.8036,-116.6397,0,0,0,0,0,0,0,0,0
2003012,-71.8,-116.8,1,0,0,0,0,0,0,21,6
2003013,-71.8138,-116.8981,0,0,0,0,0,0,0,0,0
2003014,-71.8496,-116.9766,0,0,0,0,0,0,0,0,0
2003015,-71.8984,-117.0404,0,0,0,0,0,0,0,0,0
2003016,-71.9516,-117.0947,0,0,0,0,0,0,0,0,0
2003017,-72.0004,-117.1444,0,0,0,0,0,0,0,0,0
2003018,-72.0362,-117.1945,0,0,0,0,0,0,0,0,0
2003019,-72.05,-117.25,1,0,0,0,0,0,0,21,6
2003040,-71.5,-118.4,1,0,0,0,0,0,0,21,6
2003041,-71.5199,-118.4,0,0,0,0,0,0,0,0,0
2003042,-71.5732,-118.4,0,0,0,0,0,0,0,0,0
2003043,-71.6501,-118.4,0,0,0,0,0,0,0,0,0
2003044,-71.741,-118.4,0,0,0,0,0,0,0,0,0
2003045,-71.8361,-118.4,0,0,0,0,0,0,0,0,0
2003046,-71.9257,-118.4,0,0,0,0,0,0,0,0,0
2003047,-72,-118.4,1,0,0,0,0,0,0,21,6
2003048,-72.0688,-118.4028,0,0,0,0,0,0,0,0,0
2003049,-72.1441,-118.4107,0,0,0,0,0,0,0,0,0
2003050,-72.2196,-118.423,0,0,0,0,0,0,0,0,0
2003051,-72.2892,-118.4388,0,0,0,0,0,0,0,0,0
2003052,-72.3466,-118.4574,0,0,0,0,0,0,0,0,0
2003053,-72.3856,-118.4781,0,0,0,0,0,0,0,0,0
2003054,-72.4,-118.5,1,0,0,0,0,0,0,21,6
2003068,-71.85,-119.55,1,0,0,0,0,0,0,21,6
2003069,-71.886,-119.676,0,0,0,0,0,0,0,0,0
2003070,-71.9789,-119.8402,0,0,0,0,0,0,0,0,0
2003071,-72.1058,-120.0217,0,0,0,0,0,0,0,0,0
2003072,-72.2442,-120.1994,0,0,0,0,0,0,0,0,0
2003073,-72.3711,-120.3524,0,0,0,0,0,0,0,0,0
2003074,-72.464,-120.4596,0,0,0,0,0,0,0,0,0
2003075,-72.5,-120.5,1,0,0,0,0,0,0,21,6
2003076,-72.4533,-120.4889,0,0,0,0,0,0,0,0,0
2003077,-72.3321,-120.4603,0,0,0,0,0,0,0,0,0
2003078,-72.1647,-120.4213,0,0,0,0,0,0,0,0,0
2003079,-71.9794,-120.3787,0,0,0,0,0,0,0,0,0
2003080,-71.8047,-120.3397,0,0,0,0,0,0,0,0,0
2003081,-71.6687,-120.3111,0,0,0,0,0,0,0,0,0
2003082,-71.6,-120.3,1,0,0,0,0,0,0,21,6
2003083,-71.5756,-120.3,0,0,0,0,0,0,0,0,0
2003084,-71.5539,-120.3,0,0,0,0,0,0,0,0,0
2003085,-71.5355,-120.3,0,0,0,0,0,0,0,0,0
2003086,-71.5205,-120.3,0,0,0,0,0,0,0,0,0
2003087,-71.5093,-120.3,0,0,0,0,0,0,0,0,0
2003088,-71.5024,-120.3,0,0,0,0,0,0,0,0,0
2003089,-71.5,-120.3,1,0,0,0,0,0,0,21,6
2003090,-71.5033,-120.2971,0,0,0,0,0,0,0,0,0
2003091,-71.5123,-120.2889,0,0,0,0,0,0,0,0,0
2003092,-71.5259,-120.2764,0,0,0,0,0,0,0,0,0
2003093,-71.5426,-120.2603,0,0,0,0,0,0,0,0,0
2003094,-71.5614,-120.2417,0,0,0,0,0,0,0,0,0
2003095,-71.581,-120.2213,0,0,0,0,0,0,0,0,0
2003096,-71.6,-120.2,1,0,0,0,0,0,0,21,6
2003110,-72,-119.4,1,0,0,0,0,0,0,21,6
2003111,-72.0291,-119.4046,0,0,0,0,0,0,0,0,0
2003112,-72.0588,-119.4181,0,0,0,0,0,0,0,0,0
2003113,-72.0887,-119.4399,0,0,0,0,0,0,0,0,0
2003114,-72.1183,-119.4695,0,0,0,0,-73.6374,-110.2569,1,0,0
2003115,-72.147,-119.5064,0,0,0,0,-73.6374,-110.2569,1,0,0
2003116,-72.1744,-119.5501,0,0,0,0,-73.6374,-110.2569,1,0,0
2003117,-72.2,-119.6,1,0,0,0,-73.6374,-110.2569,1,21,6
2003118,-72.2263,-119.7548,0,0,0,0,-73.6374,-110.2569,1,0,0
2003119,-72.2547,-120.0738,0,0,0,0,-73.6374,-110.2569,1,0,0
2003120,-72.283,-120.4975,0,0,0,0,-73.6374,-110.2569,1,0,0
2003121,-72.309,-120.9664,0,0,0,0,-73.6374,-110.2569,1,0,0
2003122,-72.3303,-121.4212,0,0,0,0,-73.6374,-110.2569,1,0,0
2003123,-72.3447,-121.8022,0,0,0,0,-73.6374,-110.2569,1,0,0
2003124,-72.35,-122.05,1,0,0,0,-73.6374,-110.2569,1,21,6
2003125,0,0,0,0,0,0,-73.6374,-110.2569,1,0,0
2003126,0,0,0,0,0,0,-73.6374,-110.2569,1,0,0
2003127,0,0,0,0,0,0,-73.6374,-110.2569,1,0,0
2003128,0,0,0,0,0,0,-73.6374,-110.2569,1,0,0
2003129,0,0,0,0,0,0,-73.6374,-110.2569,1,0,0
