date,nic_1,nic_2,nic_3,size_1,size_2
2003012,-73.3,-108.8,1,17,4
2003013,-73.2571,-108.8084,0,0,0
2003014,-73.2143,-108.8192,0,0,0
2003015,-73.1714,-108.832,0,0,0
2003016,-73.1286,-108.8468,0,0,0
2003017,-73.0857,-108.8632,0,0,0
2003018,-73.0429,-108.881,0,0,0
2003019,-73,-108.9,1,17,4
2003033,-72.4,-109.4,1,17,4
2003034,-72.4111,-109.4918,0,0,0
2003035,-72.4397,-109.6332,0,0,0
2003036,-72.4787,-109.8016,0,0,0
2003037,-72.5213,-109.9749,0,0,0
2003038,-72.5603,-110.1306,0,0,0
2003039,-72.5889,-110.2464,0,0,0
2003040,-72.6,-110.3,1,17,4
2003054,-72.5,-110.4,1,17,4
2003055,-72.4872,-110.4201,0,0,0
2003056,-72.4701,-110.4521,0,0,0
2003057,-72.451,-110.4907,0,0,0
2003058,-72.4321,-110.5303,0,0,0
2003059,-72.4158,-110.5653,0,0,0
2003060,-72.4043,-110.5904,0,0,0
2003061,-72.4,-110.6,1,17,4
2003062,-72.4,-110.5834,0,0,0
2003063,-72.4,-110.5405,0,0,0
2003064,-72.4,-110.4819,0,0,0
2003065,-72.4,-110.4181,0,0,0
2003066,-72.4,-110.3595,0,0,0
2003067,-72.4,-110.3166,0,0,0
2003068,-72.4,-110.3,1,17,4
2003110,-72.5,-111.8,1,17,4
2003111,-72.4876,-111.88,0,0,0
2003112,-72.4545,-111.9866,0,0,0
2003113,-72.4071,-112.1136,0,0,0
2003114,-72.3517,-112.2547,0,0,0
2003115,-72.2945,-112.4036,0,0,0
2003116,-72.2418,-112.5541,0,0,0
2003117,-72.2,-112.7,1,17,4
2003118,-72.1637,-112.8444,0,0,0
2003119,-72.1254,-112.9944,0,0,0
2003120,-72.0877,-113.1491,0,0,0
2003121,-72.0535,-113.3078,0,0,0
2003122,-72.0257,-113.4697,0,0,0
2003123,-72.0069,-113.634,0,0,0
2003124,-72,-113.8,1,17,4
2003215,-73.5,-130.8,1,17,4
2003250,-73.3,-130.2,1,17,4
2004004,-74.5,-143.5,1,14,3
2004039,-74.7,-146,1,14,3
2004074,-74.8,-149.7,1,14,3
2004277,-72.9,-146.3,1,14,3
2004298,-72.7,-149.1,1,14,3
