ascat_1,ascat_2,ascat_3,date
-66.3521,-81.4813,1,2018069
-66.2748,-81.1395,1,2018070
-66.2748,-81.1395,1,2018071
-66.2155,-80.9647,1,2018072
-66.1799,-80.7566,1,2018073
-66.1799,-80.7566,1,2018074
-66.0948,-80.7168,1,2018075
-66.11,-80.9072,1,2018076
-66.0162,-81.1154,1,2018077
-65.8769,-81.1932,1,2018078
-65.8262,-81.5032,1,2018079
-65.6132,-81.6045,1,2018080
-65.5064,-81.4753,1,2018081
-65.405,-81.1305,1,2018082
-65.405,-81.1305,1,2018083
-65.0991,-80.9374,1,2018084
-65.0991,-80.9374,1,2018085
-64.9443,-81.042,1,2018086
-64.9115,-81.3342,1,2018087
-64.899,-81.5022,1,2018088
-64.7876,-81.7966,1,2018089
-64.9418,-81.9778,1,2018090
-64.6384,-82.0546,1,2018091
-64.4772,-81.7863,1,2018092
-64.3054,-81.5703,1,2018093
-64.2412,-81.1377,1,2018094
-64.1906,-80.8605,1,2018095
-64.1557,-80.7143,1,2018096
-64.0348,-80.0594,1,2018097
-63.9676,-79.5891,1,2018098
-63.8284,-79.3769,1,2018099
-63.8981,-78.9862,1,2018100
-64.0028,-79.0073,1,2018101
-63.9696,-78.9542,1,2018102
-63.9347,-78.5401,1,2018103
-64.0511,-78.6448,1,2018104
-64.1585,-78.3215,1,2018105
-64.1006,-77.9153,1,2018106
-64.126,-78.0851,1,2018107
-64.1063,-77.4551,1,2018108
-64.0219,-77.2008,1,2018109
-63.8839,-76.7947,1,2018110
-63.7663,-76.517,1,2018111
-63.6646,-76.1651,1,2018112
-63.5122,-75.5967,1,2018113
-63.4566,-75.3806,1,2018114
-63.3385,-74.7316,1,2018115
-63.1997,-74.2782,1,2018116
-63.0538,-73.5879,1,2018117
-62.9174,-73.2526,1,2018118
-62.6724,-72.9713,1,2018119
-62.6724,-72.9713,1,2018120
-62.4446,-72.2222,1,2018121
-62.5482,-71.9283,1,2018122
-62.6025,-71.3793,1,2018123
-62.7051,-70.9235,1,2018124
-62.7263,-70.0992,1,2018125
-62.3982,-70.154,1,2018126
-62.1845,-70.1865,1,2018127
-62.0699,-70.2744,1,2018128
-62.0122,-70.5151,1,2018129
-61.9695,-70.591,1,2018130
-61.9211,-70.4966,1,2018131
-61.7487,-70.6252,1,2018132
-61.6696,-70.4249,1,2018133
-61.518,-70.3657,1,2018134
-61.3827,-70.2951,1,2018135
-61.2475,-70.2252,1,2018136
-61.1012,-69.8039,1,2018137
-61.039,-69.4901,1,2018138
-60.9571,-69.0443,1,2018139
-60.9367,-68.5287,1,2018140
-60.8641,-67.9486,1,2018141
-60.7601,-67.7791,1,2018142
-60.6228,-67.3847,1,2018143
-60.4323,-67.2073,1,2018144
-60.1605,-66.9551,1,2018145
-59.8547,-67.0264,1,2018146
-59.4643,-66.9221,1,2018147
-59.049,-66.6599,1,2018148
-58.7339,-66.7405,1,2018149
-58.542,-66.6401,1,2018150
-58.1858,-66.6401,1,2018151
-57.9474,-66.571,0,2018152
-57.759,-66.3761,0,2018153
-57.6824,-66.074,1,2018154
-57.7271,-65.1798,1,2018155
-57.804,-63.6125,1,2018156
-57.7649,-62.5512,1,2018157
-57.6831,-62.0691,1,2018158
-57.5261,-61.7438,1,2018159
-57.223,-61.3688,1,2018160
-56.9142,-60.9463,1,2018161
-56.9248,-60.3196,1,2018162
-56.8863,-59.7011,1,2018163
-56.9003,-59.2842,1,2018164
-56.7147,-59.0644,1,2018165
-56.5896,-58.6008,0,2018166
-56.4699,-58.0316,1,2018167
-56.2967,-57.5508,0,2018168
-56.143,-57.0375,1,2018169
-56.0448,-56.3561,0,2018170
-55.997,-55.6933,1,2018171
-56.0537,-55.2342,1,2018172
-55.8559,-54.559,1,2018173
-55.6787,-54.5973,1,2018174
-55.2904,-54.3899,0,2018175
-54.9139,-54.1825,1,2018176
-54.7603,-54.2926,1,2018177
-54.669,-54.1276,1,2018178
-54.6105,-53.9263,0,2018179
-54.5674,-53.7004,0,2018180
-54.5189,-53.46,0,2018181
-54.4439,-53.2154,1,2018182
-54.2679,-52.9608,1,2018183
-54.1567,-53.0226,0,2018184
-54.0582,-53.1692,1,2018185
-53.9441,-53.5104,1,2018186
-53.7736,-53.7035,1,2018187
-53.6084,-53.9072,1,2018188
-53.4148,-53.9127,1,2018189
-53.2403,-53.8565,1,2018190
