date,nic_1,nic_2,nic_3,size_1,size_2
1979245,-65.6,112.5,1,15,40
1979246,-65.6,112.5,0,0,0
1979247,-65.6,112.5,0,0,0
1979248,-65.6,112.5,0,0,0
1979249,-65.6,112.5,0,0,0
1979250,-65.6,112.5,0,0,0
1979251,-65.6,112.5,0,0,0
1979252,-65.6,112.5,1,15,40
1979253,-65.6,112.5,0,0,0
1979254,-65.6,112.5,0,0,0
1979255,-65.6,112.5,0,0,0
1979256,-65.6,112.5,0,0,0
1979257,-65.6,112.5,0,0,0
1979258,-65.6,112.5,0,0,0
1979259,-65.6,112.5,1,15,40
1979260,-65.6,112.5,0,0,0
1979261,-65.6,112.5,0,0,0
1979262,-65.6,112.5,0,0,0
1979263,-65.6,112.5,0,0,0
1979264,-65.6,112.5,0,0,0
1979265,-65.6,112.5,0,0,0
1979266,-65.6,112.5,1,15,40
1982339,-65.2,111.6,1,15,40
