date,nic_1,nic_2,nic_3,sass_1,sass_2,sass_3,size_1,size_2
1978204,0,0,0,-64.97,130.85,1,0,0
1978205,0,0,0,-64.97,130.85,1,0,0
1978206,0,0,0,-64.97,130.85,1,0,0
1978207,0,0,0,-64.97,130.85,1,0,0
1978208,0,0,0,-64.97,130.85,1,0,0
1978209,0,0,0,-64.97,130.85,1,0,0
1978210,0,0,0,-64.9671,130.8534,1,0,0
1978211,0,0,0,-64.9613,130.8603,1,0,0
1978212,0,0,0,-64.9555,130.8672,1,0,0
1978213,0,0,0,-64.9498,130.8741,1,0,0
1978214,0,0,0,-64.944,130.881,1,0,0
1978215,0,0,0,-64.9382,130.8879,1,0,0
1978216,0,0,0,-64.9353,130.8913,1,0,0
1978217,0,0,0,-64.9353,130.8913,1,0,0
1978218,0,0,0,-64.9353,130.8913,1,0,0
1978219,0,0,0,-64.9353,130.8913,1,0,0
1978220,0,0,0,-64.9353,130.8913,1,0,0
1978221,0,0,0,-64.9353,130.8913,1,0,0
1978222,0,0,0,-64.9353,130.8913,1,0,0
1978223,0,0,0,-64.9353,130.8913,1,0,0
1978224,0,0,0,-64.9353,130.8913,1,0,0
1978225,0,0,0,-64.9353,130.8913,1,0,0
1978226,0,0,0,-64.9353,130.8913,1,0,0
1978227,0,0,0,-64.9353,130.8913,1,0,0
1978228,0,0,0,-64.9353,130.8913,1,0,0
1978229,0,0,0,-64.9353,130.8913,1,0,0
1978230,0,0,0,-64.9353,130.8913,1,0,0
1978231,0,0,0,-64.9353,130.8913,1,0,0
1978232,0,0,0,-64.9353,130.8913,1,0,0
1978233,0,0,0,-64.9353,130.8913,1,0,0
1978234,0,0,0,-64.9353,130.8913,1,0,0
1978235,0,0,0,-64.9353,130.8913,1,0,0
1978236,0,0,0,-64.9353,130.8913,1,0,0
1978237,0,0,0,-64.9353,130.8913,1,0,0
1978238,0,0,0,-64.9353,130.8913,1,0,0
1978239,0,0,0,-64.9353,130.8913,1,0,0
1978240,0,0,0,-64.9353,130.8913,1,0,0
1978241,0,0,0,-64.9353,130.8913,1,0,0
1978242,0,0,0,-64.9353,130.8913,1,0,0
1978243,0,0,0,-64.9353,130.8913,1,0,0
1978244,0,0,0,-64.9353,130.8913,1,0,0
