date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1988073,0,0,0,-65.2,79.2,1,20,10
1988108,0,0,0,-65.8,76,1,20,10
1988109,0,0,0,-65.8826,75.811,0,0,0
1988110,0,0,0,-66.0361,75.5615,0,0,0
1988111,0,0,0,-66.2299,75.2736,0,0,0
1988112,0,0,0,-66.4337,74.9694,0,0,0
1988113,0,0,0,-66.6169,74.671,0,0,0
1988114,0,0,0,-66.7491,74.4005,0,0,0
1988115,0,0,0,-66.8,74.18,1,20,10
1988136,0,0,0,-66.4,71.33,1,20,10
1988171,0,0,0,-66.1,67.3,1,20,10
1988192,0,0,0,-65.2,63,1,20,10
1988262,0,0,0,-65.7,52.18,1,20,10
1988263,0,0,0,-65.6778,51.9407,0,0,0
1988264,0,0,0,-65.6207,51.6614,0,0,0
1988265,0,0,0,-65.5426,51.3593,0,0,0
1988266,0,0,0,-65.4574,51.0517,0,0,0
1988267,0,0,0,-65.3793,50.7561,0,0,0
1988268,0,0,0,-65.3222,50.4898,0,0,0
1988269,0,0,0,-65.3,50.27,1,20,10
1988283,0,0,0,-66.2,48.33,1,20,10
1988297,0,0,0,-66.1,48.07,1,20,10
1988325,0,0,0,-66.8,46.18,1,20,10
1988326,0,0,0,-66.829,46.18,0,0,0
1988327,0,0,0,-66.8608,46.18,0,0,0
1988328,0,0,0,-66.8936,46.18,0,0,0
1988329,0,0,0,-66.9256,46.18,0,0,0
1988330,0,0,0,-66.9552,46.18,0,0,0
1988331,0,0,0,-66.9806,46.18,0,0,0
1988332,0,0,0,-67,46.18,1,20,10
1989022,0,0,0,-67.5,44.18,1,20,10
1989120,0,0,0,-68.6,32.18,1,20,10
1990063,0,0,0,-71.3,-13.18,1,20,10
1990091,0,0,0,-71.8,-15.22,1,20,10
1990126,0,0,0,-74.2,-30.27,1,20,10
1990189,0,0,0,-74.5,-38.03,1,20,10
1990203,0,0,0,-74.2,-39.12,1,20,10
1990204,0,0,0,-74.1706,-39.2395,0,0,0
1990205,0,0,0,-74.135,-39.3784,0,0,0
1990206,0,0,0,-74.0969,-39.5328,0,0,0
1990207,0,0,0,-74.0604,-39.699,0,0,0
1990208,0,0,0,-74.0295,-39.8732,0,0,0
1990209,0,0,0,-74.008,-40.0514,0,0,0
1990210,0,0,0,-74,-40.23,1,20,10
1990238,0,0,0,-74.6,-46.28,1,20,10
1990294,0,0,0,-74.3,-47.5,1,20,10
1991097,0,0,0,-72.6,-53.3,1,20,10
1991132,0,0,0,-72.6,-53.3,1,20,10
1991146,0,0,0,-69.9,-56.25,1,20,10
1991147,0,0,0,-69.7906,-56.2478,0,0,0
1991148,0,0,0,-69.6899,-56.2418,0,0,0
1991149,0,0,0,-69.5973,-56.2327,0,0,0
1991150,0,0,0,-69.5125,-56.2212,0,0,0
1991151,0,0,0,-69.435,-56.2081,0,0,0
1991152,0,0,0,-69.3643,-56.1941,0,0,0
1991153,0,0,0,-69.3,-56.18,1,20,10
1991181,0,0,0,-68.1,-55.22,1,20,10
1991182,0,0,0,-68.0348,-55.2619,0,0,0
1991183,0,0,0,-67.9566,-55.3703,0,0,0
1991184,0,0,0,-67.8718,-55.5193,0,0,0
1991185,0,0,0,-67.7872,-55.6827,0,0,0
1991186,0,0,0,-67.7092,-55.8346,0,0,0
1991187,0,0,0,-67.6446,-55.9491,0,0,0
1991188,0,0,0,-67.6,-56,1,20,10
1991216,0,0,0,-67.1,-56.125,1,20,10
1991230,0,0,0,-66.5,-54.3,1,20,10
1991314,0,0,0,-62.6,-53.2,1,20,10
1991328,0,0,0,-62.1,-52.1,1,20,10
1991342,0,0,0,-61.7,-51.2,1,20,10
1991365,0,0,0,-61.8,-50.1,1,20,10
1992019,0,0,0,-61.2,-49.3,1,20,10
1992033,0,0,0,-61.2,-49,1,20,10
1992047,0,0,0,-60.8,-49.1,1,20,10
1992085,-61.6418,-50.5663,1,0,0,0,0,0
1992086,-61.5654,-50.559,1,0,0,0,0,0
1992087,-61.4891,-50.5517,1,0,0,0,0,0
1992088,-61.4509,-50.5481,1,0,0,0,0,0
1992089,-61.4509,-50.5481,1,0,0,0,0,0
1992090,-61.4509,-50.5481,1,0,0,0,0,0
1992091,-61.4403,-50.5626,1,0,0,0,0,0
1992092,-61.4192,-50.5917,1,0,0,0,0,0
1992093,-61.3981,-50.6208,1,0,0,0,0,0
1992094,-61.377,-50.6498,1,0,0,0,0,0
1992095,-61.3559,-50.6789,1,0,0,0,0,0
1992096,-61.3348,-50.708,1,0,0,0,0,0
1992097,-61.3137,-50.737,1,0,0,0,0,0
1992098,-61.2926,-50.7661,1,0,0,0,0,0
1992099,-61.2715,-50.7952,1,0,0,0,0,0
1992100,-61.2504,-50.8242,1,0,0,0,0,0
1992101,-61.2293,-50.8533,1,0,0,0,0,0
1992102,-61.2082,-50.8824,1,0,0,0,0,0
1992103,-61.1871,-50.9114,1,0,0,0,0,0
1992104,-61.166,-50.9405,1,0,0,0,0,0
1992105,-61.1449,-50.9696,1,0,0,0,0,0
1992106,-61.1343,-50.9841,1,0,0,0,0,0
1992107,-61.1343,-50.9841,1,0,0,0,0,0
1992108,-61.1343,-50.9841,1,0,0,0,0,0
1992109,-61.1375,-50.9006,1,0,0,0,0,0
1992110,-61.144,-50.7337,1,0,0,0,0,0
1992111,-61.1505,-50.5668,1,0,0,0,0,0
1992112,-61.1537,-50.4833,1,0,0,0,0,0
1992113,-61.1537,-50.4833,1,0,0,0,0,0
1992114,-61.1537,-50.4833,1,0,0,0,0,0
1992115,-61.1537,-50.4833,1,0,0,0,0,0
1992116,-61.1537,-50.4833,1,0,0,0,0,0
1992117,-61.1537,-50.4833,1,-60.4,-49.1,1,20,10
1992118,-61.1537,-50.4833,1,0,0,0,0,0
1992119,-61.1537,-50.4833,1,0,0,0,0,0
1992120,-61.1537,-50.4833,1,0,0,0,0,0
1992121,-61.141,-50.5316,1,0,0,0,0,0
1992122,-61.1157,-50.6281,1,0,0,0,0,0
1992123,-61.0904,-50.7246,1,0,0,0,0,0
1992124,-61.0777,-50.7729,1,0,0,0,0,0
1992125,-61.0777,-50.7729,1,0,0,0,0,0
1992126,-61.0777,-50.7729,1,0,0,0,0,0
1992127,-61.0777,-50.7729,1,0,0,0,0,0
1992128,-61.0777,-50.7729,1,0,0,0,0,0
1992129,-61.0777,-50.7729,1,0,0,0,0,0
1992130,-61.0777,-50.7729,1,0,0,0,0,0
1992131,-61.0777,-50.7729,1,0,0,0,0,0
1992132,-61.0777,-50.7729,1,0,0,0,0,0
1992133,-61.0777,-50.7729,1,0,0,0,0,0
1992134,-61.0777,-50.7729,1,0,0,0,0,0
1992135,-61.0777,-50.7729,1,0,0,0,0,0
1992136,-61.0676,-50.7205,1,0,0,0,0,0
1992137,-61.0474,-50.6158,1,0,0,0,0,0
1992138,-61.0272,-50.5112,1,0,0,0,0,0
1992139,-61.0083,-50.6754,1,0,0,0,0,0
1992140,-60.9907,-51.1086,1,0,0,0,0,0
1992141,-60.973,-51.5418,1,0,0,0,0,0
1992142,-60.9642,-51.7584,1,0,0,0,0,0
1992143,-60.9642,-51.7584,1,0,0,0,0,0
1992144,-60.9642,-51.7584,1,0,0,0,0,0
1992145,-60.9277,-51.8281,1,0,0,0,0,0
1992146,-60.8546,-51.9674,1,0,0,0,0,0
1992147,-60.7816,-52.1068,1,0,0,0,0,0
1992148,-60.7287,-52.1272,1,0,0,0,0,0
1992149,-60.696,-52.0284,1,0,0,0,0,0
1992150,-60.6633,-51.9297,1,0,0,0,0,0
1992151,-60.6379,-51.841,1,0,0,0,0,0
1992152,-60.6197,-51.7622,1,0,0,0,0,0
1992153,-60.6016,-51.6833,1,0,0,0,0,0
1992154,-60.5925,-51.6439,1,0,0,0,0,0
1992155,-60.5925,-51.6439,1,0,0,0,0,0
1992156,-60.5925,-51.6439,1,0,0,0,0,0
1992157,-60.5379,-51.5528,1,0,0,0,0,0
1992158,-60.4287,-51.3705,1,0,0,0,0,0
1992159,-60.3194,-51.1882,1,0,0,0,0,0
1992160,-60.2926,-50.9595,1,0,0,0,0,0
1992161,-60.3483,-50.6845,1,0,0,0,0,0
1992162,-60.404,-50.4095,1,0,0,0,0,0
1992163,-60.4249,-50.2208,1,0,0,0,0,0
1992164,-60.4108,-50.1184,1,0,0,0,0,0
1992165,-60.3967,-50.016,1,0,0,0,0,0
1992166,-60.3923,-49.9309,1,0,0,0,0,0
1992167,-60.3976,-49.8631,1,0,0,0,0,0
1992168,-60.4029,-49.7953,1,0,0,0,0,0
1992169,-60.3779,-49.6418,1,0,0,0,0,0
1992170,-60.3227,-49.4025,1,0,0,0,0,0
1992171,-60.2676,-49.1632,1,0,0,0,0,0
1992172,-60.2289,-49.0728,1,0,0,0,0,0
1992173,-60.2066,-49.1313,1,0,0,0,0,0
1992174,-60.1842,-49.1897,1,0,0,0,0,0
1992175,-60.1631,-49.2746,1,0,0,0,0,0
1992176,-60.1431,-49.3857,1,0,0,0,0,0
1992177,-60.1231,-49.4968,1,0,0,0,0,0
1992178,-60.1035,-49.6295,1,0,0,0,0,0
1992179,-60.0842,-49.7838,1,0,0,0,0,0
1992180,-60.0648,-49.9381,1,0,0,0,0,0
1992181,-60.0456,-50.0923,1,0,0,0,0,0
1992182,-60.0263,-50.2466,1,0,0,0,0,0
1992183,-60.007,-50.4009,1,0,0,0,0,0
1992184,-59.9846,-50.4812,1,0,0,0,0,0
1992185,-59.9592,-50.4876,1,0,0,0,0,0
1992186,-59.9339,-50.494,1,0,0,0,0,0
1992187,-59.9212,-50.4972,1,0,0,0,0,0
1992188,-59.9212,-50.4972,1,0,0,0,0,0
1992189,-59.9212,-50.4972,1,0,0,0,0,0
1992190,-59.918,-50.394,1,0,0,0,0,0
1992191,-59.9116,-50.1877,1,0,0,0,0,0
1992192,-59.9053,-49.9814,1,0,0,0,0,0
1992193,-59.9021,-49.8782,1,0,0,0,0,0
1992194,-59.9021,-49.8782,1,0,0,0,0,0
1992195,-59.9021,-49.8782,1,0,0,0,0,0
1992196,-59.8563,-49.9796,1,0,0,0,0,0
1992197,-59.7647,-50.1825,1,0,0,0,0,0
1992198,-59.673,-50.3854,1,0,0,0,0,0
1992199,-59.6272,-50.4868,1,0,0,0,0,0
1992200,-59.6272,-50.4868,1,0,0,0,0,0
1992201,-59.6272,-50.4868,1,0,0,0,0,0
1992202,-59.6288,-50.4456,1,0,0,0,0,0
1992203,-59.6321,-50.3633,1,0,0,0,0,0
1992204,-59.6353,-50.2809,1,0,0,0,0,0
1992205,-59.6385,-50.1986,1,0,0,0,0,0
1992206,-59.6418,-50.1163,1,0,0,0,0,0
1992207,-59.645,-50.0339,1,0,0,0,0,0
1992208,-59.6483,-49.9516,1,0,0,0,0,0
1992209,-59.6515,-49.8692,1,0,0,0,0,0
1992210,-59.6548,-49.7869,1,0,0,0,0,0
1992211,-59.658,-49.7046,1,0,0,0,0,0
1992212,-59.6612,-49.6222,1,0,0,0,0,0
1992213,-59.6645,-49.5399,1,0,0,0,0,0
1992214,-59.6661,-49.4987,1,0,0,0,0,0
1992215,-59.6661,-49.4987,1,0,0,0,0,0
1992216,-59.6661,-49.4987,1,0,0,0,0,0
1992217,-59.6924,-49.4383,1,0,0,0,0,0
1992218,-59.745,-49.3176,1,0,0,0,0,0
