date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1992085,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992086,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992087,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992088,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992089,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992090,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992091,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992092,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992093,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992094,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992095,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992096,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992097,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992098,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992099,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992100,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992101,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992102,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992103,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992104,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992105,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992106,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992107,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992108,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992109,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992110,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
