date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2000050,0,0,0,-67.9244,147.1269,1,0,0
2000051,0,0,0,-67.9244,147.1269,1,0,0
2000052,0,0,0,-67.9244,147.1269,1,0,0
2000053,0,0,0,-67.9244,147.1269,1,0,0
2000054,0,0,0,-67.9244,147.1269,1,0,0
2000055,0,0,0,-67.9244,147.1269,1,0,0
2000056,0,0,0,-67.9244,147.1269,1,0,0
2000057,0,0,0,-67.9244,147.1269,1,0,0
2000058,-67.9,147,1,-67.9244,147.1269,1,18,7
2000059,0,0,0,-67.9244,147.1269,1,0,0
2000060,0,0,0,-67.9244,147.1269,1,0,0
2000061,0,0,0,-67.9244,147.1269,1,0,0
2000062,0,0,0,-67.9244,147.1269,1,0,0
2000063,0,0,0,-67.9244,147.1269,1,0,0
2000064,0,0,0,-67.9244,147.1269,1,0,0
2000065,0,0,0,-67.9244,147.1269,1,0,0
2000066,0,0,0,-67.9244,147.1269,1,0,0
2000067,0,0,0,-67.9244,147.1269,1,0,0
2000068,0,0,0,-67.9244,147.1269,1,0,0
2000069,0,0,0,-67.9244,147.1269,1,0,0
2000070,0,0,0,-67.9244,147.1269,1,0,0
2000071,0,0,0,-67.9244,147.1269,1,0,0
2000072,0,0,0,-67.9244,147.1269,1,0,0
2000073,0,0,0,-67.9244,147.1269,1,0,0
2000074,0,0,0,-67.9244,147.1269,1,0,0
2000075,0,0,0,-67.9244,147.1269,1,0,0
2000076,0,0,0,-67.9244,147.1269,1,0,0
2000077,0,0,0,-67.9244,147.1269,1,0,0
2000078,0,0,0,-67.9244,147.1269,1,0,0
2000079,0,0,0,-67.9244,147.1269,1,0,0
2000080,0,0,0,-67.9244,147.1269,1,0,0
2000081,0,0,0,-67.9244,147.1269,1,0,0
2000082,0,0,0,-67.9244,147.1269,1,0,0
2000083,0,0,0,-67.9244,147.1269,1,0,0
2000084,0,0,0,-67.9244,147.1269,1,0,0
2000085,0,0,0,-67.9244,147.1269,1,0,0
2000086,0,0,0,-67.9244,147.1269,1,0,0
2000087,0,0,0,-67.9244,147.1269,1,0,0
2000088,0,0,0,-67.9244,147.1269,1,0,0
2000089,0,0,0,-67.9244,147.1269,1,0,0
2000090,0,0,0,-67.9244,147.1269,1,0,0
2000091,0,0,0,-67.9244,147.1269,1,0,0
2000092,0,0,0,-67.9244,147.1269,1,0,0
2000093,0,0,0,-67.9244,147.1269,1,0,0
2000094,0,0,0,-67.9244,147.1269,1,0,0
2000095,0,0,0,-67.9244,147.1269,1,0,0
2000096,0,0,0,-67.9244,147.1269,1,0,0
2000097,0,0,0,-67.9244,147.1269,1,0,0
2000098,0,0,0,-67.9244,147.1269,1,0,0
2000099,0,0,0,-67.9244,147.1269,1,0,0
2000100,0,0,0,-67.9244,147.1269,1,0,0
2000101,0,0,0,-67.9244,147.1269,1,0,0
2000102,0,0,0,-67.9244,147.1269,1,0,0
2000103,0,0,0,-67.9244,147.1269,1,0,0
2000104,0,0,0,-67.9244,147.1269,1,0,0
2000105,0,0,0,-67.9244,147.1269,1,0,0
2000106,0,0,0,-67.9244,147.1269,1,0,0
2000107,0,0,0,-67.9244,147.1269,1,0,0
2000108,0,0,0,-67.9244,147.1269,1,0,0
2000109,0,0,0,-67.9244,147.1269,1,0,0
2000110,0,0,0,-67.9244,147.1269,1,0,0
2000111,0,0,0,-67.9244,147.1269,1,0,0
2000112,0,0,0,-67.9244,147.1269,1,0,0
2000113,0,0,0,-67.9244,147.1269,1,0,0
2000114,0,0,0,-67.9244,147.1269,1,0,0
2000115,0,0,0,-67.9244,147.1269,1,0,0
2000116,0,0,0,-67.9244,147.1269,1,0,0
2000117,0,0,0,-67.9244,147.1269,1,0,0
2000118,0,0,0,-67.9244,147.1269,1,0,0
2000119,0,0,0,-67.9244,147.1269,1,0,0
2000120,0,0,0,-67.9244,147.1269,1,0,0
2000121,0,0,0,-67.9244,147.1269,1,0,0
2000122,0,0,0,-67.9244,147.1269,1,0,0
2000123,0,0,0,-67.9244,147.1269,1,0,0
2000124,0,0,0,-67.9244,147.1269,1,0,0
2000125,0,0,0,-67.9244,147.1269,1,0,0
2000126,0,0,0,-67.9244,147.1269,1,0,0
2000127,0,0,0,-67.9244,147.1269,1,0,0
2000128,0,0,0,-67.9244,147.1269,1,0,0
2000129,0,0,0,-67.9244,147.1269,1,0,0
2000130,0,0,0,-67.9244,147.1269,1,0,0
2000131,0,0,0,-67.9244,147.1269,1,0,0
2000132,0,0,0,-67.9244,147.1269,1,0,0
2000133,0,0,0,-67.9244,147.1269,1,0,0
2000134,0,0,0,-67.9244,147.1269,1,0,0
2000135,0,0,0,-67.9244,147.1269,1,0,0
2000136,0,0,0,-67.9244,147.1269,1,0,0
2000137,0,0,0,-67.9244,147.1269,1,0,0
2000138,0,0,0,-67.9244,147.1269,1,0,0
2000139,0,0,0,-67.9244,147.1269,1,0,0
2000140,0,0,0,-67.9244,147.1269,1,0,0
2000141,0,0,0,-67.9244,147.1269,1,0,0
2000142,0,0,0,-67.9244,147.1269,1,0,0
2000143,0,0,0,-67.9244,147.1269,1,0,0
2000144,0,0,0,-67.9244,147.1269,1,0,0
2000145,0,0,0,-67.9244,147.1269,1,0,0
2000146,0,0,0,-67.9244,147.1269,1,0,0
2000147,0,0,0,-67.9244,147.1269,1,0,0
2000148,0,0,0,-67.9244,147.1269,1,0,0
2000149,0,0,0,-67.9244,147.1269,1,0,0
2000150,0,0,0,-67.9244,147.1269,1,0,0
2000151,0,0,0,-67.9244,147.1269,1,0,0
2000152,0,0,0,-67.9244,147.1269,1,0,0
2000153,0,0,0,-67.9244,147.1269,1,0,0
2000154,0,0,0,-67.9244,147.1269,1,0,0
2000155,0,0,0,-67.9244,147.1269,1,0,0
2000156,0,0,0,-67.9244,147.1269,1,0,0
2000157,0,0,0,-67.9244,147.1269,1,0,0
2000158,0,0,0,-67.9244,147.1269,1,0,0
2000159,0,0,0,-67.9244,147.1269,1,0,0
2000160,0,0,0,-67.9244,147.1269,1,0,0
2000161,0,0,0,-67.9244,147.1269,1,0,0
2000162,0,0,0,-67.9244,147.1269,1,0,0
2000163,0,0,0,-67.9244,147.1269,1,0,0
2000164,0,0,0,-67.9244,147.1269,1,0,0
2000165,0,0,0,-67.9244,147.1269,1,0,0
2000166,0,0,0,-67.9244,147.1269,1,0,0
2000167,0,0,0,-67.9244,147.1269,1,0,0
2000168,0,0,0,-67.9244,147.1269,1,0,0
2000169,0,0,0,-67.9244,147.1269,1,0,0
2000170,0,0,0,-67.9244,147.1269,1,0,0
2000171,0,0,0,-67.9244,147.1269,1,0,0
2000172,0,0,0,-67.9244,147.1269,1,0,0
2000173,0,0,0,-67.9244,147.1269,1,0,0
2000174,0,0,0,-67.9244,147.1269,1,0,0
2000175,0,0,0,-67.9244,147.1269,1,0,0
2000176,0,0,0,-67.9244,147.1269,1,0,0
2000177,0,0,0,-67.9244,147.1269,1,0,0
2000178,0,0,0,-67.9244,147.1269,1,0,0
2000179,0,0,0,-67.9244,147.1269,1,0,0
2000180,0,0,0,-67.9244,147.1269,1,0,0
2000181,0,0,0,-67.9244,147.1269,1,0,0
2000182,0,0,0,-67.9244,147.1269,1,0,0
2000183,0,0,0,-67.9244,147.1269,1,0,0
2000184,0,0,0,-67.9244,147.1269,1,0,0
2000185,0,0,0,-67.9244,147.1269,1,0,0
2000186,0,0,0,-67.9244,147.1269,1,0,0
2000187,0,0,0,-67.9244,147.1269,1,0,0
2000188,0,0,0,-67.9244,147.1269,1,0,0
2000189,0,0,0,-67.9244,147.1269,1,0,0
2000190,0,0,0,-67.9244,147.1269,1,0,0
2000191,0,0,0,-67.9244,147.1269,1,0,0
2000192,0,0,0,-67.9244,147.1269,1,0,0
2000193,0,0,0,-67.9244,147.1269,1,0,0
2000194,0,0,0,-67.9244,147.1269,1,0,0
2000195,0,0,0,-67.9244,147.1269,1,0,0
2000196,0,0,0,-67.9244,147.1269,1,0,0
2000197,0,0,0,-67.9244,147.1269,1,0,0
2000198,0,0,0,-67.9244,147.1269,1,0,0
2000199,0,0,0,-67.9244,147.1269,1,0,0
2000200,0,0,0,-67.9244,147.1269,1,0,0
2000201,0,0,0,-67.9244,147.1269,1,0,0
2000202,0,0,0,-67.9244,147.1269,1,0,0
2000203,0,0,0,-67.9244,147.1269,1,0,0
2000204,0,0,0,-67.9244,147.1269,1,0,0
2000205,0,0,0,-67.9244,147.1269,1,0,0
