ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2000258,0,0,0,0,0,0,-77.0784,170.5316,1,0,0,0,0,0
0,0,0,2000259,0,0,0,0,0,0,-77.0683,170.5224,1,0,0,0,0,0
0,0,0,2000260,0,0,0,0,0,0,-77.0684,170.5265,1,0,0,0,0,0
0,0,0,2000261,0,0,0,0,0,0,-77.0684,170.5245,1,0,0,0,0,0
0,0,0,2000262,0,0,0,0,0,0,-77.0684,170.5265,1,0,0,0,0,0
0,0,0,2000263,0,0,0,0,0,0,-77.0684,170.5265,1,0,0,0,0,0
0,0,0,2000264,0,0,0,0,0,0,-77.0682,170.5204,1,0,0,0,0,0
0,0,0,2000265,0,0,0,0,0,0,-77.0684,170.5245,1,0,0,0,0,0
0,0,0,2000266,0,0,0,0,0,0,-77.0681,170.5184,1,0,0,0,0,0
0,0,0,2000267,0,0,0,0,0,0,-77.0681,170.5184,1,0,0,0,0,0
0,0,0,2000268,-77.2,169.1,1,0,0,0,-77.0681,170.5184,1,0,0,0,26,10
0,0,0,2000269,0,0,0,0,0,0,-77.0681,170.5184,1,0,0,0,0,0
0,0,0,2000270,0,0,0,0,0,0,-77.0681,170.5184,1,0,0,0,0,0
0,0,0,2000271,0,0,0,0,0,0,-77.0681,170.5184,1,0,0,0,0,0
0,0,0,2000272,0,0,0,0,0,0,-76.9779,170.0582,1,0,0,0,0,0
0,0,0,2000273,0,0,0,0,0,0,-77.0435,169.6393,1,0,0,0,0,0
0,0,0,2000274,0,0,0,0,0,0,-77.0969,168.9485,1,0,0,0,0,0
0,0,0,2000275,0,0,0,0,0,0,-77.1046,169.1269,1,0,0,0,0,0
0,0,0,2000276,0,0,0,0,0,0,-77.1046,169.1269,1,0,0,0,0,0
0,0,0,2000277,0,0,0,0,0,0,-77.0851,168.6813,1,0,0,0,0,0
0,0,0,2000278,0,0,0,0,0,0,-77.077,168.5034,1,0,0,0,0,0
0,0,0,2000279,0,0,0,0,0,0,-77.0811,168.5923,1,0,0,0,0,0
0,0,0,2000280,0,0,0,0,0,0,-77.0929,168.3963,1,0,0,0,0,0
0,0,0,2000281,0,0,0,0,0,0,-77.0969,168.4853,1,0,0,0,0,0
0,0,0,2000282,-77.1,169,1,0,0,0,-77.0969,168.4853,1,0,0,0,26,10
0,0,0,2000283,0,0,0,0,0,0,-77.0811,168.5923,1,0,0,0,0,0
0,0,0,2000284,0,0,0,0,0,0,-77.073,168.4146,1,0,0,0,0,0
0,0,0,2000285,0,0,0,0,0,0,-77.0811,168.5923,1,0,0,0,0,0
0,0,0,2000286,0,0,0,0,0,0,-77.0851,168.6813,1,0,0,0,0,0
0,0,0,2000287,0,0,0,0,0,0,-77.0811,168.5923,1,0,0,0,0,0
0,0,0,2000288,0,0,0,0,0,0,-77.089,168.7703,1,0,0,0,0,0
0,0,0,2000289,0,0,0,0,0,0,-77.077,168.5034,1,0,0,0,0,0
0,0,0,2000290,0,0,0,0,0,0,-77.0969,168.4853,1,0,0,0,0,0
0,0,0,2000291,0,0,0,0,0,0,-77.0811,168.5923,1,0,0,0,0,0
0,0,0,2000292,0,0,0,0,0,0,-77.077,168.5034,1,0,0,0,0,0
0,0,0,2000293,0,0,0,0,0,0,-77.0851,168.6813,1,0,0,0,0,0
0,0,0,2000294,0,0,0,0,0,0,-77.073,168.4146,1,0,0,0,0,0
0,0,0,2000295,0,0,0,0,0,0,-77.0969,168.9485,1,0,0,0,0,0
0,0,0,2000296,-77.1,169,1,0,0,0,-77.0648,168.237,1,0,0,0,26,10
0,0,0,2000297,-77.1,169,0,0,0,0,-77.0689,168.3258,1,0,0,0,0,0
0,0,0,2000298,-77.1,169,0,0,0,0,-77.073,168.4146,1,0,0,0,0,0
0,0,0,2000299,-77.1,169,0,0,0,0,-77.0888,168.3074,1,0,0,0,0,0
0,0,0,2000300,-77.1,169,0,0,0,0,-77.0969,168.4853,1,0,0,0,0,0
0,0,0,2000301,-77.1,169,0,0,0,0,-77.0969,168.5853,1,0,0,0,0,0
0,0,0,2000302,-77.1,169,0,0,0,0,-77.0969,168.5853,1,0,0,0,0,0
