date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2004039,-66.6,151.2,1,0,0,0,21,5
2004060,-66.5,151.1,1,0,0,0,21,5
2004088,-66.5,150.9,1,0,0,0,21,5
2004228,-65.7,140.4,1,0,0,0,21,4
2005149,-65.25,115.47,1,0,0,0,0,0
2005150,-65.2468,115.4032,0,0,0,0,0,0
2005151,-65.2425,115.3435,0,0,0,0,0,0
2005152,-65.2377,115.2869,0,-65.2037,115.2511,1,0,0
2005153,-65.233,115.2293,0,-65.2423,115.5324,1,0,0
2005154,-65.2289,115.1666,0,-65.2423,115.5324,1,0,0
2005155,-65.2261,115.0949,0,-65.242,115.2937,1,0,0
2005156,-65.225,115.01,1,-65.2004,115.216,1,19,4
2005157,0,0,0,-65.238,115.3042,1,0,0
2005158,0,0,0,-65.2319,115.056,1,0,0
2005159,0,0,0,-65.2029,114.9412,1,0,0
2005160,0,0,0,-65.2029,114.9412,1,0,0
2005161,0,0,0,-65.2411,114.8734,1,0,0
2005162,0,0,0,-65.2358,114.7449,1,0,0
2005163,0,0,0,-65.2358,114.7449,1,0,0
2005164,0,0,0,-65.2358,114.7449,1,0,0
2005165,0,0,0,-65.2087,114.6191,1,0,0
2005166,0,0,0,-65.2623,114.4969,1,0,0
2005167,0,0,0,-65.2481,114.3854,1,0,0
2005168,0,0,0,-65.2534,114.1137,1,0,0
2005169,0,0,0,-65.3259,113.6819,1,0,0
2005170,-65.35,112.33,1,-65.3262,113.1894,1,19,4
2005171,0,0,0,-65.3262,113.1894,1,0,0
2005172,0,0,0,-65.3069,112.6793,1,0,0
2005173,0,0,0,-65.3307,112.5786,1,0,0
2005174,0,0,0,-65.3453,112.2608,1,0,0
2005175,0,0,0,-65.3292,112.2473,1,0,0
2005176,0,0,0,-65.3612,111.9333,1,0,0
2005177,0,0,0,-65.3776,111.709,1,0,0
2005178,0,0,0,-65.3597,111.4963,1,0,0
2005179,0,0,0,-65.3214,111.2775,1,0,0
2005180,0,0,0,-65.3355,111.0633,1,0,0
2005181,0,0,0,-65.3355,111.0633,1,0,0
2005182,0,0,0,-65.3355,111.0633,1,0,0
2005183,0,0,0,-65.2789,110.9878,1,0,0
2005184,-65.32,110.97,1,-65.2789,110.9878,1,19,4
2005185,0,0,0,-65.2579,110.8739,1,0,0
2005186,0,0,0,-65.221,110.8915,1,0,0
2005187,0,0,0,-65.3544,110.9688,1,0,0
2005188,0,0,0,-65.2969,111.0558,1,0,0
2005189,0,0,0,-65.2969,111.0558,1,0,0
2005190,0,0,0,-65.3438,110.9646,1,0,0
2005191,0,0,0,-65.329,110.5724,1,0,0
2005192,0,0,0,-65.2966,110.4455,1,0,0
2005193,0,0,0,-65.1903,110.4021,1,0,0
2005194,0,0,0,-65.1903,110.4021,1,0,0
2005195,0,0,0,-65.261,110.1562,1,0,0
2005196,0,0,0,-65.2787,110.0042,1,0,0
2005197,0,0,0,-65.2787,110.0042,1,0,0
2005198,-65.28,108.97,1,-65.3267,109.896,1,19,4
2005199,0,0,0,-65.3207,109.7599,1,0,0
2005200,0,0,0,-65.2542,109.2723,1,0,0
2005201,0,0,0,-65.2707,109.0765,1,0,0
2005202,0,0,0,-65.3167,108.8662,1,0,0
2005203,0,0,0,-65.339,108.5425,1,0,0
2005204,0,0,0,-65.2163,108.0374,1,0,0
2005205,0,0,0,-65.1609,108.0535,1,0,0
2005206,0,0,0,-65.1333,107.859,1,0,0
2005207,0,0,0,-65.1024,107.7256,1,0,0
2005208,0,0,0,-65.0783,107.4439,1,0,0
2005209,0,0,0,-65.1028,107.2617,1,0,0
2005210,0,0,0,-65.0987,106.5679,1,0,0
2005211,0,0,0,-64.958,106.3588,1,0,0
2005212,-64.87,105.75,1,-64.9221,106.2014,1,19,4
2005213,-64.8557,105.6087,0,-64.8942,106.0563,1,0,0
2005214,-64.8417,105.4834,0,-64.8482,105.8453,1,0,0
2005215,-64.8286,105.3692,0,-64.8914,105.6397,1,0,0
2005216,-64.8172,105.2608,0,-64.8208,105.4989,1,0,0
2005217,-64.8081,105.1533,0,-64.7978,105.4606,1,0,0
2005218,-64.8021,105.0414,0,-64.8192,105.3006,1,0,0
2005219,-64.8,104.92,1,-64.7995,105.0731,1,19,4
2005220,-64.8055,104.7872,0,-64.7995,105.0731,1,0,0
2005221,-64.8198,104.6466,0,-64.7861,105.0604,1,0,0
2005222,-64.8394,104.5018,0,-64.8739,104.8274,1,0,0
2005223,-64.8606,104.3563,0,-64.8739,104.8274,1,0,0
2005224,-64.8802,104.2135,0,-64.9008,104.7201,1,0,0
2005225,-64.8945,104.0769,0,-64.9244,104.6455,1,0,0
2005226,-64.9,103.95,1,-64.9019,104.3381,1,19,4
2005227,-64.8978,103.8369,0,-64.9019,104.3381,1,0,0
2005228,-64.8918,103.7354,0,-64.933,104.0528,1,0,0
2005229,-64.8827,103.6397,0,-64.933,104.0528,1,0,0
2005230,-64.8712,103.5441,0,-64.933,104.0528,1,0,0
2005231,-64.8581,103.4428,0,-64.9255,103.9066,1,0,0
2005232,-64.8441,103.33,0,-64.8829,103.829,1,0,0
2005233,-64.83,103.2,1,-64.8829,103.829,1,19,4
2005234,-64.8148,103.0326,0,-64.8829,103.829,1,0,0
2005235,-64.7969,102.8235,0,-64.7235,102.9783,1,0,0
2005236,-64.7764,102.5903,0,-64.7235,102.9783,1,0,0
2005237,-64.7535,102.3506,0,-64.679,102.7531,1,0,0
2005238,-64.7281,102.1222,0,-64.6367,102.6736,1,0,0
2005239,-64.7002,101.9228,0,-64.5948,102.5344,1,0,0
2005240,-64.67,101.77,1,-64.5771,102.3262,1,19,4
2005241,-64.6323,101.6564,0,-64.5894,102.1697,1,0,0
2005242,-64.5844,101.5593,0,-64.6346,101.8407,1,0,0
2005243,-64.5299,101.4739,0,-64.6803,101.807,1,0,0
2005244,-64.4725,101.3953,0,-64.6215,101.6437,1,0,0
2005245,-64.416,101.3183,0,-64.5826,101.5207,1,0,0
2005246,-64.3639,101.2382,0,-64.5491,101.3593,1,0,0
2005247,-64.32,101.15,1,-64.5319,101.4751,1,19,4
2005248,-64.2795,101.0616,0,-64.3929,101.3391,1,0,0
2005249,-64.237,100.98,0,-64.3358,101.2555,1,0,0
2005250,-64.1956,100.8989,0,-64.3441,101.1959,1,0,0
2005251,-64.1582,100.8117,0,-64.147,100.9464,1,0,0
2005252,-64.1279,100.7121,0,-64.0883,100.8871,1,0,0
2005253,-64.1075,100.5937,0,-64.0604,100.8981,1,0,0
2005254,-64.1,100.45,1,-64.04,100.8145,1,19,4
2005255,-64.1031,100.2082,0,-64.0526,100.6949,1,0,0
2005256,-64.1115,99.8342,0,-64.1269,100.5216,1,0,0
2005257,-64.1237,99.3792,0,-64.1522,100.0064,1,0,0
2005258,-64.1381,98.8949,0,-64.1767,99.9173,1,0,0
2005259,-64.1533,98.4326,0,-64.1609,98.9622,1,0,0
2005260,-64.1677,98.0438,0,-64.1367,98.7039,1,0,0
2005261,-64.18,97.78,1,-64.1349,98.5112,1,19,4
2005262,-64.19,97.6153,0,-64.1533,98.3424,1,0,0
2005263,-64.1991,97.4825,0,-64.1618,98.0898,1,0,0
2005264,-64.2078,97.3711,0,-64.1501,98.0368,1,0,0
2005265,-64.2167,97.2707,0,-64.153,97.7875,1,0,0
2005266,-64.2263,97.1707,0,-64.1966,97.5979,1,0,0
2005267,-64.2372,97.0606,0,-64.1548,97.4557,1,0,0
2005268,-64.25,96.93,1,-64.1547,97.2007,1,19,4
2005269,0,0,0,-64.1601,97.2384,1,0,0
2005270,0,0,0,-64.2309,97.0307,1,0,0
2005271,0,0,0,-64.2526,96.8959,1,0,0
2005272,0,0,0,-64.2655,96.5925,1,0,0
2005273,0,0,0,-64.2652,96.1387,1,0,0
2005274,0,0,0,-64.3254,95.8544,1,0,0
2005275,0,0,0,-64.3746,95.6279,1,0,0
2005276,0,0,0,-64.4912,95.1914,1,0,0
2005277,0,0,0,-64.5763,95.1494,1,0,0
2005278,0,0,0,-64.7038,94.6267,1,0,0
2005279,0,0,0,-64.6399,94.515,1,0,0
2005280,0,0,0,-64.6079,94.2274,1,0,0
2005281,0,0,0,-64.5646,94.1186,1,0,0
2005282,-64.63,94.28,1,-64.4933,94.1937,1,19,4
2005283,-64.6504,94.0778,0,-64.5574,94.1407,1,0,0
2005284,-64.6703,93.8637,0,-64.5473,94.1279,1,0,0
2005285,-64.6894,93.6459,0,-64.5566,93.9053,1,0,0
2005286,-64.7072,93.4325,0,-64.5326,93.9663,1,0,0
2005287,-64.7235,93.2316,0,-64.5241,93.8384,1,0,0
2005288,-64.7379,93.0514,0,-64.573,93.7781,1,0,0
2005289,-64.75,92.9,1,-64.5983,93.6499,1,19,4
2005290,0,0,0,-64.6233,93.7238,1,0,0
2005291,0,0,0,-64.6547,93.5667,1,0,0
2005292,0,0,0,-64.6752,93.4323,1,0,0
2005293,0,0,0,-64.7173,93.2311,1,0,0
2005294,0,0,0,-64.761,93.0418,1,0,0
2005295,0,0,0,-64.7587,92.9098,1,0,0
2005296,0,0,0,-64.7697,92.7384,1,0,0
2005297,0,0,0,-64.7492,92.6504,1,0,0
