ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2003289,0,0,0,0,0,0,-67.7,153.3667,1,-67.7,153.3667,1,0,0
0,0,0,2003290,0,0,0,0,0,0,-67.7,153.3667,1,-67.7,153.3667,1,0,0
0,0,0,2003291,0,0,0,0,0,0,-67.7,153.3667,1,-67.7,153.3667,1,0,0
0,0,0,2003292,0,0,0,0,0,0,-67.7306,153.3428,1,-67.7306,153.3428,1,0,0
0,0,0,2003293,0,0,0,0,0,0,-67.7306,153.3428,1,-67.7306,153.3428,1,0,0
0,0,0,2003294,0,0,0,0,0,0,-67.7306,153.3428,1,-67.7306,153.3428,1,0,0
0,0,0,2003295,0,0,0,0,0,0,-67.6273,152.9952,1,-67.6273,152.9952,1,0,0
0,0,0,2003296,0,0,0,0,0,0,-67.6273,152.9952,1,-67.6273,152.9952,1,0,0
0,0,0,2003297,0,0,0,0,0,0,-67.6273,152.9952,1,-67.6273,152.9952,1,0,0
0,0,0,2003298,0,0,0,0,0,0,-67.5556,153.043,1,0,0,0,0,0
0,0,0,2003299,0,0,0,0,0,0,-67.5556,153.043,1,0,0,0,0,0
0,0,0,2003300,0,0,0,0,0,0,-67.5556,153.043,1,0,0,0,0,0
0,0,0,2003301,0,0,0,0,0,0,-67.5556,153.043,1,0,0,0,0,0
0,0,0,2003302,0,0,0,0,0,0,-67.5432,153.1769,1,0,0,0,0,0
0,0,0,2003303,0,0,0,0,0,0,-67.5432,153.1769,1,0,0,0,0,0
0,0,0,2003304,0,0,0,0,0,0,-67.512,153.1151,1,0,0,0,0,0
0,0,0,2003305,0,0,0,0,0,0,-67.512,153.1151,1,0,0,0,0,0
0,0,0,2004039,-66.4,152.1,1,0,0,0,0,0,0,0,0,0,19,4
0,0,0,2004060,-66,148.2,1,0,0,0,0,0,0,0,0,0,19,4
0,0,0,2004077,0,0,0,0,0,0,-66.587,148.3725,1,0,0,0,0,0
0,0,0,2004078,0,0,0,0,0,0,-66.587,148.3725,1,0,0,0,0,0
0,0,0,2004079,0,0,0,0,0,0,-66.6807,148.3315,1,0,0,0,0,0
0,0,0,2004080,0,0,0,0,0,0,-66.7609,148.3853,1,0,0,0,0,0
0,0,0,2004081,0,0,0,0,0,0,-66.822,148.2499,1,0,0,0,0,0
0,0,0,2004082,0,0,0,0,0,0,-66.861,148.1293,1,0,0,0,0,0
0,0,0,2004083,0,0,0,0,0,0,-66.861,148.1293,1,0,0,0,0,0
0,0,0,2004084,0,0,0,0,0,0,-66.861,148.1293,1,0,0,0,0,0
0,0,0,2004085,0,0,0,0,0,0,-66.861,148.1293,1,0,0,0,0,0
0,0,0,2004086,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004087,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004088,-66.9,148.1,1,0,0,0,-66.7809,148.1657,1,0,0,0,19,4
0,0,0,2004089,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004090,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004091,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004092,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004093,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004094,0,0,0,0,0,0,-66.7809,148.1657,1,0,0,0,0,0
0,0,0,2004095,0,0,0,0,0,0,-66.8322,148.0567,1,0,0,0,0,0
0,0,0,2004096,0,0,0,0,0,0,-66.8322,148.0567,1,0,0,0,0,0
0,0,0,2004097,0,0,0,0,0,0,-66.8322,148.0567,1,0,0,0,0,0
0,0,0,2004098,0,0,0,0,0,0,-66.8322,148.0567,1,0,0,0,0,0
0,0,0,2004099,0,0,0,0,0,0,-66.9699,147.9342,1,0,0,0,0,0
0,0,0,2004100,0,0,0,0,0,0,-66.9699,147.9342,1,0,0,0,0,0
0,0,0,2004101,0,0,0,0,0,0,-66.9699,147.9342,1,0,0,0,0,0
