date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2003131,-71.7,171.9,1,0,0,0,0,0,0,10,17
2003132,-71.6286,171.7857,0,0,0,0,0,0,0,0,0
2003133,-71.5571,171.6714,0,0,0,0,0,0,0,0,0
2003134,-71.4857,171.5571,0,0,0,0,0,0,0,0,0
2003135,-71.4143,171.4429,0,0,0,0,0,0,0,0,0
2003136,-71.3429,171.3286,0,0,0,0,0,0,0,0,0
2003137,-71.2714,171.2143,0,0,0,0,0,0,0,0,0
2003138,-71.2,171.1,1,0,0,0,0,0,0,10,17
2003139,-71.1248,170.9825,0,0,0,0,0,0,0,0,0
2003140,-71.0446,170.8607,0,0,0,0,0,0,0,0,0
2003141,-70.9632,170.7378,0,0,0,0,0,0,0,0,0
2003142,-70.8843,170.617,0,0,0,0,0,0,0,0,0
2003143,-70.8116,170.5017,0,0,0,0,0,0,0,0,0
2003144,-70.7489,170.3949,0,0,0,0,0,0,0,0,0
2003145,-70.7,170.3,1,0,0,0,0,0,0,10,17
2003146,-70.6636,170.2208,0,0,0,0,0,0,0,0,0
2003147,-70.6342,170.1549,0,0,0,0,0,0,0,0,0
2003148,-70.6093,170.0958,0,0,0,0,0,0,0,0,0
2003149,-70.586,170.0372,0,0,0,0,0,0,0,0,0
2003150,-70.5619,169.9726,0,0,0,0,0,0,0,0,0
2003151,-70.5341,169.8956,0,0,0,0,0,0,0,0,0
2003152,-70.5,169.8,1,0,0,0,0,0,0,10,17
2003153,-70.4569,169.6728,0,0,0,0,0,0,0,0,0
2003154,-70.4052,169.5086,0,0,0,0,0,0,0,0,0
2003155,-70.3472,169.3122,0,0,0,0,0,0,0,0,0
2003156,-70.2854,169.0884,0,0,0,0,0,0,0,0,0
2003157,-70.2221,168.8419,0,0,0,0,0,0,0,0,0
2003158,-70.1595,168.5775,0,0,0,0,0,0,0,0,0
2003159,-70.1,168.3,1,0,0,0,0,0,0,88,17
2003160,-70.0405,167.9559,0,0,0,0,0,0,0,0,0
2003161,-69.9779,167.5169,0,0,0,0,0,0,0,0,0
2003162,-69.9146,167.0261,0,0,0,0,0,0,0,0,0
2003163,-69.8528,166.5261,0,0,0,0,0,0,0,0,0
2003164,-69.7948,166.0599,0,0,0,0,0,0,0,0,0
2003165,-69.7431,165.6702,0,0,0,0,0,0,0,0,0
2003166,-69.7,165.4,1,0,0,0,0,0,0,88,17
2003167,-69.6624,165.2182,0,0,0,0,0,0,0,0,0
2003168,-69.6265,165.0622,0,0,0,0,0,0,0,0,0
2003169,-69.593,164.9272,0,0,0,0,0,0,0,0,0
2003170,-69.5627,164.8082,0,0,0,0,0,0,0,0,0
2003171,-69.5366,164.7006,0,0,0,0,0,0,0,0,0
2003172,-69.5154,164.5995,0,0,0,0,0,0,0,0,0
2003173,-69.5,164.5,1,-69.6333,165.4833,1,-69.6333,165.4833,1,88,17
2003174,0,0,0,-69.6428,165.0474,1,-69.6428,165.0474,1,0,0
2003175,0,0,0,-69.6428,165.0474,1,-69.6428,165.0474,1,0,0
2003176,0,0,0,-69.6428,165.0474,1,-69.6428,165.0474,1,0,0
2003177,0,0,0,-69.6428,165.0474,1,-69.6428,165.0474,1,0,0
2003178,0,0,0,-69.6093,164.8602,1,-69.6093,164.8602,1,0,0
2003179,0,0,0,-69.5635,164.4359,1,-69.5635,164.4359,1,0,0
2003180,0,0,0,-69.5635,164.4359,1,-69.5635,164.4359,1,0,0
