date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2002339,0,0,0,-74.1833,174.75,1,0,0,0,0,0
2002340,0,0,0,-74.1833,174.75,1,0,0,0,0,0
2002341,0,0,0,-74.1833,174.75,1,0,0,0,0,0
2002342,0,0,0,-74.1833,174.75,1,0,0,0,0,0
2002343,0,0,0,-74.197,174.8653,1,0,0,0,0,0
2002344,0,0,0,-74.2724,174.8204,1,0,0,0,0,0
2002345,0,0,0,-74.2542,174.5264,1,0,0,0,0,0
2002346,0,0,0,-74.2459,174.4,1,0,0,0,0,0
2002347,0,0,0,-74.2459,174.4,1,0,0,0,0,0
2002348,0,0,0,-74.2955,174.2506,1,0,0,0,0,0
2002349,0,0,0,-74.3061,174.0968,1,0,0,0,0,0
2002350,0,0,0,-74.3154,173.8866,1,0,0,0,0,0
2002351,0,0,0,-74.3154,173.8866,1,0,0,0,0,0
2002352,0,0,0,-74.3154,173.8866,1,0,0,0,0,0
2002353,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002354,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002355,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002356,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002357,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002358,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002359,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002360,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002361,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002362,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002363,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002364,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2002365,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2003001,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2003002,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2003003,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2003004,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2003005,0,0,0,-74.2397,173.7489,1,0,0,0,0,0
2003006,0,0,0,-74.1836,173.6508,1,0,0,0,0,0
2003007,0,0,0,-74.1836,173.6508,1,0,0,0,0,0
2003008,0,0,0,-74.1836,173.6508,1,0,0,0,0,0
2003009,0,0,0,-74.0878,173.7652,1,0,0,0,0,0
2003010,0,0,0,-74.0878,173.7652,1,0,0,0,0,0
2003011,0,0,0,-74.0878,173.7652,1,0,0,0,0,0
2003012,0,0,0,-74.0878,173.7652,1,0,0,0,0,0
2003013,0,0,0,-74.0878,173.7652,1,0,0,0,0,0
2003014,0,0,0,-74.0878,173.7652,1,0,0,0,0,0
2003015,0,0,0,-74.0878,173.7652,1,0,0,0,0,0
2003016,0,0,0,-73.9654,173.8315,1,0,0,0,0,0
