ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2003159,-69.8,166.3,1,0,0,0,0,0,0,0,0,0,20,13
0,0,0,2003160,-69.7631,165.7119,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003161,-69.7241,165.1545,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003162,-69.6829,164.6385,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003163,-69.6398,164.1745,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003164,-69.5949,163.773,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003165,-69.5482,163.4447,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003166,-69.5,163.2,1,0,0,0,0,0,0,0,0,0,20,13
0,0,0,2003167,-69.4449,163.0186,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003168,-69.3807,162.8679,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003169,-69.3126,162.74,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003170,-69.2454,162.6271,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003171,-69.1843,162.5214,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003172,-69.1342,162.4149,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2003173,-69.1,162.3,1,0,0,0,-69.4333,162.8333,1,-69.4333,162.8333,1,20,13
0,0,0,2003174,0,0,0,0,0,0,-69.4272,162.8517,1,-69.4333,162.8333,1,0,0
0,0,0,2003175,0,0,0,0,0,0,-69.4333,162.8333,1,-69.4333,162.8333,1,0,0
0,0,0,2003176,0,0,0,0,0,0,-69.3564,162.6904,1,-69.3564,162.6904,1,0,0
0,0,0,2003177,0,0,0,0,0,0,-69.3564,162.6904,1,-69.3564,162.6904,1,0,0
0,0,0,2003178,0,0,0,0,0,0,-69.2412,162.5709,1,-69.2412,162.5709,1,0,0
0,0,0,2003179,0,0,0,0,0,0,-69.132,162.411,1,-69.132,162.411,1,0,0
0,0,0,2003180,0,0,0,0,0,0,-69.132,162.411,1,-69.132,162.411,1,0,0
0,0,0,2003181,0,0,0,0,0,0,-69.0626,162.3714,1,-69.0626,162.3714,1,0,0
0,0,0,2003182,0,0,0,0,0,0,-69.0626,162.3714,1,-69.0626,162.3714,1,0,0
0,0,0,2003183,0,0,0,0,0,0,-69.0163,161.9657,1,-69.0163,161.9657,1,0,0
0,0,0,2003184,0,0,0,0,0,0,-68.9665,161.4785,1,-68.9665,161.4785,1,0,0
0,0,0,2003185,0,0,0,0,0,0,-68.9665,161.4785,1,-68.9187,161.1972,0,0,0
0,0,0,2003186,0,0,0,0,0,0,-68.8925,161.0673,1,-68.8925,161.0673,1,0,0
0,0,0,2003187,-68.9,160.7,1,0,0,0,-68.8925,161.0673,1,-68.8925,161.0673,1,20,13
0,0,0,2003188,0,0,0,0,0,0,-68.8925,161.0673,1,-68.8925,161.0673,1,0,0
0,0,0,2003189,0,0,0,0,0,0,-68.8146,160.6761,1,-68.8146,160.6761,1,0,0
0,0,0,2003190,0,0,0,0,0,0,-68.8146,160.6761,1,-68.8146,160.6761,1,0,0
0,0,0,2003191,0,0,0,0,0,0,-68.8146,160.6761,1,-68.8146,160.6761,1,0,0
0,0,0,2003192,0,0,0,0,0,0,-68.8146,160.6761,1,-68.8146,160.6761,1,0,0
0,0,0,2003193,0,0,0,0,0,0,-68.769,160.2989,1,-68.769,160.2989,1,0,0
0,0,0,2003194,0,0,0,0,0,0,-68.769,160.2989,1,-68.769,160.2989,1,0,0
0,0,0,2003195,0,0,0,0,0,0,-68.7459,159.7599,1,-68.7459,159.7599,1,0,0
0,0,0,2003196,0,0,0,0,0,0,-68.788,158.82,1,-68.788,158.82,1,0,0
0,0,0,2003197,0,0,0,0,0,0,-68.8806,158.8388,1,-68.8806,158.8388,1,0,0
0,0,0,2003198,0,0,0,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,0,0
0,0,0,2003199,0,0,0,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,0,0
0,0,0,2003200,0,0,0,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,0,0
0,0,0,2003201,-68.9,158.6,1,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,20,13
0,0,0,2003202,0,0,0,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,0,0
0,0,0,2003203,0,0,0,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,0,0
0,0,0,2003204,0,0,0,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,0,0
0,0,0,2003205,0,0,0,0,0,0,-68.9172,158.6269,1,-68.9172,158.6269,1,0,0
0,0,0,2003206,0,0,0,0,0,0,-68.8585,158.5578,1,-68.8585,158.5578,1,0,0
0,0,0,2003207,0,0,0,0,0,0,-68.8585,158.5578,1,-68.8585,158.5578,1,0,0
0,0,0,2003208,0,0,0,0,0,0,-68.8314,158.477,1,-68.8314,158.477,1,0,0
0,0,0,2003209,0,0,0,0,0,0,-68.8314,158.477,1,-68.8314,158.477,1,0,0
0,0,0,2003210,0,0,0,0,0,0,-68.8314,158.477,1,-68.8314,158.477,1,0,0
0,0,0,2003211,0,0,0,0,0,0,-68.8314,158.477,1,-68.8314,158.477,1,0,0
0,0,0,2003212,0,0,0,0,0,0,-68.8172,158.3217,1,-68.8172,158.3217,1,0,0
0,0,0,2003213,0,0,0,0,0,0,-68.8172,158.3217,1,-68.8172,158.3217,1,0,0
0,0,0,2003214,0,0,0,0,0,0,-68.8172,158.3217,1,-68.8172,158.3217,1,0,0
