ascat_1,ascat_2,ascat_3,date
-54.0076,-35.7624,1,2012203
-54.0342,-35.7362,1,2012204
-54.0817,-35.6965,1,2012205
-54.0559,-35.6798,0,2012206
-54.0301,-35.6728,1,2012207
-54.1225,-35.7269,1,2012208
-54.1838,-35.6058,1,2012209
-54.1982,-35.565,1,2012210
-54.2836,-35.532,1,2012211
-54.2808,-35.535,0,2012212
-54.2735,-35.5444,0,2012213
-54.2633,-35.561,0,2012214
-54.2517,-35.5856,0,2012215
-54.2403,-35.619,0,2012216
-54.2307,-35.662,0,2012217
-54.2243,-35.7154,1,2012218
-54.2211,-35.9472,1,2012219
-54.1398,-36.1612,1,2012220
-54.1025,-36.1339,1,2012221
-54.0859,-36.1131,1,2012222
-54.1557,-36.1604,1,2012223
-54.1542,-36.2772,1,2012224
-54.1225,-36.2966,1,2012225
-54.0976,-36.3246,1,2012226
-54.145,-36.3046,1,2012227
-54.1419,-36.31,0,2012228
-54.135,-36.3218,0,2012229
-54.128,-36.3335,0,2012230
-54.1249,-36.3389,1,2012231
-54.1435,-36.3331,0,2012232
-54.1781,-36.3208,0,2012233
-54.1967,-36.3101,1,2012234
-54.1766,-36.3023,0,2012235
-54.1392,-36.2954,0,2012236
-54.1191,-36.2924,1,2012237
-54.1694,-36.2958,1,2012238
-54.1343,-36.3707,1,2012239
-54.0792,-36.3536,0,2012240
-54.0436,-36.3359,1,2012241
-54.076,-36.3348,0,2012242
-54.1361,-36.3341,0,2012243
-54.1685,-36.3339,1,2012244
-54.1466,-36.3385,0,2012245
-54.1061,-36.3506,0,2012246
-54.0842,-36.3671,1,2012247
-54.0939,-36.3987,1,2012248
-54.0723,-36.4307,1,2012249
-54.1067,-36.375,1,2012250
-54.1233,-36.3367,1,2012251
-54.0405,-36.1941,1,2012252
-54.0921,-36.2783,1,2012253
-54.1121,-36.3031,1,2012254
-54.1117,-36.3816,1,2012255
-54.1473,-36.4064,1,2012256
-54.127,-36.3217,1,2012257
-54.1165,-36.3284,1,2012258
-54.0731,-36.2742,1,2012259
-54.0865,-36.2844,0,2012260
-54.1139,-36.3032,0,2012261
-54.1361,-36.3134,1,2012262
-54.1465,-36.3068,1,2012263
-54.1013,-36.2502,1,2012264
-54.1299,-36.2859,1,2012265
-54.1255,-36.3793,1,2012266
-54.1255,-36.3793,1,2012267
-54.115,-36.3857,1,2012268
-54.115,-36.3857,0,2012269
-54.115,-36.3857,0,2012270
-54.115,-36.3856,1,2012271
-54.1044,-36.3673,0,2012272
-54.0938,-36.3392,1,2012273
-54.1584,-36.3214,1,2012274
-54.1557,-36.3253,0,2012275
-54.1487,-36.3355,0,2012276
-54.139,-36.3493,0,2012277
-54.1281,-36.3644,0,2012278
-54.1176,-36.3782,0,2012279
-54.1092,-36.3884,0,2012280
-54.1043,-36.3923,1,2012281
-54.1025,-36.2712,1,2012282
-54.0261,-36.2157,1,2012283
-54.0295,-36.1608,1,2012284
-54.0034,-36.1678,1,2012285
-53.9347,-36.0826,1,2012286
-53.8984,-36.0183,1,2012287
-53.8975,-36.0565,1,2012288
-53.8853,-36.0609,1,2012289
-53.9,-36.0985,1,2012290
-53.8882,-36.0839,1,2012291
-53.9043,-36.0646,1,2012292
-53.8607,-36.1478,1,2012293
-53.839,-36.1207,1,2012294
-53.9051,-36.1045,1,2012295
-53.8599,-36.1077,1,2012296
-53.8634,-36.1118,1,2012297
-53.8622,-36.0908,1,2012298
-53.8892,-36.046,1,2012299
-53.8762,-36.0105,1,2012300
-53.8837,-36.0589,1,2012301
-53.8866,-36.0819,1,2012302
-53.8863,-36.0754,0,2012303
-53.8854,-36.0608,1,2012304
-53.8774,-36.0315,1,2012305
-53.9246,-36.0115,1,2012306
-53.8979,-36.0375,1,2012307
-53.911,-36.073,1,2012308
-53.8705,-36.1013,1,2012309
-53.85,-36.0953,1,2012310
-53.8905,-36.067,1,2012311
-53.8701,-36.1202,1,2012312
-53.8665,-36.057,1,2012313
-53.8501,-36.0175,1,2012314
-53.8577,-36.0658,1,2012315
-53.9338,-36.0618,1,2012316
-53.8507,-36.0575,1,2012317
-53.8467,-36.0913,1,2012318
-53.8771,-36.0504,1,2012319
-53.8727,-36.0844,1,2012320
-53.8677,-36.0781,1,2012321
-53.8636,-36.034,1,2012322
-53.8998,-36.0395,1,2012323
-53.9287,-36.0556,1,2012324
-53.9087,-36.0898,1,2012325
-53.9059,-36.0666,1,2012326
-53.9114,-36.0539,1,2012327
-53.8448,-36.0892,1,2012328
-53.849,-35.9963,1,2012329
-53.8804,-36.0548,1,2012330
-53.9043,-36.0646,1,2012331
-53.898,-36.0374,1,2012332
-53.8975,-36.0564,1,2012333
-53.9122,-36.094,1,2012334
-53.8721,-36.1032,1,2012335
-53.8909,-36.048,1,2012336
-53.9073,-36.0098,1,2012337
-53.9598,-36.055,1,2012338
-53.9677,-36.0061,1,2012339
-53.905,-36.0268,1,2012340
-53.874,-36.0718,0,2012341
-53.8566,-36.1038,1,2012342
-53.8502,-36.0174,1,2012343
-53.8522,-36.0786,1,2012344
-53.8581,-36.0467,1,2012345
-53.8796,-36.0147,1,2012346
-53.8526,-36.0596,1,2012347
-53.8589,-36.0868,1,2012348
-53.8538,-36.0805,1,2012349
-53.8538,-36.0805,1,2012350
-53.8661,-36.0697,0,2012351
-53.8837,-36.0589,1,2012352
-53.8921,-36.0691,1,2012353
-53.8909,-36.0481,1,2012354
-53.8688,-36.0992,1,2012355
-53.9165,-36.06,1,2012356
-53.9138,-36.096,1,2012357
-53.885,-36.0017,1,2012358
-53.8879,-36.0251,1,2012359
-53.8758,-36.0296,1,2012360
-53.8782,-36.0717,1,2012361
-53.8554,-36.0826,1,2012362
-53.8648,-36.055,1,2012363
-53.8727,-36.0844,1,2012364
-53.8567,-36.1036,1,2012365
-53.8447,-36.0301,1,2012366
-53.8893,-36.1831,1,2013001
-53.8837,-36.1955,1,2013002
-53.8411,-36.1037,1,2013003
-53.8594,-36.0677,1,2013004
-53.8825,-36.0377,1,2013005
-53.8507,-36.1355,1,2013006
-53.8842,-36.0396,1,2013007
-53.9496,-36.1207,1,2013008
-53.9144,-36.136,1,2013009
-53.908,-36.0495,1,2013010
-53.8601,-36.0299,1,2013011
-53.8076,-36.0628,1,2013012
-53.8628,-36.0719,1,2013013
-53.8409,-36.1819,1,2013014
-53.8174,-36.0156,0,2013015
-53.7974,-35.8356,1,2013016
-53.7826,-35.8126,0,2013017
-53.7681,-35.7972,0,2013018
-53.7545,-35.7871,0,2013019
-53.7422,-35.7802,0,2013020
-53.7319,-35.774,0,2013021
-53.7238,-35.7665,0,2013022
-53.7186,-35.7553,0,2013023
