date,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
2003240,-68.75,159.35,1,-68.75,159.35,1
2003241,-68.75,159.35,1,-68.75,159.35,1
2003242,-68.6438,159.1158,1,-68.6438,159.1158,1
2003243,-68.5611,159.095,1,-68.5611,159.095,1
2003244,-68.5611,159.095,1,-68.5611,159.095,1
2003245,-68.3558,158.757,1,-68.3558,158.757,1
2003246,-68.295,158.477,1,-68.295,158.477,1
2003247,-68.295,158.477,1,-68.295,158.477,1
2003248,-68.295,158.477,1,-68.2684,158.4406,0
2003249,-68.295,158.477,1,-68.2049,158.3573,0
2003250,-68.295,158.477,1,-68.1287,158.266,0
2003251,-68.0642,158.2058,1,-68.0642,158.2058,1
2003252,-68.0642,158.2058,1,-68.0075,158.175,0
2003253,-68.0642,158.2058,1,-67.9487,158.1485,0
2003254,-68.0642,158.2058,1,-67.9025,158.1299,0
2003255,-67.8838,158.1229,1,-67.8838,158.1229,1
2003256,-67.8838,158.1229,1,-67.8838,158.1229,1
2003257,-67.8486,158.2194,1,-67.8486,158.2194,1
2003258,-67.8486,158.2194,1,-67.8486,158.2194,1
2003259,-67.8424,158.3892,1,-67.8486,158.2194,1
2003260,-67.8424,158.3892,1,-67.8486,158.2194,1
2003261,-67.8424,158.3892,1,-67.7889,157.7203,1
2003262,-67.7458,157.8935,1,-67.7371,157.5103,1
2003263,-67.7176,157.5378,1,-67.6416,157.2475,1
2003264,-67.6992,157.1838,1,-67.6022,157.0168,1
2003265,-67.7305,156.9589,1,-67.6022,157.0168,1
2003266,-67.6332,156.863,1,-67.5476,156.8811,1
2003267,-67.5355,156.3986,1,-67.5117,156.3342,1
2003268,-67.5459,156.2486,1,-67.4685,156.0329,1
2003269,-67.5185,155.8326,1,-67.4685,156.0329,1
2003270,-67.5185,155.8326,1,-67.3941,155.6958,1
2003271,-67.4879,155.7364,1,-67.3941,155.6958,1
2003272,-67.5619,155.5782,1,-67.4826,155.4807,1
2003273,-67.5248,155.3077,1,-67.4675,155.2136,1
2003274,-67.5408,155.1187,1,-67.4206,155.0292,1
2003275,-67.4764,155.1764,1,-67.4206,155.0292,0
2003276,-67.4764,155.1764,1,-67.4206,155.0292,1
2003277,-67.5041,155.0352,1,-67.4206,155.0292,1
2003278,-67.5041,155.0352,1,-67.4206,155.0292,1
2003279,-67.5168,154.9704,1,-67.4206,155.0292,1
2003280,-67.5168,154.9704,1,-67.4206,155.0292,1
2003281,-67.5168,154.9704,1,-67.4206,155.0292,1
2003282,-67.5168,154.9704,1,-67.4206,155.0292,1
2003283,-67.5168,154.9704,1,-67.4206,155.0292,1
2003284,-67.5168,154.9704,1,-67.4206,155.0292,1
2003285,-67.5168,154.9704,1,-67.4206,155.0292,1
2003286,-67.5168,154.9704,1,-67.4206,155.0292,1
2003287,-67.5168,154.9704,1,-67.4206,155.0292,1
2003288,-67.5168,154.9704,1,-67.4206,155.0292,1
2003289,-67.5168,154.9704,1,-67.4206,155.0292,1
2003290,-67.5168,154.9704,1,-67.4206,155.0292,1
