date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2003068,-65,95.8,1,0,0,0,0,0,0,22,11
2003069,-65,95.7787,0,0,0,0,0,0,0,0,0
2003070,-65,95.7583,0,0,0,0,0,0,0,0,0
2003071,-65,95.7397,0,0,0,0,0,0,0,0,0
2003072,-65,95.7236,0,0,0,0,0,0,0,0,0
2003073,-65,95.7111,0,0,0,0,0,0,0,0,0
2003074,-65,95.7029,0,0,0,0,0,0,0,0,0
2003075,-65,95.7,1,0,0,0,0,0,0,22,11
2003076,-65,95.7,0,0,0,0,0,0,0,0,0
2003077,-65,95.7,0,0,0,0,0,0,0,0,0
2003078,-65,95.7,0,0,0,0,0,0,0,0,0
2003079,-65,95.7,0,0,0,0,0,0,0,0,0
2003080,-65,95.7,0,0,0,0,0,0,0,0,0
2003081,-65,95.7,0,0,0,0,0,0,0,0,0
2003082,-65,95.7,1,-65.0667,95.7667,1,0,0,0,22,11
2003083,-65,95.7,0,-65.0667,95.7667,1,0,0,0,0,0
2003084,-65,95.7,0,-65.0667,95.7667,1,0,0,0,0,0
2003085,-65,95.7,0,-65.0667,95.7667,1,0,0,0,0,0
2003086,-65,95.7,0,-65.0667,95.7667,1,0,0,0,0,0
2003087,-65,95.7,0,-65.0667,95.7667,1,0,0,0,0,0
2003088,-65,95.7,0,-65.0667,95.7667,1,0,0,0,0,0
2003089,-65,95.7,1,-65.0667,95.7667,1,0,0,0,22,11
2003090,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003091,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003092,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003093,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003094,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003095,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003096,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003097,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003098,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003099,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003100,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003101,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003102,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003103,-65.05,95.65,1,-65.0667,95.7667,1,0,0,0,22,11
2003104,-65.0472,95.6528,0,-65.0667,95.7667,1,0,0,0,0,0
2003105,-65.0401,95.6599,0,-65.0667,95.7667,1,0,0,0,0,0
2003106,-65.0303,95.6697,0,-65.0667,95.7667,1,0,0,0,0,0
2003107,-65.0197,95.6803,0,-65.0667,95.7667,1,0,0,0,0,0
2003108,-65.0099,95.6901,0,-65.0667,95.7667,1,0,0,0,0,0
2003109,-65.0028,95.6972,0,-65.0667,95.7667,1,0,0,0,0,0
2003110,-65,95.7,1,-65.0667,95.7667,1,0,0,0,22,11
2003111,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003112,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003113,0,0,0,-65.0667,95.7667,1,0,0,0,0,0
2003114,0,0,0,-65.0667,95.7667,1,-65.0667,95.7667,1,0,0
2003115,0,0,0,-65.0667,95.7667,1,-65.0667,95.7667,1,0,0
2003116,0,0,0,-65.0667,95.7667,1,-65.0667,95.7667,1,0,0
2003117,0,0,0,-65.0667,95.7667,1,-65.0667,95.7667,1,0,0
2003118,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003119,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003120,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003121,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003122,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003123,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003124,-65,95.7,1,-65.0937,95.6746,1,-65.0937,95.6746,1,22,11
2003125,-65,95.6889,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003126,-65,95.6603,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003127,-65,95.6213,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003128,-65,95.5787,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003129,-65,95.5397,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003130,-65,95.5111,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003131,-65,95.5,1,-65.0937,95.6746,1,-65.0937,95.6746,1,22,11
2003132,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003133,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003134,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003135,0,0,0,-65.0937,95.6746,1,-65.0937,95.6746,1,0,0
2003136,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003137,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003138,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003139,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003140,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003141,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003142,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003143,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003144,0,0,0,-65.0828,95.8081,1,-65.0828,95.8081,1,0,0
2003145,-65,95.7,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003146,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003147,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003148,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003149,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003150,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003151,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003152,-65,95.7,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003153,-65,95.6945,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003154,-65,95.6802,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003155,-65,95.6606,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003156,-65,95.6394,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003157,-65,95.6198,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003158,-65,95.6055,0,-65.0803,95.7535,1,0,0,0,0,0
2003159,-65,95.6,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003160,-65,95.6055,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003161,-65,95.6198,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003162,-65,95.6394,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003163,-65,95.6606,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003164,-65,95.6802,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003165,-65,95.6945,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003166,-65,95.7,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003167,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003168,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003169,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003170,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003171,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003172,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003173,-65,95.7,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003174,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003175,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003176,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003177,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003178,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003179,-65,95.7,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003180,-65,95.7,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003181,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003182,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003183,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003184,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003185,0,0,0,-65.0803,95.7535,1,0,0,0,0,0
2003186,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003187,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003188,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003189,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003190,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003191,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003192,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003193,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003194,-65,95.6,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003195,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003196,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003197,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003198,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003199,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003200,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003201,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003202,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003203,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003204,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003205,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003206,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003207,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003208,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003209,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003210,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003211,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003212,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003213,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003214,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003215,-65,95.7,1,-65.0803,95.7535,1,-65.0803,95.7535,1,22,11
2003216,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003217,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003218,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003219,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003220,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003221,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003222,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003223,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003224,0,0,0,-65.0803,95.7535,1,-65.0803,95.7535,1,0,0
2003225,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003226,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003227,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003228,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003229,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003230,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003231,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003232,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003233,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003234,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003235,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003236,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003237,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003238,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003239,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003240,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003241,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003242,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003243,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003244,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003245,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003246,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003247,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003248,0,0,0,-65.0894,95.7151,1,0,0,0,0,0
2003249,0,0,0,-65.0894,95.7151,1,0,0,0,0,0
2003250,-65,95.7,1,-65.0894,95.7151,1,0,0,0,22,11
2003251,-65,95.7,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003252,-65,95.7,0,-65.0894,95.7151,1,0,0,0,0,0
2003253,-65,95.7,0,-65.0894,95.7151,1,0,0,0,0,0
2003254,-65,95.7,0,-65.0894,95.7151,1,0,0,0,0,0
2003255,-65,95.7,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003256,-65,95.7,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003257,-65,95.7,1,-65.0894,95.7151,1,-65.0894,95.7151,1,22,11
2003258,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003259,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003260,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003261,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003262,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003263,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003264,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003265,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003266,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003267,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003268,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003269,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003270,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003271,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003272,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003273,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003274,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003275,0,0,0,-65.0894,95.7151,1,0,0,0,0,0
2003276,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003277,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003278,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003279,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003280,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003281,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003282,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003283,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003284,0,0,0,-65.0894,95.7151,1,-65.0894,95.7151,1,0,0
2003285,-65,95.7,1,-65.0894,95.7151,1,-65.0894,95.7151,1,22,11
