date,nic_1,nic_2,nic_3,size_1,size_2
2005072,-65.85,84.47,1,14,3
2005212,-65.82,84.47,1,14,3
2005213,-65.8217,84.4689,0,0,0
2005214,-65.8259,84.466,0,0,0
2005215,-65.8318,84.4621,0,0,0
2005216,-65.8382,84.4579,0,0,0
2005217,-65.8441,84.454,0,0,0
2005218,-65.8483,84.4511,0,0,0
2005219,-65.85,84.45,1,14,3
2005233,-65.83,84.48,1,14,3
2005247,-65.82,84.48,1,14,3
2005248,-65.8206,84.4811,0,0,0
2005249,-65.822,84.484,0,0,0
2005250,-65.8239,84.4879,0,0,0
2005251,-65.8261,84.4921,0,0,0
2005252,-65.828,84.496,0,0,0
2005253,-65.8294,84.4989,0,0,0
2005254,-65.83,84.5,1,14,3
2005255,-65.83,84.5,0,0,0
2005256,-65.83,84.5,0,0,0
2005257,-65.83,84.5,0,0,0
2005258,-65.83,84.5,0,0,0
2005259,-65.83,84.5,0,0,0
2005260,-65.83,84.5,0,0,0
2005261,-65.83,84.5,1,14,3
2005262,-65.83,84.5011,0,0,0
2005263,-65.83,84.504,0,0,0
2005264,-65.83,84.5079,0,0,0
2005265,-65.83,84.5121,0,0,0
2005266,-65.83,84.516,0,0,0
2005267,-65.83,84.5189,0,0,0
2005268,-65.83,84.52,1,14,3
2005269,-65.83,84.5172,0,0,0
2005270,-65.83,84.5101,0,0,0
2005271,-65.83,84.5003,0,0,0
2005272,-65.83,84.4897,0,0,0
2005273,-65.83,84.4799,0,0,0
2005274,-65.83,84.4728,0,0,0
2005275,-65.83,84.47,1,14,3
2005296,-65.83,84.47,1,14,3
2005317,-65.83,84.43,1,14,3
2005338,-65.83,84.43,1,14,3
2005339,-65.83,84.43,0,0,0
2005340,-65.83,84.43,0,0,0
2005341,-65.83,84.43,0,0,0
2005342,-65.83,84.43,0,0,0
2005343,-65.83,84.43,0,0,0
2005344,-65.83,84.43,0,0,0
2005345,-65.83,84.43,1,14,3
2005346,-65.83,84.43,0,0,0
2005347,-65.83,84.43,0,0,0
2005348,-65.83,84.43,0,0,0
2005349,-65.83,84.43,0,0,0
2005350,-65.83,84.43,0,0,0
2005351,-65.83,84.43,0,0,0
2005352,-65.83,84.43,1,14,3
2006015,-65.85,84.5,1,14,3
2006016,-65.85,84.5,0,0,0
2006017,-65.85,84.5,0,0,0
2006018,-65.85,84.5,0,0,0
2006019,-65.85,84.5,0,0,0
2006020,-65.85,84.5,0,0,0
2006021,-65.85,84.5,0,0,0
