ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2010094,-65.75,142.68,1,0,0,0,21,20
0,0,0,2010095,-65.718,142.7503,0,0,0,0,0,0
0,0,0,2010096,-65.6861,142.8008,0,0,0,0,0,0
0,0,0,2010097,-65.6545,142.8345,0,0,0,0,0,0
0,0,0,2010098,-65.623,142.855,0,0,0,0,0,0
0,0,0,2010099,-65.5918,142.8656,0,0,0,0,0,0
0,0,0,2010100,-65.5608,142.8694,0,0,0,0,0,0
0,0,0,2010101,-65.53,142.87,1,0,0,0,21,20
0,0,0,2010102,-65.4958,142.8098,0,0,0,0,0,0
0,0,0,2010103,-65.457,142.6492,0,0,0,0,0,0
0,0,0,2010104,-65.4173,142.4186,0,0,0,0,0,0
0,0,0,2010105,-65.3801,142.1481,0,0,0,0,0,0
0,0,0,2010106,-65.3491,141.868,0,0,0,0,0,0
0,0,0,2010107,-65.3279,141.6086,0,0,0,0,0,0
0,0,0,2010108,-65.32,141.4,1,0,0,0,21,20
0,0,0,2010109,-65.32,141.2372,0,0,0,0,0,0
0,0,0,2010110,-65.32,141.0904,0,0,0,0,0,0
0,0,0,2010111,-65.32,140.9533,0,0,0,0,0,0
0,0,0,2010112,-65.32,140.8192,0,0,0,0,0,0
0,0,0,2010113,-65.32,140.6816,0,0,0,0,0,0
0,0,0,2010114,-65.32,140.5341,0,0,0,0,0,0
0,0,0,2010115,-65.32,140.37,1,0,0,0,21,20
0,0,0,2010116,-65.3228,140.1826,0,0,0,0,0,0
0,0,0,2010117,-65.3299,139.9741,0,0,0,0,0,0
0,0,0,2010118,-65.3397,139.7518,0,0,0,0,0,0
0,0,0,2010119,-65.3503,139.523,0,0,0,0,0,0
0,0,0,2010120,-65.3601,139.2949,0,0,0,0,0,0
0,0,0,2010121,-65.3672,139.0748,0,0,0,0,0,0
0,0,0,2010122,-65.37,138.87,1,0,0,0,21,20
0,0,0,2010123,-65.3645,138.6843,0,0,0,0,0,0
0,0,0,2010124,-65.3494,138.5122,0,0,0,0,0,0
0,0,0,2010125,-65.3266,138.3471,0,0,0,0,0,0
0,0,0,2010126,-65.2983,138.1821,0,0,0,0,0,0
0,0,0,2010127,-65.2664,138.0104,0,0,0,0,0,0
0,0,0,2010128,-65.233,137.8253,0,0,0,0,0,0
0,0,0,2010129,-65.2,137.62,1,0,0,0,21,20
0,0,0,2010130,-65.1612,137.3723,0,0,0,0,0,0
0,0,0,2010131,-65.1121,137.0787,0,0,0,0,0,0
0,0,0,2010132,-65.0572,136.7605,0,0,0,0,0,0
0,0,0,2010133,-65.001,136.4392,0,0,0,0,0,0
0,0,0,2010134,-64.948,136.1361,0,0,0,0,0,0
0,0,0,2010135,-64.9028,135.8725,0,0,0,0,0,0
0,0,0,2010136,-64.87,135.67,1,0,0,0,21,20
0,0,0,2010137,-64.8473,135.5202,0,0,0,0,0,0
0,0,0,2010138,-64.8288,135.395,0,0,0,0,0,0
0,0,0,2010139,-64.8129,135.2862,0,0,0,0,0,0
0,0,0,2010140,-64.7984,135.1855,0,0,0,0,0,0
0,0,0,2010141,-64.784,135.0848,0,0,0,0,0,0
0,0,0,2010142,-64.7683,134.9757,0,0,0,0,0,0
0,0,0,2010143,-64.75,134.85,1,0,0,0,21,20
0,0,0,2010144,-64.7258,134.702,0,0,0,0,0,0
0,0,0,2010145,-64.6958,134.5362,0,0,0,0,0,0
0,0,0,2010146,-64.6634,134.3602,0,0,0,0,0,0
0,0,0,2010147,-64.6321,134.1812,0,0,0,0,0,0
0,0,0,2010148,-64.6055,134.0066,0,0,0,0,0,0
0,0,0,2010149,-64.587,133.8438,0,0,0,0,0,0
0,0,0,2010150,-64.58,133.7,1,0,0,0,21,20
0,0,0,2010151,-64.5836,133.5751,0,0,0,0,0,0
0,0,0,2010152,-64.5935,133.4613,0,0,0,0,0,0
0,0,0,2010153,-64.6079,133.355,0,0,0,0,0,0
0,0,0,2010154,-64.6254,133.2524,0,0,0,0,0,0
0,0,0,2010155,-64.6443,133.1499,0,0,0,0,0,0
0,0,0,2010156,-64.663,133.0436,0,0,0,0,0,0
0,0,0,2010157,-64.68,132.93,1,0,0,0,21,20
0,0,0,2010158,-64.6973,132.799,0,0,0,0,0,0
0,0,0,2010159,-64.7169,132.6504,0,0,0,0,0,0
0,0,0,2010160,-64.7375,132.4954,0,0,0,0,0,0
0,0,0,2010161,-64.7575,132.3448,0,0,0,0,0,0
0,0,0,2010162,-64.7756,132.2097,0,0,0,0,0,0
0,0,0,2010163,-64.7902,132.1011,0,0,0,0,0,0
0,0,0,2010164,-64.8,132.03,1,0,0,0,21,20
0,0,0,2010165,-64.8067,131.9853,0,0,0,0,0,0
0,0,0,2010166,-64.8129,131.9476,0,0,0,0,0,0
0,0,0,2010167,-64.8185,131.9157,0,0,0,0,0,0
0,0,0,2010168,-64.8232,131.8883,0,0,0,0,0,0
0,0,0,2010169,-64.8269,131.864,0,0,0,0,0,0
0,0,0,2010170,-64.8292,131.8417,0,0,0,0,0,0
0,0,0,2010171,-64.83,131.82,1,0,0,0,21,20
0,0,0,2010172,-64.8256,131.8009,0,0,0,0,0,0
0,0,0,2010173,-64.8141,131.7859,0,0,0,0,0,0
0,0,0,2010174,-64.7985,131.773,0,0,0,0,0,0
0,0,0,2010175,-64.7815,131.76,0,0,0,0,0,0
0,0,0,2010176,-64.7659,131.7449,0,0,0,0,0,0
0,0,0,2010177,-64.7544,131.7256,0,0,0,0,0,0
0,0,0,2010178,-64.75,131.7,1,0,0,0,21,20
0,0,0,2010179,-64.7506,131.6501,0,0,0,0,0,0
0,0,0,2010180,-64.7523,131.5658,0,0,0,0,0,0
0,0,0,2010181,-64.7549,131.4571,0,0,0,0,0,0
0,0,0,2010182,-64.7581,131.3342,0,0,0,0,0,0
0,0,0,2010183,-64.7619,131.207,0,0,0,0,0,0
0,0,0,2010184,-64.7659,131.0856,0,0,0,0,0,0
0,0,0,2010185,-64.77,130.98,1,0,0,0,21,20
0,0,0,2010186,-64.7748,130.887,0,0,0,0,0,0
0,0,0,2010187,-64.7809,130.7965,0,0,0,0,0,0
0,0,0,2010188,-64.788,130.7082,0,0,0,0,0,0
0,0,0,2010189,-64.7957,130.6217,0,0,0,0,0,0
0,0,0,2010190,-64.8038,130.5367,0,0,0,0,0,0
0,0,0,2010191,-64.812,130.4529,0,0,0,0,0,0
0,0,0,2010192,-64.82,130.37,1,0,0,0,21,20
0,0,0,2010193,-64.829,130.2804,0,0,0,0,0,0
0,0,0,2010194,-64.8398,130.182,0,0,0,0,0,0
0,0,0,2010195,-64.8512,130.0822,0,0,0,0,0,0
0,0,0,2010196,-64.8621,129.9886,0,0,0,0,0,0
0,0,0,2010197,-64.8713,129.9087,0,0,0,0,0,0
0,0,0,2010198,-64.8776,129.85,0,0,0,0,0,0
0,0,0,2010199,-64.88,129.82,1,0,0,0,21,20
0,0,0,2010200,-64.88,129.8093,0,0,0,0,0,0
0,0,0,2010201,-64.88,129.8024,0,0,0,0,0,0
0,0,0,2010202,-64.88,129.7976,0,0,0,0,0,0
0,0,0,2010203,-64.88,129.7936,0,0,0,0,0,0
0,0,0,2010204,-64.88,129.7887,0,0,0,0,0,0
0,0,0,2010205,-64.88,129.7813,0,0,0,0,0,0
0,0,0,2010206,-64.88,129.77,1,0,0,0,21,20
0,0,0,2010207,-64.8881,129.6974,0,0,0,0,0,0
0,0,0,2010208,-64.9095,129.5281,0,0,0,0,0,0
0,0,0,2010209,-64.9402,129.2931,0,0,0,0,0,0
0,0,0,2010210,-64.9757,129.0237,0,0,0,0,0,0
0,0,0,2010211,-65.012,128.7509,0,0,0,0,0,0
0,0,0,2010212,-65.0449,128.506,0,0,0,0,0,0
0,0,0,2010213,-65.07,128.32,1,0,0,0,21,20
0,0,0,2010214,-65.0907,128.1806,0,0,0,0,0,0
0,0,0,2010215,-65.1121,128.0533,0,0,0,0,0,0
0,0,0,2010216,-65.1328,127.9361,0,0,0,0,0,0
0,0,0,2010217,-65.1513,127.8272,0,0,0,0,0,0
0,0,0,2010218,-65.1663,127.7245,0,0,0,0,0,0
0,0,0,2010219,-65.1763,127.6261,0,0,0,0,0,0
0,0,0,2010220,-65.18,127.53,1,0,0,0,21,20
0,0,0,2010221,-65.1794,127.4277,0,0,0,0,0,0
0,0,0,2010222,-65.178,127.3175,0,0,0,0,0,0
0,0,0,2010223,-65.1761,127.2081,0,0,0,0,0,0
0,0,0,2010224,-65.1739,127.1081,0,0,0,0,0,0
0,0,0,2010225,-65.172,127.026,0,0,0,0,0,0
0,0,0,2010226,-65.1706,126.9704,0,0,0,0,0,0
0,0,0,2010227,-65.17,126.95,1,0,0,0,21,20
