ascat_1,ascat_2,ascat_3,date
-65.7451,124.0546,1,2011242
-65.7488,123.9562,1,2011243
-65.7488,123.9587,0,2011244
-65.7487,123.965,0,2011245
-65.7487,123.9737,0,2011246
-65.7486,123.9832,0,2011247
-65.7486,123.9919,0,2011248
-65.7485,123.9982,0,2011249
-65.7485,124.0007,1,2011250
-65.7583,123.9654,1,2011251
-65.7267,123.9075,1,2011252
-65.7285,123.9874,1,2011253
-65.7097,123.9692,1,2011254
-65.7685,123.8856,1,2011255
-65.7296,123.9829,1,2011256
-65.7898,124.0234,1,2011257
-65.7271,123.9914,1,2011258
-65.7113,123.9205,1,2011259
-65.7126,123.9163,1,2011260
-65.724,123.9607,1,2011261
-65.7093,124.0135,1,2011262
-65.7216,123.9692,1,2011263
-65.7211,123.8852,1,2011264
-65.7497,123.868,1,2011265
-65.7736,123.8238,1,2011266
-65.8092,123.8241,1,2011267
-65.7401,123.8591,1,2011268
-65.746,123.8813,1,2011269
-65.7639,123.8592,1,2011270
-65.6997,123.8766,1,2011271
-65.7028,123.9516,1,2011272
-65.7179,123.9826,1,2011273
-65.7489,123.9563,1,2011274
-65.7239,123.9605,1,2011275
-65.7435,123.8899,1,2011276
-65.7562,123.93,1,2011277
-65.7546,123.9787,1,2011278
-65.7272,123.9916,1,2011279
-65.7113,123.9205,1,2011280
-65.7126,123.9163,1,2011281
-65.7354,123.8766,1,2011282
-65.7415,123.8546,1,2011283
-65.7411,123.899,1,2011284
-65.7431,123.9343,1,2011285
-65.735,123.9209,1,2011286
-65.7496,123.8679,1,2011287
-65.7149,123.9076,1,2011288
-65.7322,123.974,1,2011289
-65.7125,123.9162,1,2011290
-65.7126,123.9163,1,2011291
-65.7044,123.9029,1,2011292
-65.7126,123.9163,1,2011293
-65.711,123.9649,1,2011294
-65.7375,123.912,1,2011295
-65.7562,123.93,1,2011296
-65.7431,123.9343,1,2011297
-65.7121,123.9606,1,2011298
-65.7163,123.9029,1,2011299
-65.7141,123.8676,1,2011300
-65.7302,123.9387,1,2011301
-65.7583,123.9654,1,2011302
-65.7562,123.93,1,2011303
