ascat_1,ascat_2,ascat_3,date
-65.6196,103.1835,1,2022069
-65.5992,103.2075,1,2022070
-65.5992,103.2075,1,2022071
-65.5667,103.1207,1,2022072
-65.6586,102.9717,1,2022073
-65.6282,102.8096,1,2022074
-65.5292,102.5362,1,2022075
-65.4362,102.0453,1,2022076
-65.4426,101.8633,1,2022077
-65.3993,102.0692,1,2022078
-65.2667,101.8269,1,2022079
-65.2645,101.5063,1,2022080
-65.2517,101.3606,1,2022081
-65.23,101.31,1,2022082
-65.23,101.31,1,2022083
-65.23,101.31,1,2022084
-65.23,101.31,1,2022085
-65.23,101.31,1,2022086
-65.23,101.31,1,2022087
-65.23,101.31,1,2022088
-65.22,101.29,1,2022089
-65.22,101.29,1,2022090
-65.22,101.29,1,2022091
-65.22,101.29,1,2022092
-65.22,101.29,1,2022093
-65.22,101.29,1,2022094
-65.22,101.29,1,2022095
-65.22,101.29,1,2022096
-65.22,101.29,1,2022097
-65.22,101.29,1,2022098
-65.22,101.29,1,2022099
-65.22,101.29,1,2022100
-65.22,101.29,1,2022101
-65.22,101.29,1,2022102
-65.22,101.21,1,2022103
-65.22,101.21,1,2022104
-65.22,101.21,1,2022105
-65.22,101.21,1,2022106
-65.22,101.21,1,2022107
-65.22,101.21,1,2022108
-65.22,101.21,1,2022109
-65.22,101.21,1,2022110
-65.22,101.21,1,2022111
-65.22,101.21,1,2022112
-65.22,101.21,1,2022113
-65.22,101.21,1,2022114
-65.22,101.21,1,2022115
-65.22,101.21,1,2022116
-65.22,101.21,1,2022117
-65.22,101.21,1,2022118
-65.22,101.21,1,2022119
-65.22,101.21,1,2022120
-65.22,101.21,1,2022121
-65.22,101.21,1,2022122
-65.22,101.21,1,2022123
-65.22,101.21,1,2022124
-65.22,101.21,1,2022125
-65.22,101.21,1,2022126
-65.22,101.21,1,2022127
-65.22,101.21,1,2022128
-65.22,101.21,1,2022129
-65.22,101.21,1,2022130
-65.22,101.21,1,2022131
-65.22,101.1,1,2022132
-65.22,101.1,1,2022133
-65.22,101.1,1,2022134
-65.22,101.1,1,2022135
-65.22,101.1,1,2022136
-65.22,101.1,1,2022137
-65.22,101.1,1,2022138
-65.22,101.1,1,2022139
-65.2203,101.1014,0,2022140
-65.2213,101.105,0,2022141
-65.2226,101.1104,0,2022142
-65.2242,101.1167,0,2022143
-65.2258,101.1233,0,2022144
-65.2274,101.1296,0,2022145
-65.2287,101.135,0,2022146
-65.2297,101.1386,0,2022147
-65.23,101.14,1,2022148
-65.23,101.14,1,2022149
-65.23,101.14,1,2022150
-65.23,101.14,1,2022151
-65.23,101.14,1,2022152
-65.23,101.14,1,2022153
-65.23,101.14,1,2022154
-65.23,101.14,1,2022155
-65.23,101.14,1,2022156
-65.23,101.14,1,2022157
-65.23,101.14,1,2022158
-65.23,101.07,1,2022159
-65.23,101.07,1,2022160
-65.23,101.07,1,2022161
-65.23,101.07,1,2022162
-65.23,101.07,1,2022163
-65.2485,100.8329,1,2022164
