ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-65.1361,101.7632,1,2022084,-65.2,101.75,1,10,8
-65.1108,101.7033,1,2022085,-65.1957,101.7457,0,0,0
-65.1108,101.7033,1,2022086,-65.1917,101.7417,0,0,0
-65.1221,101.685,1,2022087,-65.1879,101.7379,0,0,0
-65.1221,101.685,1,2022088,-65.1847,101.7347,0,0,0
-65.1049,101.7714,1,2022089,-65.1822,101.7322,0,0,0
-65.1578,101.655,1,2022090,-65.1806,101.7306,0,0,0
-65.18,101.73,1,2022091,-65.18,101.73,1,10,8
-65.18,101.73,1,2022092,-65.18,101.73,0,0,0
-65.18,101.73,1,2022093,-65.18,101.73,0,0,0
-65.18,101.73,1,2022094,-65.18,101.73,0,0,0
-65.1652,101.6347,1,2022095,-65.18,101.73,0,0,0
-65.1652,101.6347,1,2022096,-65.18,101.73,0,0,0
-65.2121,101.5862,1,2022097,-65.18,101.73,0,0,0
-65.18,101.73,1,2022098,-65.18,101.73,1,10,8
-65.18,101.73,1,2022099,-65.1794,101.7261,0,0,0
-65.1632,101.6575,1,2022100,-65.178,101.7161,0,0,0
-65.1632,101.6575,1,2022101,-65.1761,101.7024,0,0,0
-65.1665,101.6353,1,2022102,-65.1739,101.6876,0,0,0
-65.1665,101.6353,1,2022103,-65.172,101.6739,0,0,0
-65.1665,101.6353,1,2022104,-65.1706,101.6639,0,0,0
-65.1665,101.6353,1,2022105,-65.17,101.66,1,10,8
-65.1665,101.6353,1,2022106,-65.17,101.66,0,0,0
-65.1665,101.6353,0,2022107,-65.17,101.66,0,0,0
-65.1665,101.6353,1,2022108,-65.17,101.66,0,0,0
-65.1665,101.6353,0,2022109,-65.17,101.66,0,0,0
-65.1665,101.6353,1,2022110,-65.17,101.66,0,0,0
-65.1683,101.6476,0,2022111,-65.17,101.66,0,0,0
-65.17,101.66,1,2022112,-65.17,101.66,1,10,8
-65.17,101.66,0,2022113,-65.1711,101.6528,0,0,0
-65.17,101.66,1,2022114,-65.174,101.6342,0,0,0
-65.1752,101.6263,0,2022115,-65.1779,101.6088,0,0,0
-65.1848,101.5637,0,2022116,-65.1821,101.5812,0,0,0
-65.19,101.53,1,2022117,-65.186,101.5558,0,0,0
-65.19,101.53,1,2022118,-65.1889,101.5372,0,0,0
-65.19,101.53,0,2022119,-65.19,101.53,1,10,8
-65.19,101.53,0,2022120,-65.19,101.53,0,0,0
-65.19,101.53,1,2022121,-65.19,101.53,0,0,0
-65.19,101.53,1,2022122,-65.19,101.53,0,0,0
-65.19,101.53,0,2022123,-65.19,101.53,0,0,0
-65.19,101.53,0,2022124,-65.19,101.53,0,0,0
-65.19,101.53,1,2022125,-65.19,101.53,0,0,0
-65.19,101.53,1,2022126,-65.19,101.53,1,10,8
-65.19,101.53,0,2022127,-65.19,101.5289,0,0,0
-65.19,101.53,0,2022128,-65.19,101.526,0,0,0
-65.19,101.53,1,2022129,-65.19,101.5221,0,0,0
-65.19,101.53,1,2022130,-65.19,101.5179,0,0,0
-65.19,101.53,0,2022131,-65.19,101.514,0,0,0
-65.19,101.53,0,2022132,-65.19,101.5111,0,0,0
-65.19,101.53,1,2022133,-65.19,101.51,1,10,8
-65.19,101.53,1,2022134,0,0,0,0,0
-65.19,101.53,1,2022135,0,0,0,0,0
-65.19,101.53,1,2022136,0,0,0,0,0
-65.19,101.53,1,2022137,0,0,0,0,0
-65.19,101.53,1,2022138,0,0,0,0,0
-65.19,101.53,1,2022139,0,0,0,0,0
-65.19,101.5314,0,2022140,0,0,0,0,0
-65.19,101.535,0,2022141,0,0,0,0,0
-65.19,101.5404,0,2022142,0,0,0,0,0
-65.19,101.5467,0,2022143,0,0,0,0,0
-65.19,101.5533,0,2022144,0,0,0,0,0
-65.19,101.5596,0,2022145,0,0,0,0,0
-65.19,101.565,0,2022146,0,0,0,0,0
-65.19,101.5686,0,2022147,-65.19,101.57,1,10,8
-65.19,101.57,1,2022148,0,0,0,0,0
-65.1871,101.474,1,2022149,0,0,0,0,0
-65.1871,101.474,1,2022150,0,0,0,0,0
-65.1871,101.474,1,2022151,0,0,0,0,0
-65.1871,101.474,1,2022152,0,0,0,0,0
-65.1871,101.474,1,2022153,0,0,0,0,0
-65.1871,101.474,1,2022154,0,0,0,0,0
-65.1871,101.474,1,2022155,0,0,0,0,0
-65.1871,101.474,1,2022156,0,0,0,0,0
-65.1871,101.474,1,2022157,0,0,0,0,0
-65.211,101.3901,1,2022158,0,0,0,0,0
-65.211,101.3901,1,2022159,0,0,0,0,0
-65.211,101.3901,1,2022160,0,0,0,0,0
-65.211,101.3901,0,2022161,-65.22,101.43,1,10,8
-65.211,101.3901,0,2022162,-65.2218,101.4188,0,0,0
-65.211,101.3901,0,2022163,-65.2237,101.4059,0,0,0
-65.211,101.3901,1,2022164,-65.2256,101.3927,0,0,0
-65.211,101.3901,1,2022165,-65.2273,101.3802,0,0,0
-65.211,101.3901,1,2022166,-65.2287,101.3698,0,0,0
-65.211,101.3901,0,2022167,-65.2297,101.3627,0,0,0
-65.211,101.3901,0,2022168,-65.23,101.36,1,10,8
-65.211,101.3901,0,2022169,-65.23,101.3606,0,0,0
-65.211,101.3901,1,2022170,-65.23,101.362,0,0,0
-65.211,101.3901,1,2022171,-65.23,101.3639,0,0,0
-65.211,101.3901,1,2022172,-65.23,101.3661,0,0,0
-65.211,101.3901,0,2022173,-65.23,101.368,0,0,0
-65.211,101.3901,0,2022174,-65.23,101.3694,0,0,0
-65.211,101.3901,0,2022175,-65.23,101.37,1,10,8
-65.211,101.3901,1,2022176,-65.23,101.37,0,0,0
-65.211,101.3901,1,2022177,-65.23,101.37,0,0,0
-65.211,101.3901,1,2022178,-65.23,101.37,0,0,0
-65.211,101.3901,0,2022179,-65.23,101.37,0,0,0
-65.211,101.3901,0,2022180,-65.23,101.37,0,0,0
-65.211,101.3901,0,2022181,-65.23,101.37,0,0,0
-65.211,101.3901,1,2022182,-65.23,101.37,1,10,8
-65.211,101.3901,1,2022183,-65.2294,101.3694,0,0,0
-65.211,101.3901,1,2022184,-65.228,101.368,0,0,0
-65.211,101.3901,0,2022185,-65.2261,101.3661,0,0,0
-65.211,101.3901,0,2022186,-65.2239,101.3639,0,0,0
-65.211,101.3901,0,2022187,-65.222,101.362,0,0,0
-65.211,101.3901,1,2022188,-65.2206,101.3606,0,0,0
-65.211,101.3901,1,2022189,-65.22,101.36,1,10,8
-65.211,101.3901,1,2022190,-65.22,101.36,0,0,0
-65.211,101.3901,0,2022191,-65.22,101.36,0,0,0
-65.211,101.3901,0,2022192,-65.22,101.36,0,0,0
-65.211,101.3901,0,2022193,-65.22,101.36,0,0,0
-65.211,101.3901,1,2022194,-65.22,101.36,0,0,0
-65.211,101.3901,1,2022195,-65.22,101.36,0,0,0
-65.211,101.3901,1,2022196,-65.22,101.36,1,10,8
-65.211,101.3901,0,2022197,-65.2211,101.3545,0,0,0
-65.211,101.3901,0,2022198,-65.224,101.3402,0,0,0
-65.211,101.3901,0,2022199,-65.2279,101.3206,0,0,0
-65.211,101.3901,1,2022200,-65.2321,101.2994,0,0,0
-65.211,101.3901,1,2022201,-65.236,101.2798,0,0,0
-65.211,101.3901,1,2022202,-65.2389,101.2655,0,0,0
