ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-65.06,101.72,1,2022084,-65.06,101.72,1,8,7
-65.06,101.72,1,2022085,-65.0494,101.7221,0,0,0
-65.06,101.72,1,2022086,-65.0392,101.7242,0,0,0
-65.06,101.72,1,2022087,-65.0298,101.726,0,0,0
-65.06,101.72,1,2022088,-65.0218,101.7276,0,0,0
-65.06,101.72,1,2022089,-65.0155,101.7289,0,0,0
-65.06,101.72,1,2022090,-65.0115,101.7297,0,0,0
-65.01,101.73,1,2022091,-65.01,101.73,1,8,7
-65.01,101.73,1,2022092,-65.01,101.73,0,0,0
-65.01,101.73,1,2022093,-65.01,101.73,0,0,0
-65.01,101.73,1,2022094,-65.01,101.73,0,0,0
-65.01,101.73,1,2022095,-65.01,101.73,0,0,0
-65.01,101.73,1,2022096,-65.01,101.73,0,0,0
-65.01,101.73,1,2022097,-65.01,101.73,0,0,0
-65.01,101.73,1,2022098,-65.01,101.73,1,8,7
-65.01,101.73,1,2022099,-65.0094,101.7283,0,0,0
-65.01,101.73,1,2022100,-65.008,101.7241,0,0,0
-65.01,101.73,1,2022101,-65.0061,101.7182,0,0,0
-65.01,101.73,1,2022102,-65.0039,101.7118,0,0,0
-65.01,101.73,1,2022103,-65.002,101.7059,0,0,0
-65.01,101.73,1,2022104,-65.0006,101.7017,0,0,0
-65.01,101.73,1,2022105,-65,101.7,1,8,7
-65.01,101.73,1,2022106,-65,101.7,0,0,0
-65.01,101.73,0,2022107,-65,101.7,0,0,0
-65.01,101.73,1,2022108,-65,101.7,0,0,0
-65.01,101.73,0,2022109,-65,101.7,0,0,0
-65.01,101.73,1,2022110,-65,101.7,0,0,0
-65.005,101.715,0,2022111,-65,101.7,0,0,0
-65,101.7,1,2022112,-65,101.7,1,8,7
-65,101.7,0,2022113,-65,101.6989,0,0,0
-65,101.7,1,2022114,-65,101.696,0,0,0
-65,101.6948,0,2022115,-65,101.6921,0,0,0
-65,101.6852,0,2022116,-65,101.6879,0,0,0
-65,101.68,1,2022117,-65,101.684,0,0,0
-65,101.68,1,2022118,-65,101.6811,0,0,0
-65,101.68,0,2022119,-65,101.68,1,8,7
-65,101.68,0,2022120,-65,101.68,0,0,0
-65,101.68,1,2022121,-65,101.68,0,0,0
-65,101.68,1,2022122,-65,101.68,0,0,0
-65,101.68,0,2022123,-65,101.68,0,0,0
-65,101.68,0,2022124,-65,101.68,0,0,0
-65,101.68,1,2022125,-65,101.68,0,0,0
-65,101.68,1,2022126,-65,101.68,1,8,7
-64.9961,101.7072,0,2022127,-64.9996,101.6809,0,0,0
-64.9888,101.7576,0,2022128,-64.9986,101.6834,0,0,0
-64.9849,101.7848,1,2022129,-64.9971,101.6873,0,0,0
-64.9849,101.7848,1,2022130,-64.9953,101.6922,0,0,0
-64.9849,101.7848,0,2022131,-64.9934,101.6978,0,0,0
-64.9849,101.7848,0,2022132,-64.9916,101.7038,0,0,0
-64.9849,101.7848,1,2022133,-64.99,101.71,1,8,7
-64.9849,101.7848,1,2022134,0,0,0,0,0
-64.9849,101.7848,1,2022135,0,0,0,0,0
-64.9849,101.7848,1,2022136,0,0,0,0,0
-64.9849,101.7848,1,2022137,0,0,0,0,0
-64.9849,101.7848,1,2022138,0,0,0,0,0
-64.9849,101.7848,1,2022139,0,0,0,0,0
-64.9845,101.7862,0,2022140,0,0,0,0,0
-64.9834,101.7899,0,2022141,0,0,0,0,0
-64.9818,101.7952,0,2022142,0,0,0,0,0
-64.9799,101.8015,0,2022143,0,0,0,0,0
-64.978,101.8082,0,2022144,0,0,0,0,0
-64.9761,101.8145,0,2022145,0,0,0,0,0
-64.9745,101.8198,0,2022146,0,0,0,0,0
-64.9734,101.8235,0,2022147,-64.97,101.9,1,8,7
-64.973,101.8249,1,2022148,0,0,0,0,0
-64.973,101.8249,1,2022149,0,0,0,0,0
-64.973,101.8249,1,2022150,0,0,0,0,0
-64.973,101.8249,1,2022151,0,0,0,0,0
-64.973,101.8249,1,2022152,0,0,0,0,0
-64.973,101.8249,1,2022153,0,0,0,0,0
-64.973,101.8249,1,2022154,0,0,0,0,0
-64.973,101.8249,1,2022155,0,0,0,0,0
-64.973,101.8249,1,2022156,0,0,0,0,0
-64.973,101.8249,1,2022157,0,0,0,0,0
-64.973,101.8249,1,2022158,0,0,0,0,0
-64.973,101.8249,1,2022159,0,0,0,0,0
-64.973,101.8249,1,2022160,0,0,0,0,0
-64.973,101.8249,0,2022161,-64.96,101.78,1,8,7
-64.973,101.8249,0,2022162,-64.9606,101.7759,0,0,0
-64.973,101.8249,0,2022163,-64.962,101.7719,0,0,0
-64.973,101.8249,1,2022164,-64.9639,101.7682,0,0,0
-64.973,101.8249,1,2022165,-64.9661,101.7649,0,0,0
-64.973,101.8249,1,2022166,-64.968,101.7623,0,0,0
-64.973,101.8249,0,2022167,-64.9694,101.7606,0,0,0
-64.973,101.8249,0,2022168,-64.97,101.76,1,8,7
-64.973,101.8249,0,2022169,-64.9689,101.7639,0,0,0
-64.973,101.8249,1,2022170,-64.966,101.7739,0,0,0
-64.973,101.8249,1,2022171,-64.9621,101.7876,0,0,0
-64.973,101.8249,1,2022172,-64.9579,101.8024,0,0,0
-64.973,101.8249,0,2022173,-64.954,101.8161,0,0,0
-64.973,101.8249,0,2022174,-64.9511,101.8261,0,0,0
-64.973,101.8249,0,2022175,-64.95,101.83,1,5,7
-64.973,101.8249,1,2022176,-64.95,101.83,0,0,0
-64.973,101.8249,1,2022177,-64.95,101.83,0,0,0
-64.973,101.8249,1,2022178,-64.95,101.83,0,0,0
-64.973,101.8249,0,2022179,-64.95,101.83,0,0,0
-64.973,101.8249,0,2022180,-64.95,101.83,0,0,0
-64.973,101.8249,0,2022181,-64.95,101.83,0,0,0
-64.973,101.8249,1,2022182,-64.95,101.83,1,5,7
-64.973,101.8249,1,2022183,-64.9494,101.83,0,0,0
-64.973,101.8249,1,2022184,-64.948,101.83,0,0,0
-64.973,101.8249,0,2022185,-64.9461,101.83,0,0,0
-64.973,101.8249,0,2022186,-64.9439,101.83,0,0,0
-64.973,101.8249,0,2022187,-64.942,101.83,0,0,0
-64.973,101.8249,1,2022188,-64.9406,101.83,0,0,0
-64.973,101.8249,1,2022189,-64.94,101.83,1,5,7
-64.973,101.8249,1,2022190,-64.94,101.83,0,0,0
-64.973,101.8249,0,2022191,-64.94,101.83,0,0,0
-64.973,101.8249,0,2022192,-64.94,101.83,0,0,0
-64.973,101.8249,0,2022193,-64.94,101.83,0,0,0
-64.973,101.8249,1,2022194,-64.94,101.83,0,0,0
-64.973,101.8249,1,2022195,-64.94,101.83,0,0,0
-64.973,101.8249,1,2022196,-64.94,101.83,1,5,7
-64.973,101.8249,0,2022197,-64.9417,101.8272,0,0,0
-64.973,101.8249,0,2022198,-64.9459,101.8201,0,0,0
-64.973,101.8249,0,2022199,-64.9518,101.8103,0,0,0
-64.973,101.8249,1,2022200,-64.9582,101.7997,0,0,0
-64.973,101.8249,1,2022201,-64.9641,101.7899,0,0,0
-64.973,101.8249,1,2022202,-64.9683,101.7828,0,0,0
-64.973,101.8249,0,2022203,-64.97,101.78,1,5,7
-64.973,101.8249,0,2022204,-64.9683,101.7833,0,0,0
-64.973,101.8249,0,2022205,-64.9641,101.7919,0,0,0
-64.973,101.8249,1,2022206,-64.9582,101.8036,0,0,0
-64.973,101.8249,1,2022207,-64.9518,101.8164,0,0,0
-64.973,101.8249,1,2022208,-64.9459,101.8281,0,0,0
-64.973,101.8249,0,2022209,-64.9417,101.8367,0,0,0
-64.973,101.8249,0,2022210,-64.94,101.84,1,5,7
-64.973,101.8249,0,2022211,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022212,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022213,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022214,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022215,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022216,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022217,-64.94,101.84,1,5,7
-64.973,101.8249,1,2022218,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022219,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022220,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022221,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022222,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022223,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022224,-64.94,101.84,1,5,7
-64.973,101.8249,1,2022225,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022226,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022227,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022228,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022229,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022230,-64.94,101.84,0,0,0
-64.973,101.8249,1,2022231,-64.94,101.84,1,5,7
-64.973,101.8249,1,2022232,-64.94,101.84,0,0,0
-64.973,101.8249,0,2022233,-64.94,101.84,0,0,0
