date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,size_1,size_2
1994142,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994143,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994144,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994145,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994146,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994147,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994148,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994149,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994150,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994151,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994152,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994153,-66.3,88.17,1,0,0,0,0,0,0,0,0
1994154,-66.2525,88.2321,1,0,0,0,0,0,0,0,0
1994155,-66.1576,88.3563,1,0,0,0,0,0,0,0,0
1994156,-66.0627,88.4804,1,0,0,0,0,0,0,0,0
1994157,-66.0119,88.4976,1,0,0,0,0,0,0,0,0
1994158,-66.005,88.4077,1,0,0,0,0,0,0,0,0
1994159,-65.9982,88.3178,1,0,0,0,0,0,0,0,0
1994160,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994161,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994162,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994163,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994164,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994165,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994166,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994167,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994168,-65.9948,88.2729,1,0,0,0,0,0,0,0,0
1994169,-65.9493,88.2125,1,0,0,0,0,0,0,0,0
1994170,-65.8585,88.0917,1,0,0,0,0,0,0,0,0
1994171,-65.7675,87.9709,1,0,0,0,0,0,0,0,0
1994172,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994173,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994174,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994175,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994176,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994177,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994178,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994179,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994180,-65.7221,87.9105,1,0,0,0,0,0,0,0,0
1994181,-65.7379,87.8451,1,0,0,0,0,0,0,0,0
1994182,-65.7696,87.7142,1,0,0,0,0,0,0,0,0
1994183,-65.8013,87.5834,1,0,0,0,0,0,0,0,0
1994184,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994185,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994186,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994187,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994188,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994189,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994190,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994191,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994192,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994193,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994194,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994195,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994196,-65.8172,87.518,1,0,0,0,0,0,0,0,0
1994197,-65.8172,87.518,1,0,0,0,0,0,0,0,0
