ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-66.1152,85.4462,1,2014165,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014166,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014167,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014168,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014169,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014170,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014171,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014172,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014173,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014174,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014175,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014176,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014177,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014178,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014179,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014180,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014181,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014182,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014183,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014184,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014185,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014186,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014187,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014188,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014189,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014190,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014191,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014192,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014193,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014194,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014195,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014196,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014197,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014198,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014199,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014200,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014201,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014202,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014203,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014204,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014205,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014206,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014207,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014208,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014209,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014210,-66.1,81.6167,1,11,4
-66.1152,85.4462,1,2014211,-66.1,81.6167,1,11,4
