ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-66.15,57.7167,1,2016001,-66.15,57.7167,1,6,5
-66.15,57.7167,1,2016002,-66.15,57.7167,0,0,0
-66.15,57.7167,1,2016003,-66.15,57.7167,0,0,0
-66.15,57.7167,1,2016004,-66.15,57.7167,0,0,0
-66.15,57.7167,1,2016005,-66.15,57.7167,0,0,0
-66.15,57.7167,1,2016006,-66.15,57.7167,0,0,0
-66.15,57.7167,1,2016007,-66.15,57.7167,0,0,0
-66.15,57.7167,1,2016008,-66.15,57.7167,1,6,5
-66.15,57.7167,1,2016009,-66.15,57.7167,0,0,0
-66.1723,57.6395,1,2016010,-66.15,57.7167,0,0,0
-66.1723,57.6395,1,2016011,-66.15,57.7167,0,0,0
-66.1723,57.6395,1,2016012,-66.15,57.7167,0,0,0
-66.1395,57.8078,1,2016013,-66.15,57.7167,0,0,0
-66.1395,57.8078,1,2016014,-66.15,57.7167,0,0,0
-66.1395,57.8078,1,2016015,-66.15,57.7167,1,6,5
-66.1395,57.8078,1,2016016,0,0,0,0,0
-66.1395,57.8078,1,2016017,0,0,0,0,0
-66.1395,57.8078,1,2016018,0,0,0,0,0
-66.1395,57.8078,1,2016019,0,0,0,0,0
-66.1395,57.8078,1,2016020,0,0,0,0,0
-66.1395,57.8078,1,2016021,0,0,0,0,0
-66.1395,57.8078,1,2016022,0,0,0,0,0
-66.1395,57.8078,1,2016023,0,0,0,0,0
-66.1395,57.8078,1,2016024,0,0,0,0,0
-66.1395,57.8078,1,2016025,0,0,0,0,0
-66.1395,57.8078,1,2016026,0,0,0,0,0
-66.1395,57.8078,1,2016027,0,0,0,0,0
-66.1395,57.8078,1,2016028,0,0,0,0,0
-66.1395,57.8078,1,2016029,-66.15,57.7333,1,6,5
-66.197,57.6574,1,2016030,0,0,0,0,0
-66.197,57.6574,1,2016031,0,0,0,0,0
-66.1748,57.6931,0,2016032,0,0,0,0,0
-66.1527,57.7288,1,2016033,0,0,0,0,0
-66.1527,57.7288,1,2016034,0,0,0,0,0
-66.1527,57.7288,1,2016035,0,0,0,0,0
-66.1527,57.7288,1,2016036,0,0,0,0,0
-66.1527,57.7288,1,2016037,0,0,0,0,0
-66.1527,57.7288,1,2016038,0,0,0,0,0
-66.1527,57.7288,1,2016039,0,0,0,0,0
-66.1527,57.7288,0,2016040,0,0,0,0,0
-66.1527,57.7288,1,2016041,0,0,0,0,0
-66.1527,57.7288,1,2016042,0,0,0,0,0
-66.1527,57.7288,1,2016043,0,0,0,0,0
-66.1527,57.7288,1,2016044,0,0,0,0,0
-66.1527,57.7288,1,2016045,0,0,0,0,0
-66.2199,57.5647,1,2016046,0,0,0,0,0
-66.2199,57.5647,0,2016047,0,0,0,0,0
-66.2199,57.5647,1,2016048,0,0,0,0,0
-66.1729,57.7559,1,2016049,0,0,0,0,0
-66.1729,57.7559,1,2016050,0,0,0,0,0
-66.1665,57.6172,1,2016051,0,0,0,0,0
-66.1665,57.6172,1,2016052,0,0,0,0,0
-66.1665,57.6172,1,2016053,0,0,0,0,0
-66.1665,57.6172,1,2016054,0,0,0,0,0
-66.1665,57.6172,0,2016055,0,0,0,0,0
-66.1665,57.6172,1,2016056,0,0,0,0,0
-66.1665,57.6172,1,2016057,0,0,0,0,0
-66.1665,57.6172,1,2016058,0,0,0,0,0
-66.1665,57.6172,1,2016059,0,0,0,0,0
-66.1665,57.6172,0,2016060,0,0,0,0,0
-66.1665,57.6172,1,2016061,0,0,0,0,0
-66.1665,57.6172,1,2016062,0,0,0,0,0
-66.1665,57.6172,1,2016063,0,0,0,0,0
-66.1665,57.6172,1,2016064,-66.1667,57.7,1,6,5
-66.1527,57.7288,1,2016065,-66.1667,57.7,0,0,0
-66.1527,57.7288,1,2016066,-66.1667,57.7,0,0,0
-66.1527,57.7288,1,2016067,-66.1667,57.7,0,0,0
-66.1527,57.7288,0,2016068,-66.1667,57.7,0,0,0
-66.1527,57.7288,1,2016069,-66.1667,57.7,0,0,0
-66.1527,57.7288,0,2016070,-66.1667,57.7,0,0,0
-66.1527,57.7288,1,2016071,-66.1667,57.7,1,4,4
-66.1527,57.7288,1,2016072,0,0,0,0,0
-66.1527,57.7288,1,2016073,0,0,0,0,0
-66.1527,57.7288,1,2016074,0,0,0,0,0
