date,ers_1,ers_2,ers_3
1999208,-75.4037,-166.707,1
1999209,-75.3711,-166.4611,1
1999210,-75.3385,-166.2152,1
1999211,-75.3222,-166.0922,1
1999212,-75.3222,-166.0922,1
1999213,-75.3222,-166.0922,1
1999214,-75.2635,-166.1292,1
1999215,-75.1461,-166.2032,1
1999216,-75.0286,-166.2773,1
1999217,-74.9699,-166.3143,1
1999218,-74.9699,-166.3143,1
1999219,-74.9699,-166.3143,1
1999220,-74.8863,-166.4486,1
1999221,-74.7192,-166.7171,1
1999222,-74.5521,-166.9855,1
1999223,-74.421,-167.1529,1
1999224,-74.3258,-167.2192,1
1999225,-74.2306,-167.2855,1
1999226,-74.1585,-167.3386,1
1999227,-74.1096,-167.3786,1
1999228,-74.0606,-167.4187,1
1999229,-74.0084,-167.6103,1
1999230,-73.9529,-167.9534,1
1999231,-73.8974,-168.2964,1
1999232,-73.8297,-168.679,1
1999233,-73.7497,-169.1009,1
1999234,-73.6697,-169.5228,1
1999235,-73.599,-169.698,1
1999236,-73.5377,-169.6263,1
1999237,-73.4764,-169.5546,1
1999238,-73.4024,-169.6061,1
1999239,-73.3157,-169.7808,1
1999240,-73.229,-169.9554,1
1999241,-73.1355,-170.0603,1
1999242,-73.035,-170.0955,1
1999243,-72.9346,-170.1307,1
1999244,-72.8585,-170.2041,1
1999245,-72.8067,-170.3157,1
1999246,-72.755,-170.4272,1
1999247,-72.7156,-170.5532,1
1999248,-72.6887,-170.6936,1
1999249,-72.6618,-170.8341,1
1999250,-72.6349,-171.0189,1
1999251,-72.6081,-171.2482,1
1999252,-72.5814,-171.4774,1
1999253,-72.568,-171.592,1
1999254,-72.568,-171.592,1
1999255,-72.568,-171.592,1
1999256,-72.551,-171.707,1
1999257,-72.5169,-171.937,1
1999258,-72.4828,-172.167,1
1999259,-72.4658,-172.282,1
1999260,-72.4658,-172.282,1
1999261,-72.4658,-172.282,1
1999262,-72.3999,-172.5141,1
1999263,-72.2681,-172.9783,1
1999264,-72.1363,-173.4425,1
1999265,-72.0326,-173.7407,1
1999266,-71.9569,-173.873,1
1999267,-71.8812,-174.0052,1
1999268,-71.8239,-174.0882,1
1999269,-71.785,-174.122,1
1999270,-71.7461,-174.1558,1
1999271,-71.68,-174.092,1
1999272,-71.5868,-173.9307,1
1999273,-71.4937,-173.7694,1
1999274,-71.4189,-173.6938,1
1999275,-71.3626,-173.7039,1
1999276,-71.3063,-173.714,1
1999277,-71.2521,-173.7436,1
1999278,-71.2002,-173.7926,1
1999279,-71.1482,-173.8415,1
1999280,-71.0991,-173.827,1
1999281,-71.0528,-173.749,1
1999282,-71.0065,-173.671,1
1999283,-70.9833,-173.632,1
1999284,-70.9833,-173.632,1
1999285,-70.9833,-173.632,1
1999286,-70.9374,-173.4536,1
1999287,-70.8457,-173.0967,1
1999288,-70.7539,-172.7398,1
1999289,-70.6656,-172.5137,1
1999290,-70.5807,-172.4185,1
1999291,-70.4959,-172.3232,1
1999292,-70.4535,-172.2756,1
1999293,-70.4535,-172.2756,1
1999294,-70.4535,-172.2756,1
1999295,-70.3972,-172.1542,1
1999296,-70.2846,-171.9113,1
1999297,-70.172,-171.6685,1
1999298,-70.0954,-171.4135,1
1999299,-70.0549,-171.1465,1
1999300,-70.0144,-170.8794,1
1999301,-69.9941,-170.7458,1
1999302,-69.9941,-170.7458,1
1999303,-69.9941,-170.7458,1
1999304,-69.9618,-170.5998,1
1999305,-69.8974,-170.3077,1
1999306,-69.8329,-170.0157,1
1999307,-69.7383,-169.7965,1
1999308,-69.6138,-169.65,1
1999309,-69.4893,-169.5036,1
1999310,-69.3915,-169.4018,1
1999311,-69.3205,-169.3445,1
1999312,-69.2495,-169.2872,1
1999313,-69.1826,-169.2426,1
1999314,-69.1198,-169.2105,1
1999315,-69.0571,-169.1784,1
1999316,-69.0096,-169.1001,1
1999317,-68.9775,-168.9754,1
1999318,-68.9454,-168.8507,1
1999319,-68.9356,-168.7097,1
1999320,-68.9481,-168.5521,1
1999321,-68.9607,-168.3946,1
1999322,-68.9252,-168.1948,1
1999323,-68.8415,-167.9526,1
1999324,-68.7578,-167.7103,1
1999325,-68.7008,-167.5479,1
1999326,-68.6706,-167.4654,1
1999327,-68.6404,-167.3828,1
1999328,-68.6136,-167.3025,1
1999329,-68.5902,-167.2245,1
1999330,-68.5669,-167.1466,1
1999331,-68.5333,-167.0704,1
1999332,-68.4896,-166.9959,1
1999333,-68.4459,-166.9214,1
1999334,-68.3995,-166.8768,1
1999335,-68.3505,-166.8619,1
1999336,-68.3016,-166.8471,1
1999337,-68.2652,-166.8383,1
1999338,-68.2414,-166.8354,1
1999339,-68.2176,-166.8325,1
1999340,-68.1688,-166.7994,1
1999341,-68.095,-166.736,1
1999342,-68.0213,-166.6727,1
1999343,-67.9844,-166.641,1
1999344,-67.9844,-166.641,1
1999345,-67.9844,-166.641,1
1999346,-67.9621,-166.6375,1
1999347,-67.9174,-166.6304,1
1999348,-67.8727,-166.6234,1
1999349,-67.833,-166.6714,1
1999350,-67.7981,-166.7743,1
1999351,-67.7632,-166.8773,1
1999352,-67.7458,-166.9288,1
1999353,-67.7458,-166.9288,1
1999354,-67.7458,-166.9288,1
1999355,-67.7458,-166.9288,1
1999356,-67.7458,-166.9288,1
1999357,-67.7458,-166.9288,1
