date,sass_1,sass_2,sass_3
1978252,-76.804,-37.6601,1
1978253,-76.7321,-38.0004,1
1978254,-76.6602,-38.3407,1
1978255,-76.5882,-38.681,1
1978256,-76.5163,-39.0213,1
1978257,-76.4444,-39.3616,1
1978258,-76.4021,-39.5189,1
1978259,-76.3896,-39.4934,1
1978260,-76.3771,-39.4679,1
1978261,-76.3645,-39.4424,1
1978262,-76.352,-39.4169,1
1978263,-76.3395,-39.3914,1
1978264,-76.3291,-39.4387,1
1978265,-76.321,-39.559,1
1978266,-76.3128,-39.6793,1
1978267,-76.3047,-39.7996,1
1978268,-76.2965,-39.92,1
1978269,-76.2884,-40.0403,1
1978270,-76.2843,-40.1004,1
1978271,-76.2843,-40.1004,1
1978272,-76.2843,-40.1004,1
1978273,-76.2843,-40.1004,1
1978274,-76.2843,-40.1004,1
1978275,-76.2843,-40.1004,1
