ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2006051,0,0,0,-65.6291,115.5827,1
0,0,0,2006052,0,0,0,-65.6291,115.5827,1
0,0,0,2006053,0,0,0,-65.6291,115.5827,1
0,0,0,2006054,0,0,0,-65.6291,115.5827,1
0,0,0,2006055,0,0,0,-65.6291,115.5827,1
0,0,0,2006056,0,0,0,-65.6291,115.5827,1
0,0,0,2006057,0,0,0,-65.6291,115.5827,1
0,0,0,2006058,0,0,0,-65.6291,115.5827,1
0,0,0,2006059,0,0,0,-65.6291,115.5827,1
0,0,0,2006060,0,0,0,-65.6291,115.5827,1
0,0,0,2006061,0,0,0,-65.6291,115.5827,1
0,0,0,2006062,0,0,0,-65.6291,115.5827,1
0,0,0,2006063,0,0,0,-65.6291,115.5827,1
0,0,0,2006064,0,0,0,-65.6291,115.5827,1
0,0,0,2006065,0,0,0,-65.6291,115.5827,1
0,0,0,2006066,0,0,0,-65.6291,115.5827,1
0,0,0,2006067,0,0,0,-65.6291,115.5827,1
0,0,0,2006068,0,0,0,-65.6291,115.5827,1
0,0,0,2006069,0,0,0,-65.6291,115.5827,1
0,0,0,2006070,0,0,0,-65.6291,115.5827,1
0,0,0,2006071,0,0,0,-65.6291,115.5827,1
0,0,0,2006072,0,0,0,-65.6291,115.5827,1
0,0,0,2006073,0,0,0,-65.6291,115.5827,1
0,0,0,2006074,0,0,0,-65.6291,115.5827,1
0,0,0,2006075,0,0,0,-65.6291,115.5827,1
0,0,0,2006076,0,0,0,-65.6291,115.5827,1
0,0,0,2006077,0,0,0,-65.6291,115.5827,1
0,0,0,2006078,0,0,0,-65.6291,115.5827,1
0,0,0,2006079,0,0,0,-65.6291,115.5827,1
0,0,0,2006080,0,0,0,-65.6291,115.5827,1
0,0,0,2006081,0,0,0,-65.6291,115.5827,1
0,0,0,2006082,0,0,0,-65.6291,115.5827,1
0,0,0,2006083,0,0,0,-65.6291,115.5827,1
0,0,0,2006084,0,0,0,-65.6291,115.5827,1
0,0,0,2006085,0,0,0,-65.6291,115.5827,1
0,0,0,2006086,0,0,0,-65.6291,115.5827,1
0,0,0,2006087,0,0,0,-65.6291,115.5827,1
0,0,0,2006088,0,0,0,-65.6291,115.5827,1
0,0,0,2006089,0,0,0,-65.6291,115.5827,1
0,0,0,2006090,0,0,0,-65.6291,115.5827,1
0,0,0,2006091,0,0,0,-65.6291,115.5827,1
0,0,0,2006092,0,0,0,-65.6291,115.5827,1
0,0,0,2006093,0,0,0,-65.6291,115.5827,1
0,0,0,2006094,0,0,0,-65.6291,115.5827,1
0,0,0,2006095,0,0,0,-65.6291,115.5827,1
0,0,0,2006096,0,0,0,-65.6291,115.5827,1
0,0,0,2006097,0,0,0,-65.6291,115.5827,1
0,0,0,2006098,0,0,0,-65.6291,115.5827,1
0,0,0,2006099,0,0,0,-65.6291,115.5827,1
0,0,0,2006100,0,0,0,-65.6291,115.5827,1
0,0,0,2006101,0,0,0,-65.6291,115.5827,1
0,0,0,2006102,0,0,0,-65.6291,115.5827,1
0,0,0,2006103,0,0,0,-65.6291,115.5827,0
0,0,0,2006104,0,0,0,-65.6291,115.5827,1
0,0,0,2006105,0,0,0,-65.6291,115.5827,1
0,0,0,2006106,0,0,0,-65.6291,115.5827,1
0,0,0,2006107,0,0,0,-65.6291,115.5827,1
0,0,0,2006108,0,0,0,-65.6291,115.5827,1
0,0,0,2006109,0,0,0,-65.6291,115.5827,1
0,0,0,2006110,0,0,0,-65.6291,115.5827,1
0,0,0,2006111,0,0,0,-65.6291,115.5827,1
0,0,0,2006112,0,0,0,-65.6291,115.5827,1
0,0,0,2006113,0,0,0,-65.6291,115.5827,1
0,0,0,2006114,0,0,0,-65.6291,115.5827,1
0,0,0,2006115,0,0,0,-65.6291,115.5827,1
0,0,0,2006116,0,0,0,-65.6291,115.5827,1
0,0,0,2006117,0,0,0,-65.6291,115.5827,1
0,0,0,2006118,0,0,0,-65.6291,115.5827,1
0,0,0,2006119,0,0,0,-65.6291,115.5827,1
0,0,0,2006120,0,0,0,-65.6291,115.5827,1
0,0,0,2006121,0,0,0,-65.6291,115.5827,1
0,0,0,2006122,0,0,0,-65.6291,115.5827,1
0,0,0,2006123,0,0,0,-65.6291,115.5827,1
0,0,0,2006124,0,0,0,-65.6291,115.5827,1
0,0,0,2006125,0,0,0,-65.6291,115.5827,1
0,0,0,2006126,0,0,0,-65.6291,115.5827,1
0,0,0,2006127,0,0,0,-65.6291,115.5827,1
0,0,0,2006128,0,0,0,-65.6291,115.5827,1
0,0,0,2006129,0,0,0,-65.6291,115.5827,1
0,0,0,2006130,0,0,0,-65.6291,115.5827,0
0,0,0,2006131,0,0,0,-65.6291,115.5827,1
0,0,0,2006132,0,0,0,-65.6291,115.5827,1
0,0,0,2006133,0,0,0,-65.6291,115.5827,1
0,0,0,2006134,0,0,0,-65.6291,115.5827,1
0,0,0,2006135,0,0,0,-65.6291,115.5827,1
0,0,0,2006136,0,0,0,-65.6291,115.5827,1
0,0,0,2006137,0,0,0,-65.6291,115.5827,1
0,0,0,2006138,0,0,0,-65.6291,115.5827,0
0,0,0,2006139,0,0,0,-65.6291,115.5827,1
0,0,0,2006140,0,0,0,-65.6291,115.5827,1
0,0,0,2006141,0,0,0,-65.6291,115.5827,1
0,0,0,2006142,0,0,0,-65.6291,115.5827,1
0,0,0,2006143,0,0,0,-65.6291,115.5827,1
0,0,0,2006144,0,0,0,-65.6291,115.5827,1
0,0,0,2006145,0,0,0,-65.6291,115.5827,1
0,0,0,2006146,0,0,0,-65.6291,115.5827,1
0,0,0,2006147,0,0,0,-65.6291,115.5827,1
0,0,0,2006148,0,0,0,-65.6291,115.5827,1
0,0,0,2006149,0,0,0,-65.6291,115.5827,1
0,0,0,2006150,0,0,0,-65.6291,115.5827,1
0,0,0,2006151,0,0,0,-65.6291,115.5827,1
0,0,0,2006152,0,0,0,-65.6291,115.5827,1
0,0,0,2006153,0,0,0,-65.6291,115.5827,1
0,0,0,2006154,0,0,0,-65.6291,115.5827,1
0,0,0,2006155,0,0,0,-65.6291,115.5827,1
0,0,0,2006156,0,0,0,-65.6291,115.5827,1
0,0,0,2006157,0,0,0,-65.6291,115.5827,1
0,0,0,2006158,0,0,0,-65.6291,115.5827,1
0,0,0,2006159,0,0,0,-65.6291,115.5827,1
0,0,0,2006160,0,0,0,-65.6291,115.5827,1
0,0,0,2006161,0,0,0,-65.6291,115.5827,1
0,0,0,2006162,0,0,0,-65.6291,115.5827,1
0,0,0,2006163,0,0,0,-65.6291,115.5827,1
0,0,0,2006164,0,0,0,-65.6291,115.5827,1
0,0,0,2006165,0,0,0,-65.6291,115.5827,1
0,0,0,2006166,0,0,0,-65.6291,115.5827,1
0,0,0,2006167,0,0,0,-65.6291,115.5827,1
