ascat_1,ascat_2,ascat_3,date,qscat_1,qscat_2,qscat_3
0,0,0,2008019,-63.632,-51.91,1
0,0,0,2008020,-63.6105,-51.7382,0
0,0,0,2008021,-63.6017,-51.6674,1
0,0,0,2008022,-63.6017,-51.6674,1
0,0,0,2008023,-63.5788,-51.7808,1
0,0,0,2008024,-63.4909,-51.6722,1
0,0,0,2008025,-63.4078,-51.4894,0
0,0,0,2008026,-63.3343,-51.3688,1
0,0,0,2008027,-63.2783,-51.407,1
0,0,0,2008028,-63.1907,-51.6252,1
0,0,0,2008029,-63.1907,-51.6252,1
0,0,0,2008030,-63.0618,-51.7869,1
0,0,0,2008031,-62.966,-52.0406,1
0,0,0,2008032,-62.9567,-52.2786,1
0,0,0,2008033,-62.9567,-52.2786,1
0,0,0,2008034,-62.9249,-52.4347,1
0,0,0,2008035,-62.9178,-52.6953,1
0,0,0,2008036,-62.9049,-52.903,1
0,0,0,2008037,-62.9049,-52.903,1
0,0,0,2008038,-62.8621,-53.1028,1
0,0,0,2008039,-62.8301,-53.1778,1
0,0,0,2008040,-62.7704,-53.2197,1
0,0,0,2008041,-62.7345,-53.253,1
0,0,0,2008042,-62.6786,-53.2355,0
0,0,0,2008043,-62.6072,-53.1939,0
0,0,0,2008044,-62.533,-53.1445,0
0,0,0,2008045,-62.4686,-53.1037,1
0,0,0,2008046,-62.419,-53.0758,1
0,0,0,2008047,-62.419,-53.0758,1
0,0,0,2008048,-62.3382,-53.1295,1
0,0,0,2008049,-62.3078,-52.9919,1
0,0,0,2008050,-62.3078,-52.9919,1
0,0,0,2008051,-62.233,-52.8195,1
0,0,0,2008052,-62.2042,-52.6628,1
0,0,0,2008053,-62.1116,-52.5507,1
0,0,0,2008054,-62.1116,-52.5507,1
0,0,0,2008055,-61.8771,-52.4278,1
0,0,0,2008056,-61.7079,-51.9399,1
0,0,0,2008057,-61.6552,-51.7673,1
0,0,0,2008058,-61.5335,-51.411,1
0,0,0,2008059,-61.4172,-51.1449,1
0,0,0,2008060,-61.2996,-51.0402,1
