date,qscat_1,qscat_2,qscat_3
2008090,-63.2646,119.2797,1
2008091,-63.2716,119.059,1
2008092,-63.2716,119.059,1
2008093,-63.3156,119.1262,1
2008094,-63.3868,119.343,1
2008095,-63.3868,119.343,1
2008096,-63.5034,119.6139,0
2008097,-63.6917,119.8848,1
2008098,-63.8487,119.8553,0
2008099,-63.9623,119.7999,1
2008100,-64.001,119.7366,1
2008101,-64.0292,119.6194,1
2008102,-64.0161,119.5296,1
2008103,-64.0161,119.5296,1
2008104,-64.0161,119.5296,1
2008105,-63.9528,119.5043,1
2008106,-63.9528,119.5043,1
2008107,-63.9528,119.5043,1
2008108,-63.9528,119.5043,1
2008109,-63.9102,119.6882,1
2008110,-63.9102,119.6882,1
2008111,-63.9178,119.8461,1
2008112,-63.8674,120.1317,0
2008113,-63.817,120.3244,1
2008114,-63.817,120.3244,1
2008115,-63.817,120.3244,1
2008116,-63.783,120.2214,1
2008117,-63.8104,120.1284,1
2008118,-63.8104,120.1284,1
2008119,-63.8087,120.3195,1
2008120,-63.8087,120.3195,0
2008121,-63.8087,120.3195,1
2008122,-63.8398,120.5119,1
2008123,-63.8398,120.5119,1
2008124,-63.8398,120.5119,1
2008125,-63.7856,120.7013,1
2008126,-63.7856,120.7013,1
2008127,-63.8215,120.6554,1
2008128,-63.8215,120.6554,1
2008129,-63.8935,120.6493,1
2008130,-63.8333,120.5468,1
2008131,-63.8752,120.6325,1
2008132,-63.9562,120.7662,1
2008133,-64.022,120.7838,0
2008134,-64.0757,120.7896,1
