ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3
-71.1147,-13.8627,1,2011242,-71.1147,-13.8627,1
-71.095,-14.1088,1,2011243,-71.095,-14.1088,1
-71.0667,-14.2466,0,2011244,-71.0667,-14.2466,0
-71.0301,-14.3414,0,2011245,-71.0301,-14.3414,0
-70.9899,-14.4128,0,2011246,-70.9899,-14.4128,0
-70.9506,-14.4808,0,2011247,-70.9506,-14.4808,0
-70.9168,-14.5651,0,2011248,-70.9168,-14.5651,0
-70.8932,-14.6857,0,2011249,-70.8932,-14.6857,0
-70.8843,-14.8623,1,2011250,-70.8843,-14.8623,1
-70.9166,-15.3623,1,2011251,-70.9166,-15.3623,1
-70.9729,-15.6317,1,2011252,-70.9729,-15.6317,1
-70.9946,-16.1937,1,2011253,-70.9946,-16.1937,1
-70.9946,-16.1937,1,2011254,-70.9946,-16.1937,1
-70.9692,-16.5539,1,2011255,-70.9692,-16.5539,1
-70.9436,-16.4337,1,2011256,-70.9436,-16.4337,1
-70.9436,-16.4337,1,2011257,-70.9436,-16.4337,1
-70.9528,-16.3143,1,2011258,-70.9528,-16.3143,1
-70.8682,-16.3983,1,2011259,-70.8682,-16.3983,1
-70.9474,-16.3732,1,2011260,-70.9474,-16.3732,1
-70.9707,-16.683,1,2011261,-70.9707,-16.683,1
-71.1618,-16.892,1,2011262,-71.1618,-16.892,1
-71.2362,-17.1252,1,2011263,-71.2362,-17.1252,1
-71.1908,-17.5047,1,2011264,-71.1908,-17.5047,1
-71.1737,-17.6499,1,2011265,-71.1737,-17.6499,1
-71.1664,-17.4468,1,2011266,-71.1664,-17.4468,1
-71.2022,-17.2541,1,2011267,-71.2022,-17.2541,1
-71.1693,-17.4182,1,2011268,-71.1693,-17.4182,1
-71.1693,-17.4182,1,2011269,-71.1693,-17.4182,1
-71.5584,-17.804,1,2011270,-71.5584,-17.804,1
-71.8116,-18.4372,1,2011271,-71.8116,-18.4372,1
-72.0935,-19.3991,1,2011272,-72.0935,-19.3991,1
-72.1816,-19.7779,1,2011273,-72.1816,-19.7779,1
-72.2659,-20.0874,1,2011274,-72.2659,-20.0874,1
-72.2884,-20.7488,1,2011275,-72.2884,-20.7488,1
-72.3744,-21.4245,1,2011276,-72.3744,-21.4245,1
-72.477,-21.9886,1,2011277,-72.477,-21.9886,1
-72.549,-22.8104,1,2011278,-72.549,-22.8104,1
-72.5492,-22.8817,1,2011279,-72.5492,-22.8817,1
-72.5764,-22.9928,1,2011280,-72.5764,-22.9928,1
-72.5926,-22.979,1,2011281,-72.5926,-22.979,1
-72.6008,-22.9907,1,2011282,-72.6008,-22.9907,1
-72.6736,-23.2782,1,2011283,-72.6736,-23.2782,1
-72.6719,-23.4595,1,2011284,-72.6719,-23.4595,1
-72.7687,-23.935,1,2011285,-72.7687,-23.935,1
-72.8338,-24.8941,1,2011286,-72.8338,-24.8941,1
-72.9327,-25.1239,1,2011287,-72.9327,-25.1239,1
-72.9798,-25.3895,1,2011288,-72.9798,-25.3895,1
-72.9802,-25.5805,1,2011289,-72.9802,-25.5805,1
-72.9419,-25.7459,1,2011290,-72.9419,-25.7459,1
-72.8394,-25.5402,1,2011291,-72.8394,-25.5402,1
-72.8194,-25.5082,1,2011292,-72.8194,-25.5082,1
-72.8094,-25.4919,1,2011293,-72.8094,-25.4919,1
-72.9418,-26.0125,1,2011294,-72.9418,-26.0125,1
-73.0659,-26.5673,1,2011295,-73.0659,-26.5673,1
-73.0999,-26.8965,1,2011296,-73.0999,-26.8965,1
-73.1115,-26.7996,1,2011297,-73.1115,-26.7996,1
-73.1581,-27.2325,1,2011298,-73.1581,-27.2325,1
-73.1213,-27.0886,1,2011299,-73.1213,-27.0886,1
-73.1627,-27.3184,1,2011300,-73.1627,-27.3184,1
-73.1314,-27.5753,1,2011301,-73.1314,-27.5753,1
-73.1175,-27.667,1,2011302,-73.1175,-27.667,1
-73.1367,-27.7404,1,2011303,-73.1367,-27.7404,1
-73.1518,-28.201,1,2011304,-73.1518,-28.201,1
-73.2163,-28.8761,1,2011305,-73.2163,-28.8761,1
-73.2816,-29.3611,1,2011306,-73.2816,-29.3611,1
-73.4392,-29.7532,1,2011307,-73.4392,-29.7532,1
-73.4788,-29.7918,1,2011308,-73.4788,-29.7918,1
-73.5196,-30.0794,1,2011309,-73.5196,-30.0794,1
-73.5646,-30.4188,1,2011310,-73.5646,-30.4188,1
-73.5646,-30.4188,1,2011311,-73.5646,-30.4188,1
-73.7672,-30.4667,1,2011312,-73.7672,-30.4667,1
-73.8536,-30.524,1,2011313,-73.8536,-30.524,1
-73.8405,-30.7917,1,2011314,-73.8405,-30.7917,1
-73.9272,-30.9777,1,2011315,-73.9272,-30.9777,1
-74.0627,-31.0594,1,2011316,-74.0627,-31.0594,1
-74.1656,-31.244,1,2011317,-74.1656,-31.244,1
-74.2388,-31.4511,1,2011318,-74.2388,-31.4511,1
-74.244,-31.8124,1,2011319,-74.244,-31.8124,1
-74.2382,-32.0175,1,2011320,-74.2382,-32.0175,1
-74.2706,-32.0916,1,2011321,-74.2706,-32.0916,1
-74.1378,-32.0924,1,2011322,-74.1378,-32.0924,1
-74.0801,-32.0904,1,2011323,-74.0801,-32.0904,1
-74.0961,-32.2137,1,2011324,-74.0961,-32.2137,1
-74.0635,-32.356,1,2011325,-74.0635,-32.356,1
-74.0373,-32.6873,1,2011326,-74.0373,-32.6873,1
-74.0565,-32.7747,1,2011327,-74.0565,-32.7747,1
-74.0211,-32.8229,1,2011328,-74.0211,-32.8229,1
-74.0084,-32.8799,1,2011329,-74.0084,-32.8799,1
-74.0669,-33.0175,1,2011330,-74.0669,-33.0175,1
-74.0632,-33.0966,1,2011331,-74.0632,-33.0966,1
-74.0376,-33.2988,1,2011332,-74.0376,-33.2988,1
-74.075,-33.3438,1,2011333,-74.075,-33.3438,1
-74.0751,-33.4323,1,2011334,-74.0751,-33.4323,1
-74.1198,-33.3631,1,2011335,-74.1198,-33.3631,1
-74.1776,-33.37,1,2011336,-74.1776,-33.37,1
-74.1628,-33.6007,1,2011337,-74.1628,-33.6007,1
-74.2227,-33.7017,1,2011338,-74.2227,-33.7017,1
-74.1402,-33.9009,1,2011339,-74.1402,-33.9009,1
-74.1496,-34.012,1,2011340,-74.1496,-34.012,1
-74.2148,-34.0841,1,2011341,-74.2148,-34.0841,1
-74.2461,-34.2522,1,2011342,-74.2461,-34.2522,1
-74.2419,-34.3765,1,2011343,-74.2419,-34.3765,1
-74.2577,-34.6422,1,2011344,-74.2577,-34.6422,1
-74.236,-34.8579,1,2011345,-74.236,-34.8579,1
-74.2647,-35.0674,1,2011346,-74.2647,-35.0674,1
-74.2775,-35.1003,1,2011347,-74.2775,-35.1003,1
-74.2658,-35.1612,1,2011348,-74.2658,-35.1612,1
-74.2631,-35.2906,1,2011349,-74.2631,-35.2906,1
-74.2459,-35.3366,1,2011350,-74.2459,-35.3366,1
-74.2415,-35.4163,1,2011351,-74.2415,-35.4163,1
-74.1653,-35.5812,1,2011352,-74.1653,-35.5812,1
-74.1109,-35.6197,1,2011353,-74.1109,-35.6197,1
-74.1192,-35.55,1,2011354,-74.1192,-35.55,1
-74.0493,-35.5672,0,2011355,-74.0493,-35.5672,0
-73.9193,-35.599,0,2011356,-73.9193,-35.599,0
-73.8494,-35.6162,1,2011357,-73.8494,-35.6162,1
-73.8845,-35.3029,1,2011358,-73.8845,-35.3029,1
-73.9456,-35.3706,1,2011359,-73.9456,-35.3706,1
-73.9509,-35.3845,1,2011360,-73.9509,-35.3845,1
-73.9641,-35.3735,1,2011361,-73.9641,-35.3735,1
-73.9849,-35.3374,1,2011362,-73.9849,-35.3374,1
-73.8882,-35.2692,1,2011363,-73.8882,-35.2692,1
-73.8431,-35.332,1,2011364,-73.8431,-35.332,1
-73.7872,-35.3227,1,2011365,-73.7872,-35.3227,1
-73.8273,-35.2355,0,2012001,-73.8273,-35.2355,0
-73.871,-35.1352,1,2012002,-73.871,-35.1352,1
-73.9166,-34.9849,1,2012003,-73.9166,-34.9849,1
-74.0014,-34.8431,1,2012004,-74.0014,-34.8431,1
-74.0549,-34.9347,1,2012005,-74.0549,-34.9347,1
-74.0545,-34.9786,1,2012006,-74.0545,-34.9786,1
-74.0676,-34.9672,1,2012007,-74.0676,-34.9672,1
-74.0784,-35.0394,1,2012008,-74.0784,-35.0394,1
-74.108,-35.0703,1,2012009,-74.108,-35.0703,1
-74.164,-35.0786,1,2012010,-74.164,-35.0786,1
-74.1929,-35.1989,1,2012011,-74.1929,-35.1989,1
-74.1775,-35.2496,1,2012012,-74.1775,-35.2496,1
-74.2122,-35.1122,1,2012013,-74.2122,-35.1122,1
-74.2433,-35.1934,1,2012014,-74.2433,-35.1934,1
-74.3317,-35.1037,1,2012015,-74.3317,-35.1037,1
-74.3343,-35.2484,1,2012016,-74.3343,-35.2484,1
-74.3581,-35.3106,1,2012017,-74.3581,-35.3106,1
-74.3467,-35.3266,1,2012018,-74.3467,-35.3266,1
-74.3761,-35.4036,1,2012019,-74.3761,-35.4036,1
-74.4426,-35.4875,1,2012020,-74.4426,-35.4875,1
-74.4869,-35.932,1,2012021,-74.4869,-35.932,1
-74.5481,-36.1449,1,2012022,-74.5481,-36.1449,1
-74.538,-36.6345,1,2012023,-74.538,-36.6345,1
-74.4427,-37.123,1,2012024,-74.4427,-37.123,1
-74.4041,-37.5323,1,2012025,-74.4041,-37.5323,1
-74.3273,-37.927,1,2012026,-74.3273,-37.927,1
-74.313,-38.2641,1,2012027,-74.313,-38.2641,1
-74.2389,-38.4749,1,2012028,-74.2389,-38.4749,1
-74.2016,-38.7922,1,2012029,-74.2016,-38.7922,1
-74.1614,-38.673,1,2012030,-74.1614,-38.673,1
-74.1846,-38.6462,1,2012031,-74.1846,-38.6462,1
-74.146,-38.7703,1,2012032,-74.146,-38.7703,1
-74.1207,-38.885,1,2012033,-74.1207,-38.885,1
-74.0217,-39.0189,1,2012034,-74.0217,-39.0189,1
-73.9193,-39.282,1,2012035,-73.9193,-39.282,1
-73.8527,-39.4601,1,2012036,-73.8527,-39.4601,1
-73.8382,-39.5105,1,2012037,-73.8382,-39.5105,1
-74.0048,-39.5334,1,2012038,-74.0048,-39.5334,1
