ascat_1,ascat_2,ascat_3,date
-61.5322,-51.637,1,2014096
-61.5113,-51.5955,0,2014097
-61.4543,-51.4891,0,2014098
-61.3695,-51.3452,1,2014099
-61.1564,-51.0832,1,2014100
-61.1661,-50.8789,0,2014101
-61.1874,-50.7003,0,2014102
-61.2087,-50.5319,0,2014103
-61.2184,-50.3579,1,2014104
-61.0666,-50.1755,1,2014105
-60.982,-50.1887,1,2014106
-60.9301,-50.2199,0,2014107
-60.8901,-50.2706,0,2014108
-60.8668,-50.3334,1,2014109
-60.8577,-50.424,1,2014110
-60.9029,-50.6168,0,2014111
-60.9926,-50.8703,0,2014112
-61.0578,-51.0528,1,2014113
-61.0793,-51.1286,1,2014114
-61.0929,-51.0308,1,2014115
-61.0879,-50.8248,0,2014116
-61.0731,-50.5346,0,2014117
-61.0492,-50.2758,0,2014118
-61.0167,-50.1638,1,2014119
-60.9213,-50.2405,1,2014120
-60.8669,-50.1582,0,2014121
-60.823,-49.9745,0,2014122
-60.7904,-49.7841,0,2014123
-60.7703,-49.6817,1,2014124
-60.7608,-49.6643,1,2014125
-60.7383,-49.6336,0,2014126
-60.7051,-49.5914,0,2014127
-60.6751,-49.5455,0,2014128
-60.662,-49.5035,1,2014129
-60.6809,-49.4675,1,2014130
-60.6583,-49.4702,0,2014131
-60.6162,-49.4782,0,2014132
-60.5936,-49.4918,1,2014133
-60.5951,-49.6058,0,2014134
-60.5965,-49.7912,1,2014135
-60.596,-49.9956,0,2014136
-60.5947,-50.2083,0,2014137
-60.5927,-50.3065,1,2014138
-60.5871,-50.2454,1,2014139
-60.5683,-50.2762,1,2014140
-60.4818,-50.3172,0,2014141
-60.4095,-50.3424,1,2014142
-60.4095,-50.3424,1,2014143
-60.4195,-50.2234,1,2014144
-60.392,-49.89,0,2014145
-60.338,-49.4414,0,2014146
-60.3002,-49.2165,1,2014147
-60.2894,-49.223,1,2014148
-60.2834,-49.0306,1,2014149
-60.2756,-48.7863,0,2014150
-60.2653,-48.5381,0,2014151
