ascat_1,ascat_2,ascat_3,date
-69.75,15.5,1,2015235
-69.75,15.5,1,2015236
-69.75,15.5,1,2015237
-69.75,15.5,1,2015238
-69.75,15.5,1,2015239
-69.75,15.5,1,2015240
-69.75,15.5,1,2015241
-69.75,15.5,1,2015242
-69.75,15.5,1,2015243
-69.75,15.5,1,2015244
-69.75,15.5,1,2015245
-69.75,15.5,1,2015246
-69.75,15.5,1,2015247
-69.8779,15.5443,1,2015248
-69.8779,15.5443,1,2015249
-69.8779,15.5443,1,2015250
-69.8779,15.5443,1,2015251
-69.8779,15.5443,1,2015252
-69.8779,15.5443,1,2015253
-69.8779,15.5443,1,2015254
-69.8779,15.5443,1,2015255
-69.8779,15.5443,1,2015256
-69.8779,15.5443,1,2015257
-69.8779,15.5443,1,2015258
-69.8779,15.5443,1,2015259
-69.8779,15.5443,1,2015260
-69.8779,15.5443,1,2015261
-69.8779,15.5443,1,2015262
-69.8779,15.5443,1,2015263
-69.8779,15.5443,1,2015264
-69.8779,15.5443,1,2015265
-69.8779,15.5443,1,2015266
-69.8779,15.5443,1,2015267
-69.8779,15.5443,1,2015268
-69.8779,15.5443,1,2015269
-69.8779,15.5443,1,2015270
-69.8779,15.5443,1,2015271
-69.8779,15.5443,1,2015272
-69.8779,15.5443,1,2015273
-69.8779,15.5443,1,2015274
-69.8779,15.5443,1,2015275
-69.8779,15.5443,1,2015276
-69.8779,15.5443,1,2015277
-69.8779,15.5443,1,2015278
-69.8779,15.5443,1,2015279
-69.8779,15.5443,1,2015280
-69.8779,15.5443,1,2015281
-69.8779,15.5443,1,2015282
-69.8779,15.5443,1,2015283
-69.8779,15.5443,1,2015284
-69.8779,15.5443,1,2015285
-69.8779,15.5443,1,2015286
-69.8779,15.5443,1,2015287
-69.8779,15.5443,1,2015288
-69.8779,15.5443,1,2015289
-69.8722,15.3591,1,2015290
-69.8722,15.3591,1,2015291
-69.8722,15.3591,1,2015292
-69.8722,15.3591,1,2015293
-69.8722,15.3591,1,2015294
-69.8722,15.3591,1,2015295
-69.8722,15.3591,1,2015297
-69.8722,15.3591,1,2015298
-69.8722,15.3591,1,2015299
-69.8138,15.254,1,2015300
-69.8138,15.254,1,2015301
-69.8138,15.254,1,2015302
-69.8138,15.254,1,2015303
-69.8138,15.254,1,2015304
-69.8138,15.254,1,2015305
-69.7754,15.2237,1,2015306
-69.8102,15.3082,1,2015307
-69.8102,15.3082,1,2015308
-69.8102,15.3082,1,2015309
-69.8102,15.3082,1,2015310
-69.8102,15.3082,1,2015311
-69.829,15.3232,1,2015312
-69.829,15.3232,1,2015314
-69.829,15.3232,1,2015315
-69.829,15.3232,1,2015316
-69.829,15.3232,1,2015317
-69.829,15.3232,1,2015318
-69.829,15.3232,1,2015319
-69.829,15.3232,1,2015320
-69.829,15.3232,1,2015321
-69.829,15.3232,1,2015322
-69.829,15.3232,1,2015323
-69.829,15.3232,1,2015325
-69.829,15.3232,1,2015326
