date,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
2002129,-66.48,152,1,0,0,0
2002130,-66.8635,151.9428,1,0,0,0
2002131,-66.8635,151.9428,1,0,0,0
2002132,-66.8161,152.0536,1,0,0,0
2002133,-66.7217,151.724,1,0,0,0
2002134,-66.7082,151.8455,1,0,0,0
2002135,-66.6735,151.8133,1,0,0,0
2002136,-66.6735,151.8133,1,0,0,0
2002137,-66.593,151.6602,1,0,0,0
2002138,-66.5101,151.3138,1,0,0,0
2002139,-66.5101,151.3138,1,0,0,0
2002140,-66.451,151.1222,1,0,0,0
2002141,-66.4669,151.258,1,0,0,0
2002142,-66.5244,151.249,1,0,0,0
2002143,-66.5244,151.249,1,0,0,0
2002144,-66.5244,151.249,1,0,0,0
2002145,-66.5244,151.249,1,0,0,0
2002146,-66.4987,151.1203,1,0,0,0
2002147,-66.4987,151.1203,1,0,0,0
2002148,-66.465,150.8911,1,0,0,0
2002149,-66.4256,150.7848,0,0,0,0
2002150,-66.4024,150.739,1,0,0,0
2002151,-66.4024,150.739,1,0,0,0
2002152,-66.4024,150.739,1,0,0,0
2002153,-66.4024,150.739,1,0,0,0
2002154,-66.4024,150.739,1,0,0,0
2002155,-66.4024,150.739,1,0,0,0
2002156,-66.4548,150.5033,1,0,0,0
2002157,-66.4548,150.5033,1,0,0,0
2002158,-66.4548,150.5033,1,0,0,0
2002159,-66.4548,150.5033,1,0,0,0
2002160,-66.4631,150.0422,1,0,0,0
2002161,-66.4524,149.8386,1,0,0,0
2002162,-66.4524,149.8386,1,0,0,0
2002163,-66.4524,149.8386,1,0,0,0
2002164,-66.4524,149.8386,1,0,0,0
2002165,-66.5164,149.2775,1,0,0,0
2002166,-66.5633,149.0073,1,0,0,0
2002167,-66.5633,149.0073,1,0,0,0
2002168,-66.5633,149.0073,1,0,0,0
2002169,-66.5633,149.0073,1,0,0,0
2002170,-66.5633,149.0073,1,0,0,0
2002171,-66.5633,149.0073,1,0,0,0
2002172,-66.5633,149.0073,1,0,0,0
2002173,-66.5633,149.0073,1,0,0,0
2002174,-66.5633,149.0073,1,0,0,0
2002175,-66.5633,149.0073,1,0,0,0
2002176,-66.5633,149.0073,1,0,0,0
2002177,-66.5633,149.0073,1,0,0,0
2002178,-66.5633,149.0073,1,0,0,0
2002179,-66.1309,149.0783,1,0,0,0
2002180,-66.1309,149.0783,1,0,0,0
2002181,-65.9781,148.5255,1,0,0,0
2002182,-66.0299,147.2724,1,0,0,0
2002183,-66.0493,147.0983,1,0,0,0
2002184,-66.0493,147.0983,1,0,0,0
2002185,-66.0003,146.9817,1,0,0,0
2002186,-66.0003,146.9817,1,0,0,0
2002187,-66.0003,146.9817,1,0,0,0
2002188,-66.0003,146.9817,1,0,0,0
2002189,-66.0003,146.9817,1,0,0,0
2002190,-66.2787,146.5102,1,0,0,0
2002191,-66.2787,146.5102,1,0,0,0
2002192,-66.2787,146.5102,1,0,0,0
2002193,-66.2787,146.5102,1,0,0,0
2002194,-66.351,146.2795,1,0,0,0
2002195,-66.351,146.2795,1,0,0,0
2002196,-66.3357,146.1173,0,0,0,0
2002197,-66.294,145.6769,0,0,0,0
2002198,-66.2326,145.0279,0,0,0,0
2002199,-66.1581,144.2399,0,0,0,0
2002200,-66.077,143.3823,0,0,0,0
2002201,-65.9959,142.5248,0,0,0,0
2002202,-65.9214,141.7368,0,0,0,0
2002203,-65.86,141.0878,0,0,0,0
2002204,-65.8183,140.6474,0,0,0,0
2002205,-65.803,140.4852,1,0,0,0
2002206,-65.803,140.4852,1,0,0,0
2002207,-65.803,140.4852,1,0,0,0
2002208,-65.803,140.4852,1,0,0,0
2002209,-65.803,140.4852,1,0,0,0
2002210,-65.803,140.4852,1,0,0,0
2002211,-65.803,140.4852,1,0,0,0
2002212,-65.803,140.4852,1,0,0,0
2002213,-65.803,140.4852,1,0,0,0
2002214,-65.803,140.4852,1,0,0,0
2002215,-65.803,140.4852,1,0,0,0
2002216,-65.803,140.4852,1,0,0,0
2002217,-65.803,140.4852,1,0,0,0
2002218,-65.803,140.4852,1,0,0,0
2002219,-65.803,140.4852,1,0,0,0
2002220,-65.803,140.4852,1,0,0,0
2002221,-65.803,140.4852,1,0,0,0
2002222,-65.803,140.4852,1,0,0,0
2002223,-65.803,140.4852,1,0,0,0
2002224,-65.803,140.4852,1,0,0,0
2002225,-65.803,140.4852,1,0,0,0
2002226,-65.803,140.4852,1,0,0,0
2002227,-65.803,140.4852,1,0,0,0
2002228,-65.803,140.4852,1,0,0,0
2002229,-65.803,140.4852,1,0,0,0
2002230,-65.803,140.4852,1,0,0,0
2002231,-65.803,140.4852,1,0,0,0
2002232,-65.803,140.4852,1,0,0,0
2002233,-65.803,140.4852,1,0,0,0
2002234,-65.803,140.4852,1,0,0,0
2002235,-65.803,140.4852,1,0,0,0
2002236,-65.803,140.4852,1,0,0,0
2002237,-65.803,140.4852,1,0,0,0
2002238,-65.803,140.4852,1,0,0,0
2002239,-65.803,140.4852,1,0,0,0
2002240,-65.803,140.4852,1,0,0,0
2002241,-65.803,140.4852,1,0,0,0
2002242,-65.803,140.4852,1,0,0,0
2002243,-65.803,140.4852,1,0,0,0
2002244,-65.803,140.4852,1,0,0,0
2002245,-65.803,140.4852,1,0,0,0
2002246,-65.803,140.4852,1,0,0,0
2002247,-65.803,140.4852,1,0,0,0
2002248,-65.803,140.4852,1,0,0,0
2002249,-65.803,140.4852,1,0,0,0
2002250,-65.803,140.4852,1,0,0,0
2002251,-65.803,140.4852,1,0,0,0
2002252,-65.803,140.4852,1,0,0,0
2002253,-65.803,140.4852,1,0,0,0
2002254,-65.803,140.4852,1,0,0,0
2002255,-65.803,140.4852,1,0,0,0
2002256,-65.803,140.4852,1,0,0,0
2002257,-65.803,140.4852,1,0,0,0
2002258,-65.803,140.4852,1,0,0,0
2002259,-65.803,140.4852,1,0,0,0
2002260,-65.803,140.4852,1,0,0,0
2002261,-65.803,140.4852,1,0,0,0
2002262,-65.803,140.4852,1,0,0,0
2002263,-65.803,140.4852,1,0,0,0
2002264,-65.803,140.4852,1,0,0,0
2002265,-65.803,140.4852,1,0,0,0
2002266,-65.803,140.4852,1,0,0,0
2002267,-65.803,140.4852,1,0,0,0
2002268,-65.803,140.4852,1,0,0,0
2002269,-65.803,140.4852,1,0,0,0
2002270,-65.803,140.4852,1,0,0,0
2002271,-65.803,140.4852,1,0,0,0
2002272,-65.803,140.4852,1,0,0,0
2002273,-65.803,140.4852,1,0,0,0
2002274,-65.803,140.4852,1,0,0,0
2002275,-65.803,140.4852,1,0,0,0
2002276,-65.803,140.4852,1,0,0,0
2002277,-65.803,140.4852,1,0,0,0
2002278,-65.803,140.4852,1,0,0,0
2002279,-65.803,140.4852,1,0,0,0
2002280,-65.803,140.4852,1,0,0,0
2002281,-65.803,140.4852,1,0,0,0
2002282,-65.803,140.4852,1,0,0,0
2002283,-65.803,140.4852,1,0,0,0
2002284,-65.803,140.4852,1,0,0,0
2002285,-65.803,140.4852,1,0,0,0
2002286,-65.803,140.4852,1,0,0,0
2002287,-65.803,140.4852,1,0,0,0
2002288,-65.803,140.4852,1,0,0,0
2002289,-65.803,140.4852,1,0,0,0
2002290,-65.803,140.4852,1,0,0,0
2002291,-65.803,140.4852,1,0,0,0
2002292,-65.803,140.4852,1,0,0,0
2002293,-65.803,140.4852,1,0,0,0
2002294,-65.803,140.4852,1,0,0,0
2002295,-65.803,140.4852,1,0,0,0
2002296,-65.803,140.4852,1,0,0,0
2002297,-65.803,140.4852,1,0,0,0
2002298,-65.803,140.4852,1,0,0,0
2002299,-65.803,140.4852,1,0,0,0
2002300,-65.803,140.4852,1,0,0,0
2002301,-65.803,140.4852,1,0,0,0
2002302,-65.803,140.4852,1,0,0,0
2002303,-65.803,140.4852,1,0,0,0
2002304,-65.803,140.4852,1,0,0,0
2002305,-65.803,140.4852,1,0,0,0
2002306,-65.803,140.4852,1,0,0,0
2002307,-65.803,140.4852,1,0,0,0
2002308,-65.803,140.4852,1,0,0,0
2002309,-65.803,140.4852,1,0,0,0
2002310,-65.803,140.4852,1,0,0,0
2002311,-65.803,140.4852,1,0,0,0
2002312,-65.803,140.4852,1,0,0,0
2002313,-65.803,140.4852,1,0,0,0
2002314,-65.803,140.4852,1,0,0,0
2002315,-65.803,140.4852,1,0,0,0
2002316,-65.803,140.4852,1,0,0,0
2002317,-65.803,140.4852,1,0,0,0
2002318,-65.803,140.4852,1,0,0,0
2002319,-65.803,140.4852,1,0,0,0
2002320,-65.803,140.4852,1,0,0,0
2002321,-65.803,140.4852,1,0,0,0
2002322,-65.803,140.4852,1,0,0,0
2002323,-65.803,140.4852,0,0,0,0
2002324,-65.803,140.4852,1,0,0,0
2002325,-65.803,140.4852,1,0,0,0
2002326,-65.803,140.4852,1,0,0,0
2002327,-65.803,140.4852,1,0,0,0
2002328,-65.803,140.4852,1,0,0,0
2002329,-65.803,140.4852,1,0,0,0
2002330,-65.803,140.4852,1,0,0,0
2002331,-65.803,140.4852,1,0,0,0
2002332,-65.803,140.4852,1,0,0,0
2002333,-65.803,140.4852,1,0,0,0
2002334,-65.803,140.4852,1,0,0,0
2002335,-65.803,140.4852,1,0,0,0
2002336,-65.803,140.4852,1,0,0,0
2002337,-65.803,140.4852,1,0,0,0
2002338,-65.803,140.4852,1,0,0,0
2002339,-65.803,140.4852,1,0,0,0
2002340,-65.803,140.4852,1,0,0,0
2002341,-65.803,140.4852,1,0,0,0
2002342,-65.803,140.4852,1,0,0,0
2002343,-65.803,140.4852,1,0,0,0
2002344,-65.803,140.4852,1,0,0,0
2002345,-65.803,140.4852,1,0,0,0
2002346,-65.803,140.4852,1,0,0,0
2002347,-65.803,140.4852,1,0,0,0
2002348,-65.803,140.4852,1,0,0,0
2002349,-65.803,140.4852,1,0,0,0
2002350,-65.803,140.4852,1,0,0,0
2002351,-65.803,140.4852,1,0,0,0
2002352,-65.7429,140.1643,1,0,0,0
2002353,-65.7875,140.4849,1,0,0,0
2002354,-65.7875,140.4849,1,0,0,0
2002355,-65.7875,140.4849,1,0,0,0
2002356,-65.7875,140.4849,1,0,0,0
2002357,-65.7875,140.4849,1,0,0,0
2002358,-65.7875,140.4849,1,0,0,0
2002359,-65.7875,140.4849,1,0,0,0
2002360,-65.7875,140.4849,1,0,0,0
2002361,-65.7875,140.4849,1,0,0,0
2002362,-65.7875,140.4849,1,0,0,0
2002363,-65.7875,140.4849,1,0,0,0
2002364,-65.7875,140.4849,1,0,0,0
2002365,-65.7875,140.4849,1,0,0,0
2003001,-65.7875,140.4849,1,0,0,0
2003002,-65.7875,140.4849,1,0,0,0
2003003,-65.7875,140.4849,1,0,0,0
2003004,-65.7875,140.4849,1,0,0,0
2003005,-65.7875,140.4849,1,0,0,0
2003006,-65.7875,140.4849,1,0,0,0
2003007,-65.7875,140.4849,1,0,0,0
2003008,-65.7875,140.4849,1,0,0,0
2003009,-65.7875,140.4849,1,0,0,0
2003010,-65.7875,140.4849,1,0,0,0
2003011,-65.7875,140.4849,1,0,0,0
2003012,-65.7875,140.4849,1,0,0,0
2003013,-65.7875,140.4849,1,0,0,0
2003014,-65.7875,140.4849,1,0,0,0
2003015,-65.7875,140.4849,1,0,0,0
2003016,-65.7875,140.4849,1,0,0,0
2003017,-65.7875,140.4849,1,0,0,0
2003018,-65.7875,140.4849,1,0,0,0
2003019,-65.7875,140.4849,1,0,0,0
2003020,-65.7875,140.4849,1,0,0,0
2003021,-65.7875,140.4849,1,0,0,0
2003022,-65.7875,140.4849,1,0,0,0
2003023,-65.7875,140.4849,1,0,0,0
2003024,-65.7875,140.4849,1,0,0,0
2003025,-65.7875,140.4849,1,0,0,0
2003026,-65.7875,140.4849,1,0,0,0
2003027,-65.7875,140.4849,1,0,0,0
2003028,-65.7875,140.4849,1,0,0,0
2003029,-65.7875,140.4849,1,0,0,0
2003030,-65.7875,140.4849,1,0,0,0
2003031,-65.7875,140.4849,1,0,0,0
2003032,-65.7875,140.4849,1,0,0,0
2003033,-65.7875,140.4849,1,0,0,0
2003034,-65.7875,140.4849,1,0,0,0
2003035,-65.7875,140.4849,1,0,0,0
2003036,-65.7875,140.4849,1,0,0,0
2003037,-65.7875,140.4849,1,0,0,0
2003038,-65.7875,140.4849,1,0,0,0
2003039,-65.7875,140.4849,1,0,0,0
2003040,-65.7875,140.4849,1,0,0,0
2003041,-65.7875,140.4849,1,0,0,0
2003042,-65.7875,140.4849,1,0,0,0
2003043,-65.7875,140.4849,1,0,0,0
2003044,-65.7875,140.4849,1,0,0,0
2003045,-65.7875,140.4849,1,0,0,0
2003046,-65.7875,140.4849,1,0,0,0
2003047,-65.7573,140.2528,1,0,0,0
2003048,-65.7573,140.2528,1,0,0,0
2003049,-65.7573,140.2528,1,0,0,0
2003050,-65.7573,140.2528,1,0,0,0
2003051,-65.7573,140.2528,1,0,0,0
2003052,-65.7573,140.2528,1,0,0,0
2003053,-65.7573,140.2528,1,0,0,0
2003054,-65.7573,140.2528,1,0,0,0
2003055,-65.7573,140.2528,1,0,0,0
2003056,-65.7573,140.2528,1,0,0,0
2003057,-65.7573,140.2528,1,0,0,0
2003058,-65.6294,140.2942,1,0,0,0
2003059,-65.6294,140.2942,1,0,0,0
2003060,-65.5759,140.4261,1,0,0,0
2003061,-65.5759,140.4261,1,0,0,0
2003062,-65.5759,140.4261,1,0,0,0
2003063,-65.5759,140.4261,1,0,0,0
2003064,-65.5759,140.4261,1,0,0,0
2003065,-65.6046,140.2248,1,0,0,0
2003066,-65.5809,140.156,1,0,0,0
2003067,-65.5524,140.2133,1,0,0,0
2003068,-65.6029,140.4653,1,0,0,0
2003069,-65.6008,140.29,1,0,0,0
2003070,-65.6008,140.29,1,0,0,0
2003071,-65.6008,140.29,1,0,0,0
2003072,-65.6008,140.29,1,0,0,0
2003073,-65.6008,140.29,1,0,0,0
2003074,-65.4708,139.5518,1,0,0,0
2003075,-65.4588,139.5179,1,0,0,0
2003076,-65.4688,139.2042,1,0,0,0
2003077,-65.4645,138.9039,1,0,0,0
2003078,-65.4402,138.8369,1,0,0,0
2003079,-65.508,138.7531,1,0,0,0
2003080,-65.5063,138.816,1,0,0,0
2003081,-65.4686,138.2423,1,0,0,0
2003082,-65.335,138.3868,1,0,0,0
2003083,-65.3823,138.5567,1,0,0,0
2003084,-65.3887,137.8629,1,0,0,0
2003085,-65.4596,136.9981,1,0,0,0
2003086,-65.5038,137.4987,1,0,0,0
2003087,-65.5598,137.9791,1,0,0,0
2003088,-65.5739,137.9914,1,0,0,0
2003089,-65.5739,137.9914,1,0,0,0
2003090,-65.5739,137.9914,1,0,0,0
2003114,0,0,0,-65.1013,136.3079,1
2003115,0,0,0,-65.0842,136.1118,1
2003116,0,0,0,-65.1153,135.9529,1
2003117,0,0,0,-65.0632,135.8611,1
2003118,0,0,0,-64.985,135.5372,1
2003119,0,0,0,-65.0108,135.2675,1
2003120,0,0,0,-65.0108,135.2675,1
2003121,0,0,0,-65.0108,135.2675,1
2003122,0,0,0,-65.0108,135.2675,1
2003123,0,0,0,-65.0108,135.2675,1
2003124,0,0,0,-65.0108,135.2675,1
2003125,0,0,0,-65.0108,135.2675,1
2003126,0,0,0,-65.0108,135.2675,1
2003127,0,0,0,-65.0108,135.2675,1
2003128,0,0,0,-65.0108,135.2675,1
2003129,0,0,0,-65.0108,135.2675,1
2003130,0,0,0,-65.0108,135.2675,1
2003131,0,0,0,-65.0108,135.2675,1
2003132,0,0,0,-65.0108,135.2675,1
2003133,0,0,0,-65.0108,135.2675,1
2003134,0,0,0,-65.0978,135.3701,1
2003135,0,0,0,-65.0421,135.6042,1
2003136,0,0,0,-65.0421,135.6042,1
2003137,0,0,0,-65.0421,135.6042,1
2003138,0,0,0,-65.0658,135.458,1
2003139,0,0,0,-65.0956,135.381,1
2003140,0,0,0,-65.0956,135.381,1
2003141,0,0,0,-64.9957,135.3926,1
2003142,0,0,0,-64.9037,135.4607,1
2003143,0,0,0,-64.9037,135.4607,1
2003144,0,0,0,-64.9037,135.4607,1
2003145,0,0,0,-64.9037,135.4607,1
2003146,0,0,0,-64.9037,135.4607,1
2003147,0,0,0,-64.9325,135.3952,1
2003148,0,0,0,-65.1548,134.9714,1
2003149,0,0,0,-65.1548,134.9714,1
2003150,0,0,0,-65.1548,134.9714,1
2003151,0,0,0,-65.1548,134.9714,1
2003152,0,0,0,-65.1548,134.9714,1
2003153,0,0,0,-65.1548,134.9714,1
2003154,0,0,0,-65.1548,134.9714,1
2003155,0,0,0,-65.177,134.6251,1
2003156,0,0,0,-65.177,134.6251,1
2003157,0,0,0,-65.177,134.6251,1
2003158,0,0,0,-65.177,134.6251,0
2003159,0,0,0,-65.177,134.6251,1
2003160,0,0,0,-65.2625,134.6304,1
2003161,0,0,0,-65.2625,134.6304,1
2003162,0,0,0,-65.2625,134.6304,1
2003163,0,0,0,-65.2625,134.6304,1
2003164,0,0,0,-65.2625,134.6304,1
2003165,0,0,0,-65.1836,134.7938,1
2003166,0,0,0,-65.1836,134.7938,1
2003167,0,0,0,-65.1836,134.7938,1
2003168,0,0,0,-65.1791,134.9883,1
2003169,0,0,0,-65.1791,134.9883,1
2003170,0,0,0,-65.1791,134.9883,1
2003171,0,0,0,-65.1791,134.9883,1
2003172,0,0,0,-65.1791,134.9883,1
2003173,0,0,0,-65.1791,134.9883,1
2003174,0,0,0,-65.1791,134.9883,1
2003175,0,0,0,-65.1791,134.9883,1
2003176,0,0,0,-65.1791,134.9883,1
2003177,0,0,0,-65.1791,134.9883,1
2003178,0,0,0,-65.1791,134.9883,1
2003179,0,0,0,-65.1791,134.9883,1
2003180,0,0,0,-65.1791,134.9883,1
2003181,0,0,0,-65.1791,134.9883,1
2003182,0,0,0,-65.1791,134.9883,1
2003183,0,0,0,-65.1791,134.9883,1
2003184,0,0,0,-65.1791,134.9883,1
2003185,0,0,0,-65.1791,134.9883,0
2003186,0,0,0,-65.1791,134.9883,1
2003187,0,0,0,-65.1791,134.9883,1
2003188,0,0,0,-65.1791,134.9883,1
2003189,0,0,0,-65.1791,134.9883,1
2003190,0,0,0,-65.1791,134.9883,1
2003191,0,0,0,-65.1791,134.9883,1
2003192,0,0,0,-65.1791,134.9883,1
2003193,0,0,0,-65.1791,134.9883,1
2003194,0,0,0,-65.1791,134.9883,1
2003195,0,0,0,-65.1791,134.9883,1
2003196,0,0,0,-65.1791,134.9883,1
2003197,0,0,0,-65.1791,134.9883,1
2003198,0,0,0,-65.1791,134.9883,1
2003199,0,0,0,-65.1791,134.9883,1
2003200,0,0,0,-65.1791,134.9883,1
2003201,0,0,0,-65.1791,134.9883,1
2003202,0,0,0,-65.1791,134.9883,1
2003203,0,0,0,-65.1791,134.9883,1
2003204,0,0,0,-65.1791,134.9883,1
