date,seawinds_1,seawinds_2,seawinds_3
2003114,-69.7841,162.33,1
2003115,-69.7841,162.33,1
2003116,-69.7841,162.33,1
2003117,-69.7841,162.33,1
2003118,-69.7841,162.33,1
2003119,-69.7573,162.4673,1
2003120,-69.7573,162.4673,1
2003121,-69.7573,162.4673,1
2003122,-69.7573,162.4673,1
2003123,-69.7573,162.4673,1
2003124,-69.7573,162.4673,1
2003125,-69.7573,162.4673,1
2003126,-69.7573,162.4673,1
2003127,-69.7573,162.4673,1
2003128,-69.7573,162.4673,1
2003129,-69.7573,162.4673,1
2003130,-69.7573,162.4673,1
2003131,-69.7573,162.4673,1
2003132,-69.7573,162.4673,1
2003133,-69.7573,162.4673,1
2003134,-69.7573,162.4673,1
2003135,-69.7573,162.4673,1
2003136,-69.7573,162.4673,1
2003137,-69.7573,162.4673,1
2003138,-69.7573,162.4673,1
2003139,-69.7573,162.4673,1
2003140,-69.7573,162.4673,1
2003141,-69.7573,162.4673,1
2003142,-69.7573,162.4673,1
2003143,-69.7573,162.4673,1
2003144,-69.7573,162.4673,1
2003145,-69.7573,162.4673,1
2003146,-69.7573,162.4673,1
2003147,-69.7573,162.4673,1
2003148,-69.7573,162.4673,1
2003149,-69.7573,162.4673,1
2003150,-69.7573,162.4673,1
2003151,-69.7573,162.4673,1
2003152,-69.7573,162.4673,1
2003153,-69.7573,162.4673,1
2003154,-69.7637,162.3312,1
2003155,-69.7637,162.3312,1
2003156,-69.7637,162.3312,1
2003157,-69.7637,162.3312,1
2003158,-69.7637,162.3312,0
2003159,-69.7637,162.3312,1
2003160,-69.7791,162.4245,1
2003161,-69.7791,162.4245,1
2003162,-69.7791,162.4245,1
2003163,-69.7791,162.4245,1
2003164,-69.7791,162.4245,1
2003165,-69.7824,162.3825,1
2003166,-69.7824,162.3825,1
2003167,-69.7824,162.3825,1
2003168,-69.7824,162.3825,1
2003169,-69.7824,162.3825,1
2003170,-69.7824,162.3825,1
2003171,-69.7824,162.3825,1
2003172,-69.7824,162.3825,1
2003173,-69.7824,162.3825,1
2003174,-69.7824,162.3825,1
2003175,-69.7824,162.3825,1
2003176,-69.7824,162.3825,1
2003177,-69.7824,162.3825,1
2003178,-69.7824,162.3825,1
2003179,-69.7824,162.3825,1
2003180,-69.7824,162.3825,1
2003181,-69.7824,162.3825,1
2003182,-69.7824,162.3825,1
2003183,-69.7824,162.3825,1
2003184,-69.7824,162.3825,1
2003185,-69.7824,162.3825,0
2003186,-69.7824,162.3825,1
2003187,-69.7824,162.3825,1
2003188,-69.7824,162.3825,1
2003189,-69.7824,162.3825,1
2003190,-69.7824,162.3825,1
2003191,-69.7824,162.3825,1
2003192,-69.7824,162.3825,1
2003193,-69.7824,162.3825,1
2003194,-69.7824,162.3825,1
2003195,-69.7824,162.3825,1
2003196,-69.7824,162.3825,1
2003197,-69.7824,162.3825,1
2003198,-69.7824,162.3825,1
2003199,-69.7824,162.3825,1
2003200,-69.7824,162.3825,1
2003201,-69.7824,162.3825,1
2003202,-69.7824,162.3825,1
2003203,-69.7824,162.3825,1
2003204,-69.7824,162.3825,1
2003205,-69.7824,162.3825,1
2003206,-69.7824,162.3825,1
2003207,-69.7824,162.3825,1
2003208,-69.7824,162.3825,1
2003209,-69.7824,162.3825,1
2003210,-69.7824,162.3825,1
2003211,-69.7824,162.3825,1
2003212,-69.7824,162.3825,1
2003213,-69.7824,162.3825,1
2003214,-69.7824,162.3825,1
2003215,-69.7824,162.3825,1
