ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
0,0,0,2003215,0,0,0,-64.3833,94.35,1,-64.3833,94.35,1
0,0,0,2003216,0,0,0,-64.3833,94.35,1,-64.3833,94.35,1
0,0,0,2003217,0,0,0,-64.3751,94.223,1,-64.3751,94.223,1
0,0,0,2003218,0,0,0,-64.3329,94.2339,1,-64.3329,94.2339,1
0,0,0,2003219,0,0,0,-64.293,94.2552,1,-64.293,94.2552,1
0,0,0,2003220,0,0,0,-64.2941,94.153,1,-64.2941,94.153,1
0,0,0,2003221,0,0,0,-64.2941,94.153,1,-64.2941,94.153,1
0,0,0,2003222,0,0,0,-64.3345,93.796,1,-64.3345,93.796,1
0,0,0,2003223,0,0,0,-64.3345,93.796,1,-64.3345,93.796,1
0,0,0,2003224,0,0,0,-64.3189,93.637,1,-64.3189,93.637,1
0,0,0,2003225,0,0,0,-64.3187,93.4673,1,-64.3187,93.4673,1
0,0,0,2003226,0,0,0,-64.2584,93.6022,1,-64.2584,93.6022,1
0,0,0,2003227,0,0,0,-64.1709,93.5715,1,-64.1709,93.5715,1
0,0,0,2003228,0,0,0,-64.1709,93.5715,1,-64.1709,93.5715,1
0,0,0,2003229,0,0,0,-64.306,93.3351,1,-64.306,93.3351,1
0,0,0,2003230,0,0,0,-64.405,93.0766,1,-64.405,93.0766,1
0,0,0,2003231,0,0,0,-64.4135,92.8914,1,-64.4135,92.8914,1
0,0,0,2003232,0,0,0,-64.5043,92.428,1,-64.5043,92.428,1
0,0,0,2003233,0,0,0,-64.558,91.9667,1,-64.558,91.9667,1
0,0,0,2003234,0,0,0,-64.558,91.9667,1,-64.558,91.9667,1
0,0,0,2003235,0,0,0,-64.4666,91.7799,1,-64.4666,91.7799,1
0,0,0,2003236,0,0,0,-64.4045,91.868,1,-64.4045,91.868,1
0,0,0,2003237,0,0,0,-64.4105,91.9933,1,-64.4105,91.9933,1
0,0,0,2003238,0,0,0,-64.4115,91.9239,1,-64.4133,91.7992,1
0,0,0,2003239,0,0,0,-64.3318,91.8054,1,-64.3318,91.8054,1
0,0,0,2003240,0,0,0,-64.252,91.9186,1,-64.252,91.9186,1
0,0,0,2003241,0,0,0,-64.2708,91.851,1,-64.2708,91.851,1
0,0,0,2003242,0,0,0,-64.4277,91.5154,1,-64.4277,91.5154,1
0,0,0,2003243,0,0,0,-64.4902,91.3275,1,-64.4902,91.3275,1
0,0,0,2003244,0,0,0,-64.6016,91.2372,1,-64.6016,91.2372,1
0,0,0,2003245,0,0,0,-64.6168,91.095,1,-64.6168,91.095,1
0,0,0,2003246,0,0,0,-64.6168,91.095,1,-64.6168,91.095,1
0,0,0,2003247,0,0,0,-64.6695,90.9774,1,-64.6695,90.9774,1
0,0,0,2003248,0,0,0,-64.6695,90.9774,1,-64.6944,90.7841,0
0,0,0,2003249,0,0,0,-64.6695,90.9774,1,-64.7141,90.5379,0
0,0,0,2003250,0,0,0,-64.6695,90.9774,1,-64.727,90.3261,0
0,0,0,2003251,0,0,0,-64.7317,90.2361,1,-64.7317,90.2361,1
0,0,0,2003252,0,0,0,-64.7317,90.2361,1,-64.7102,90.3507,0
0,0,0,2003253,0,0,0,-64.7317,90.2361,1,-64.6631,90.6057,0
0,0,0,2003254,0,0,0,-64.7317,90.2361,1,-64.6159,90.8679,0
0,0,0,2003255,0,0,0,-64.5944,91.0039,1,-64.5944,91.0039,1
0,0,0,2003256,0,0,0,-64.62,91.0221,1,-64.62,91.0221,1
0,0,0,2003257,0,0,0,-64.7051,90.8007,1,-64.7051,90.8007,1
0,0,0,2003258,0,0,0,-64.7326,90.6243,1,-64.7326,90.6243,1
0,0,0,2003259,0,0,0,-64.716,90.4172,1,-64.716,90.4172,1
0,0,0,2003260,0,0,0,-64.716,90.4172,1,-64.716,90.4172,1
0,0,0,2003261,0,0,0,-64.6745,90.3088,1,-64.6745,90.3088,1
0,0,0,2003262,0,0,0,-64.6649,90.3208,1,-64.6649,90.3208,1
0,0,0,2003263,0,0,0,-64.6059,90.2167,1,-64.6059,90.2167,1
0,0,0,2003264,0,0,0,-64.6138,90.16,1,-64.6138,90.16,1
0,0,0,2003265,0,0,0,-64.6138,90.16,1,-64.6138,90.16,1
0,0,0,2003266,0,0,0,-64.6138,90.16,1,-64.6138,90.16,1
0,0,0,2003267,0,0,0,-64.5621,89.9482,1,-64.5621,89.9482,1
0,0,0,2003268,0,0,0,-64.6512,89.7997,1,-64.6512,89.7997,1
