ascat_1,ascat_2,ascat_3,date
-69.833,-60.367,1,2015365
-69.833,-60.367,1,2016001
-69.833,-60.367,1,2016002
-69.833,-60.367,1,2016003
-69.833,-60.367,1,2016004
-69.833,-60.367,1,2016005
-69.7445,-60.4553,1,2016006
-69.7445,-60.4553,1,2016007
-69.7445,-60.4553,1,2016008
-69.7445,-60.4553,1,2016009
-69.7445,-60.4553,1,2016010
-69.7445,-60.4553,1,2016011
-69.7445,-60.4553,1,2016012
-69.738,-60.3494,0,2016013
-69.7314,-60.2435,1,2016014
-69.7314,-60.2435,1,2016015
-69.7314,-60.2435,1,2016016
-69.7314,-60.2435,1,2016017
-69.7314,-60.2435,0,2016018
-69.7314,-60.2435,1,2016019
-69.7314,-60.2435,1,2016020
-69.7314,-60.2435,1,2016021
-69.7314,-60.2435,1,2016022
-69.7314,-60.2435,1,2016023
-69.8117,-60.2508,1,2016024
-69.8725,-60.2153,1,2016025
-69.9547,-60.1099,1,2016026
-70.0358,-60.1104,1,2016027
-69.9693,-60.2536,1,2016028
-69.9693,-60.2536,1,2016029
-69.9693,-60.2536,1,2016030
-69.9693,-60.2536,0,2016031
-69.9693,-60.2536,1,2016032
-69.9693,-60.2536,1,2016033
-69.9693,-60.2536,1,2016034
-69.9693,-60.2536,1,2016035
-69.9693,-60.2536,1,2016036
-69.9693,-60.2536,1,2016037
-69.9693,-60.2536,1,2016038
-69.9693,-60.2536,0,2016039
-69.9693,-60.2536,1,2016040
-69.9693,-60.2536,1,2016041
-69.8634,-60.2936,1,2016042
-69.8634,-60.2936,1,2016043
-69.8634,-60.2936,1,2016044
-69.8634,-60.2936,1,2016045
-69.9328,-60.2534,1,2016046
-69.9328,-60.2534,1,2016047
-69.9861,-60.2596,1,2016048
-69.9861,-60.2596,1,2016049
-69.9861,-60.2596,1,2016050
-69.9861,-60.2596,1,2016051
-69.9861,-60.2596,1,2016052
-69.9861,-60.2596,1,2016053
-69.9176,-60.2351,1,2016054
-69.9176,-60.2351,1,2016055
-69.9176,-60.2351,1,2016056
-69.782,-60.2251,1,2016057
-69.7166,-60.203,1,2016058
-69.7166,-60.203,1,2016059
-69.7166,-60.203,0,2016060
-69.7166,-60.203,1,2016061
-69.7166,-60.203,1,2016062
-69.7166,-60.203,1,2016063
-69.7166,-60.203,1,2016064
-69.7166,-60.203,1,2016065
-69.7166,-60.203,1,2016066
-69.7166,-60.203,1,2016067
-69.7166,-60.203,0,2016068
-69.7166,-60.203,1,2016069
-69.7166,-60.203,1,2016070
-69.7166,-60.203,1,2016071
-69.7166,-60.203,1,2016072
-69.7166,-60.203,1,2016073
-69.7166,-60.203,1,2016074
-69.7166,-60.203,0,2016075
-69.7166,-60.203,1,2016076
-69.7166,-60.203,1,2016077
-69.7166,-60.203,1,2016078
-69.7166,-60.203,1,2016079
-69.7166,-60.203,1,2016080
-69.7166,-60.203,1,2016081
-69.7166,-60.203,0,2016082
-69.7166,-60.203,1,2016083
-69.7166,-60.203,1,2016084
-69.7166,-60.203,1,2016085
-69.7166,-60.203,1,2016086
-69.7166,-60.203,1,2016087
-69.7166,-60.203,1,2016088
-69.7166,-60.203,0,2016089
-69.7166,-60.203,1,2016090
-69.7166,-60.203,1,2016091
-69.7166,-60.203,1,2016092
-69.7166,-60.203,1,2016093
-69.7166,-60.203,1,2016094
-69.7166,-60.203,1,2016095
-69.6756,-60.2549,0,2016096
-69.6345,-60.3068,1,2016097
-69.6345,-60.3068,1,2016098
-69.6345,-60.3068,1,2016099
-69.6345,-60.3068,1,2016100
-69.6345,-60.3068,1,2016101
-69.6345,-60.3068,1,2016102
-69.5599,-60.2281,1,2016103
-69.5625,-60.2619,1,2016104
-69.5625,-60.2619,1,2016105
-69.5625,-60.2619,1,2016106
-69.5625,-60.2619,1,2016107
-69.5625,-60.2619,1,2016108
-69.5625,-60.2619,1,2016109
-69.5625,-60.2619,0,2016110
-69.5625,-60.2619,1,2016111
-69.4897,-60.3804,1,2016112
-69.4897,-60.3804,1,2016113
-69.4897,-60.3804,1,2016114
-69.4897,-60.3804,1,2016115
-69.4363,-60.2734,0,2016116
-69.3693,-60.1447,1,2016117
-69.3505,-60.116,1,2016118
-69.3505,-60.116,1,2016119
-69.3505,-60.116,1,2016120
-69.2762,-60.2034,1,2016121
-69.2166,-60.0388,1,2016122
-69.2166,-60.0388,0,2016123
-69.2166,-60.0388,1,2016124
-69.2166,-60.0388,1,2016125
-69.2166,-60.0388,1,2016126
-69.2166,-60.0388,1,2016127
-69.2166,-60.0388,1,2016128
-69.2166,-60.0388,1,2016129
-69.2166,-60.0388,0,2016130
-69.2166,-60.0388,1,2016131
-69.1035,-59.9993,1,2016132
-69.1035,-59.9993,1,2016133
-69.09,-59.9803,0,2016134
-69.061,-59.9355,0,2016135
-69.0336,-59.8835,1,2016136
-69.0142,-59.8215,1,2016137
-69.0346,-59.8561,1,2016138
-68.9897,-59.8937,1,2016139
-68.9897,-59.8937,1,2016140
-68.9897,-59.8937,1,2016141
-68.9897,-59.8937,1,2016142
-68.9897,-59.8937,1,2016143
