ascat_1,ascat_2,ascat_3,date
-75.1556,163.64,1,2016098
-75.0897,163.7912,1,2016099
-75.0107,164.0036,1,2016100
-74.9393,164.3209,1,2016101
-74.9702,164.7191,1,2016102
-74.9123,164.9551,1,2016103
-74.9123,164.9551,1,2016104
-74.8883,165.0076,0,2016105
-74.839,165.1139,1,2016106
-74.7658,165.2637,1,2016107
-74.7658,165.2637,1,2016108
-74.7658,165.2637,1,2016109
-74.7658,165.2637,1,2016110
-74.7658,165.2637,1,2016111
-74.7551,165.3952,1,2016112
-74.7551,165.3952,1,2016113
-74.7551,165.3952,1,2016114
-74.7551,165.3952,1,2016115
-74.7597,165.4472,0,2016116
-74.7643,165.5183,1,2016117
-74.7344,165.5476,1,2016118
-74.7344,165.5476,1,2016119
-74.674,165.7418,1,2016120
-74.6989,165.7853,1,2016121
-74.6989,165.7853,1,2016122
-74.6769,165.7724,0,2016123
-74.6548,165.7595,1,2016124
-74.6754,165.898,1,2016125
-74.6483,165.8107,1,2016126
-74.6341,165.9143,1,2016127
-74.6276,165.9653,1,2016128
-74.6232,166.0593,1,2016129
-74.6023,166.1001,0,2016130
-74.5847,166.1173,1,2016131
-74.5847,166.1173,1,2016132
-74.5847,166.1173,1,2016133
-74.5847,166.1173,0,2016134
-74.5847,166.1173,0,2016135
-74.5847,166.1173,0,2016136
-74.5847,166.1173,1,2016137
-74.5847,166.1173,1,2016138
-74.5847,166.1173,1,2016139
-74.5847,166.1173,1,2016140
-74.5847,166.1173,1,2016141
-74.5847,166.1173,1,2016142
-74.5847,166.1173,1,2016143
-74.5847,166.1173,0,2016144
-74.5847,166.1173,1,2016145
-74.5438,166.2891,1,2016146
-74.5141,166.4717,1,2016147
-74.5134,166.4497,1,2016148
-74.5134,166.4497,1,2016149
-74.5134,166.4497,1,2016150
-74.5134,166.4497,1,2016151
-74.5134,166.4497,1,2016152
-74.5134,166.4497,1,2016153
-74.5134,166.4497,1,2016154
-74.5015,166.5937,0,2016155
-74.4895,166.7377,1,2016156
-74.4895,166.7377,1,2016157
-74.4381,166.9148,1,2016158
-74.4573,167.0309,1,2016159
-74.3685,167.1283,1,2016160
-74.31,167.3528,1,2016161
-74.31,167.3528,0,2016162
-74.31,167.3528,1,2016163
-74.31,167.3528,1,2016164
-74.31,167.3528,1,2016165
-74.2362,167.6742,1,2016182
-74.2362,167.6742,1,2016183
-74.2362,167.6742,1,2016184
-74.2362,167.6742,0,2016185
-74.2362,167.6742,1,2016186
-74.2362,167.6742,0,2016187
-74.2362,167.6742,1,2016188
-74.2362,167.6742,1,2016189
-74.2362,167.6742,1,2016190
-74.2362,167.6742,1,2016191
-74.2362,167.6742,1,2016192
-74.2362,167.6742,1,2016193
-74.2333,167.7905,0,2016194
-74.2303,167.9068,1,2016195
-74.2391,167.8773,1,2016196
-74.2592,167.8615,1,2016197
-74.2692,167.8535,1,2016198
-74.2786,167.8461,1,2016199
-74.2736,167.8501,0,2016200
-74.2685,167.8541,1,2016201
-74.2685,167.8541,1,2016202
-74.2685,167.8541,1,2016203
-74.2685,167.8541,1,2016204
-74.2685,167.8541,1,2016205
-74.2685,167.8541,1,2016206
