Iceberg,Date,Latitude,Longitude
a57a,2019214,-42.57,-33.92
c19c,2013077,-44.43,-1.94
c16,2014157,-46.21,26.13
a20b,1988024,-46.30,-24.00
a43g,2003243,-46.60,-13.80
b15k,2016337,-46.73,-32.83
b15b,2014007,-47.60,-6.44
c20,2006064,-47.66,105.80
a56,2016239,-47.82,-23.25
a22a,2007129,-48.33,-30.33
b09a,2003276,-48.88,-11.88
a34a,2005113,-49.03,-20.39
b15d,2008330,-49.06,-37.51
a24d,1992131,-49.10,-54.40
a22c,2001315,-49.20,8.10
a24a,1992131,-49.30,-54.60
a24c,1992131,-49.30,-54.50
a24b,1992131,-49.30,-54.50
b15f,2013074,-49.47,-29.76
a08,1980034,-49.50,-29.00
a43f,2008340,-49.53,-28.54
a01,1979126,-50.20,-26.30
a38e,2004215,-50.25,-17.62
a09,1980013,-50.40,-31.50
b15z,2018159,-50.43,-39.60
a43k,2008321,-50.50,-30.47
a24,1992068,-50.70,-47.00
a10,1980041,-50.80,-39.20
b15a,2009025,-50.85,-149.19
a76f,2023237,-51.17,-36.92
a76e,2023195,-51.19,-40.76
b10a,2000058,-51.20,-34.60
a38f,2004152,-51.26,-22.00
a22b,2000184,-51.40,-39.30
a76j,2023195,-51.40,-39.39
a53a,2008116,-51.44,-33.25
b09h,2017307,-51.65,-33.48
a76a,2023230,-51.65,-37.72
a76l,2023230,-51.75,-38.48
a65,2016048,-51.82,-35.20
a66,2016316,-51.85,-28.48
a20a,1988087,-51.90,-30.00
a38a,2004126,-51.98,-29.42
a38c,2004004,-52.01,-40.73
a43b,2004045,-52.02,-41.80
b17b,2009306,-52.03,104.70
b17a,2015136,-52.05,-37.43
a43a,2005030,-52.06,-23.79
a38d,2004028,-52.07,-24.70
a68e,2021036,-52.26,-37.64
a47,2003080,-52.29,-46.41
a76m,2023216,-52.49,-38.14
c02,1989358,-52.50,-42.50
a68c,2020311,-52.52,-31.20
a68a,2021109,-52.53,-32.65
b15t,2018339,-52.58,-28.47
a38b,2004304,-52.66,-37.48
a43c,2003298,-52.70,-28.74
b09d,2018103,-52.72,-14.52
a68i,2021050,-52.72,-35.81
b15j,2012009,-52.80,-144.88
a76h,2023230,-52.84,-38.20
c19d,2009287,-52.87,-46.71
a76d,2023216,-52.87,-37.02
b15aa,2020073,-52.97,-30.88
a68h,2021071,-52.98,-36.40
b19,2003047,-53.20,-166.80
b31a,2018190,-53.24,-53.86
a43i,2003292,-53.40,-40.40
a43e,2005352,-53.42,-28.72
b15n,2011303,-53.56,93.38
a62,2013218,-53.59,-30.18
d11,2001063,-53.60,-25.40
a68j,2021071,-53.71,-35.96
c19c1,2013024,-53.72,-35.74
a43j,2005081,-53.73,-44.56
a46,2003061,-53.80,-45.50
b15ac,2019046,-53.80,-27.05
a62a,2013234,-53.89,-25.88
a76i,2023147,-53.95,-42.32
b15y,2016201,-54.01,-42.44
b15j1,2011351,-54.08,-154.46
a76g,2023146,-54.10,-40.22
b16,2019326,-54.12,-31.42
c28a,2013196,-54.14,88.28
b15w,2011275,-54.15,85.20
a04,1979294,-54.20,-30.80
a61,2018033,-54.32,-12.10
b27,2013354,-54.39,-133.69
a48,2004028,-54.45,-38.35
a76k,2023216,-54.51,-38.42
b15x,2016043,-54.57,-37.34
a02,1979294,-54.60,-32.80
c21a,2008208,-54.62,-40.61
a52,2006112,-54.68,-37.62
a32a,1995345,-54.73,-50.26
b09i,2022112,-54.76,-26.98
a29,1992033,-55.20,-38.80
b14,2001336,-55.20,-146.20
a16,1982101,-55.20,-38.90
a68d,2021015,-55.24,-36.36
a68g,2021071,-55.41,-35.87
a68k,2021050,-55.47,-34.42
d04,1979343,-55.50,84.00
c18a,2009320,-55.51,-39.57
b09f,2019138,-55.62,-41.09
b15r,2016127,-55.63,-9.20
a68p,2021057,-55.66,-34.84
c19a,2008209,-55.73,-134.88
a68n,2021057,-55.80,-34.48
a68o,2021050,-55.92,-35.16
b09j,2019123,-55.98,-41.87
a28,1992271,-56.15,-38.39
b14b,2001287,-56.15,-152.20
a68m,2021043,-56.44,-36.21
a68f,2020360,-56.49,-35.00
a68l,2021044,-56.97,-33.40
d21b,2021131,-57.04,-25.71
d21a,2018041,-57.37,-24.90
b31,2018251,-57.56,-49.46
c06,1993201,-57.61,84.54
a31,1992235,-57.68,-52.93
c28b,2018204,-57.77,-42.12
b50,2022259,-57.85,-149.11
a25,1990084,-58.00,-40.50
c07,1992265,-58.05,-44.57
b15p,2007077,-58.13,154.20
a21a,1987361,-58.20,-44.80
a03,1979035,-58.30,-43.90
a69c,2022264,-58.46,-49.37
a50,2003166,-59.00,-50.50
c04,1979357,-59.00,91.00
a69b,2022253,-59.08,-53.00
a26,1988108,-59.50,-46.20
c08,2009326,-59.54,-38.86
b15u,2008111,-59.67,179.43
b15l,2009326,-59.77,-33.64
b01,1986033,-59.80,-47.00
a70,2023182,-59.82,-52.59
a68b,2020213,-59.87,-56.81
a64,2022348,-59.95,-48.48
a69a,2023012,-60.06,-48.23
a23b,1999312,-60.12,-32.07
b04,1985055,-60.40,-37.80
e20,1999312,-60.80,-36.20
a05,1979308,-60.80,-51.00
b42,2022298,-60.89,-133.62
d29b,2023230,-60.90,-54.80
a54a,2007042,-60.93,-52.77
c26,2011044,-60.97,-179.59
a17,1983149,-61.00,-49.20
d30b,2023230,-61.14,-47.53
d28,2023230,-61.16,-53.31
b15i,2010108,-61.22,167.25
d29a,2023230,-61.35,-29.92
a33,1994163,-61.40,-51.20
a06,1980013,-61.60,-53.40
e15,1998345,-61.94,74.14
d30a,2023223,-61.94,-54.83
b02,1985363,-62.00,-163.20
d29c,2023230,-62.02,-42.00
d31,2023216,-62.33,-48.18
a63,2021337,-62.33,-50.63
a54,2006134,-62.52,-59.50
b30,2018265,-62.54,-145.96
a53b,2006274,-63.00,-53.65
b15q,2008335,-63.05,96.25
a49,2003026,-63.10,-52.00
a78,2023230,-63.35,-39.05
b06,1991174,-63.40,-146.30
b09g,2014002,-63.50,95.05
a57b,2018230,-63.54,-54.92
a55,2009216,-63.60,-56.48
c09,2002318,-63.90,99.06
