Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update,,,,,,,,
A23A,44,40,-75.79,-41.06,belle (grounded),2/28/2020,,,,,,,,
A63,11,3,-76.28,-46.83,belle (grounded),2/28/2020,,,,,,,,
A64,16,11,-69.73,-60.98,belle (grounded),2/28/2020,,,,,,,,
A68A,82,26,-62.62,-53.23,belle,2/28/2020,,,,,,,,
A68B,7,3,-64.22,-55.98,belle,2/28/2020,,,,,,,,
B09B,27,9,-66.25,143.31,wilke,2/28/2020,,,,,,,,
B09G,12,7,-67.95,41.70,amerw (grounded),2/28/2020,,,,,,,,
B09I,12,6,-68.29,32.74,amerw,2/28/2020,,,,,,,,
B15AA,11,6,-53.12,-30.58,belle,2/28/2020,,,,,,,,
B15AB,11,4,-66.01,51.12,amerw (grounded),2/28/2020,,,,,,,,
B16,6,2,-58.48,-22.87,weddw,2/28/2020,,,,,,,,
B22A,44,24,-73.97,-109.28,amune (grounded),2/28/2020,,,,,,,,
B28,10,7,-74.69,-108.78,amune (grounded),2/28/2020,,,,,,,,
B29,11,5,-74.52,-108.91,amune (grounded),2/28/2020,,,,,,,,
B37,8,3,-72.67,-111.51,amune,2/28/2020,,,,,,,,
B38,6,4,-76.99,-155.01,rosse,2/28/2020,,,,,,,,
B39,8,4,-68.39,76.77,amere,2/28/2020,,,,,,,,
B40,8,5,-65.64,132.20,wilke,2/28/2020,,,,,,,,
B42,13,4,-73.05,-125.69,amunw (grounded),2/28/2020,,,,,,,,
B43,10,5,-70.66,-176.79,rossc,2/28/2020,,,,,,,,
B45,8,6,-74.69,-109.35,amune (grounded),2/28/2020,,,,,,,,
B46,10,4,-74.44,-105.57,amune,2/28/2020,,,,,,,,
B47,19,5,-73.78,-133.75,amunw,2/28/2020,,,,,,,,
B48,12,2,-73.50,-114.48,amune,2/28/2020,,,,,,,,
B49,10,5,-74.79,-102.22,amune,2/28/2020,,,,,,,,
C15,14,10,-66.01,143.33,wilke,2/28/2020,,,,,,,,
C18B,20,4,-65.46,113.84,wilkw (grounded),2/28/2020,,,,,,,,
C21B,12,8,-64.99,95.86,wilkw (grounded),2/28/2020,,,,,,,,
C24,11,3,-64.84,96.02,wilkw (grounded),2/28/2020,,,,,,,,
C29,5,5,-66.10,142.86,wilke (grounded),2/28/2020,,,,,,,,
C30,9,3,-64.78,96.30,wilkw (grounded),2/28/2020,,,,,,,,
C31,9,3,-64.69,96.51,wilkw (grounded),2/28/2020,,,,,,,,
C33,8,4,-65.82,141.92,wilke,2/28/2020,,,,,,,,
C34,11,5,-65.63,108.73,wilkw,2/28/2020,,,,,,,,
C35,12,5,-68.24,148.22,wilke (grounded),2/28/2020,,,,,,,,
C36,23,16,-68.11,147.85,wilke (grounded),2/28/2020,,,,,,,,
D15A,51,24,-66.65,81.92,amere (grounded),2/28/2020,,,,,,,,
D15B,33,12,-66.99,81.58,amere (grounded),2/28/2020,,,,,,,,
D20A,20,9,-68.68,36.23,amerw,2/28/2020,,,,,,,,
D21B,11,4,-75.09,-35.06,belle,2/28/2020,,,,,,,,
D23,8,6,-69.43,74.67,amere (grounded),2/28/2020,,,,,,,,
D26,19,2,-69.36,29.40,wedde (grounded),2/28/2020,,,,,,,,
D27,8,5,-67.27,81.87,amere (grounded),2/28/2020,,,,,,,,
D28,29,19,-67.29,72.19,amere (grounded),2/28/2020,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
