Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.90,-40.02,belle,1/14/2022
A64,11,8,-67.13,-59.15,belle,1/14/2022
A69A,10,9,-67.02,-58.66,belle,1/14/2022
A69B,10,5,-66.57,-59.86,belle,1/14/2022
A69C,10,3,-66.58,-58.59,belle,1/14/2022
A70,8,5,-67.07,-60.03,belle,1/14/2022
A74,30,18,-77.61,-37.50,belle,1/14/2022
A76A,73,14,-72.02,-58.08,belle,1/14/2022
A76B,20,7,-73.05,-58.67,belle,1/14/2022
A76C,16,7,-70.00,-60.04,belle,1/14/2022
A77,27,4,-74.78,-26.30,weddw,1/14/2022
A78,18,4,-70.92,-11.84,weddw,1/14/2022
B09B,24,8,-66.24,143.47,wilke,1/14/2022
B09G,11,7,-68.19,41.82,amerw,1/14/2022
B09I,12,6,-57.34,-29.43,weddw,1/14/2022
B15AB,11,4,-66.08,50.59,amerw,1/14/2022
B22A,38,24,-73.89,-109.40,amune (grounded),1/14/2022
B28,9,6,-74.64,-108.77,amune (grounded),1/14/2022
B29,11,5,-74.47,-108.92,amune (grounded),1/14/2022
B38,6,4,-77.01,-155.04,rosse,1/14/2022
B39,8,4,-74.88,-28.63,weddw,1/14/2022
B40,6,5,-65.61,132.13,wilke,1/14/2022
B42,12,4,-71.55,-147.72,amunw,1/14/2022
B45,7,6,-74.67,-109.32,amune (grounded),1/14/2022
B46,10,4,-71.67,-133.18,amune,1/14/2022
B47,12,5,-73.86,-134.02,amunw,1/14/2022
B50,15,6,-67.99,-167.14,rosse,1/14/2022
C15,12,8,-65.96,143.27,wilke,1/14/2022
C18B,19,4,-66.59,89.55,amere (grounded),1/14/2022
C21B,11,8,-64.98,95.85,wilkw (grounded),1/14/2022
C24,11,2,-64.84,96.02,wilkw (grounded),1/14/2022
C29,5,5,-66.07,142.83,wilke,1/14/2022
C30,9,3,-64.78,96.30,wilkw (grounded),1/14/2022
C31,9,3,-64.68,96.51,wilkw (grounded),1/14/2022
C33,8,4,-65.42,126.60,wilke (grounded),1/14/2022
C35,7,5,-67.30,148.04,wilke,1/14/2022
C36,22,15,-67.92,147.51,wilke (grounded),1/14/2022
D15A,51,24,-66.63,81.92,amere (grounded),1/17/2022
D15B,33,12,-66.98,81.58,amere (grounded),1/14/2022
D20A,19,9,-69.95,23.56,wedde,1/14/2022
D23,8,6,-69.43,74.68,amere (grounded),1/14/2022
D26,19,2,-69.36,29.40,wedde (grounded),1/14/2022
D27,8,5,-69.62,23.03,wedde,1/14/2022
D28,29,19,-73.67,-26.30,weddw,1/14/2022
D29A,15,9,-73.60,-22.78,weddw,1/14/2022
D29B,13,7,-71.21,-13.82,weddw,1/14/2022
D29C,13,6,-73.57,-25.02,weddw,1/14/2022
D30A,37,11,-74.73,-28.26,weddw,1/14/2022
D30B,10,5,-73.37,-23.58,weddw,1/14/2022
