Weddel_Sea,Indian_Ocean,Pacific_Ocean,Ross_Sea,Bell_Amun_Sea
622387.0,579828.0,487632.0,114159.0,208993.0
1060798.0,594491.0,343312.0,240200.0,331359.0
823859.0,549974.0,555797.0,473724.0,304323.0
495755.0,591977.0,548716.0,235050.0,245689.0
762178.0,613383.0,547783.0,643887.0,286271.0
726693.0,700486.0,436849.0,389412.0,135499.0
887532.0,694726.0,472921.0,586604.0,12570.0
676829.0,587749.0,389793.0,393516.0,357434.0
1556728.0,820218.0,329256.0,665895.0,202263.0
721082.0,794057.0,359972.0,440420.0,27892.0
511929.0,609004.0,364587.0,579681.0,106296.0
177233.0,656808.0,383558.0,552033.0,592092.0
871265.0,595688.0,238301.0,375748.0,339282.0
1437269.0,782144.0,446138.0,657544.0,173416.0
546880.0,618420.0,462846.0,417067.0,210135.0
667765.0,667836.0,337559.0,354654.0,240809.0
1196217.0,707500.0,426561.0,564377.0,159482.0
821078.0,577430.0,383025.0,435665.0,396911.0
933248.0,703277.0,312917.0,307122.0,73303.0
892750.0,788776.0,372321.0,691350.0,265400.0
926499.0,707334.0,522163.0,675815.0,382313.0
605343.0,625618.0,290992.0,420549.0,87932.0
920508.0,790023.0,421105.0,771247.0,509194.0
663025.0,675632.0,362264.0,241996.0,284529.0
1072607.0,803456.0,414358.0,482257.0,270521.0
940851.0,768147.0,401581.0,577402.0,181143.0
1048495.0,825359.0,349713.0,650338.0,109001.0
954611.0,688059.0,475749.0,688071.0,193909.0
719813.0,685113.0,371000.0,749830.0,367422.0
1271066.0,791135.0,454687.0,724928.0,346377.0
652191.0,907786.0,361061.0,427739.0,535253.0
1049114.0,923605.0,456786.0,855914.0,416318.0
1272508.0,589190.0,535387.0,732278.0,162625.0
807533.0,721956.0,368058.0,293397.0,346103.0
558167.0,633530.0,533740.0,641739.0,560899.0
1013656.0,882033.0,352061.0,804638.0,469330.0
1000342.0,778471.0,476793.0,547844.0,405419.0
1236090.0,581035.0,323452.0,481270.0,344361.0
883668.0,739789.0,529576.0,627804.0,310279.0
990673.0,713701.0,394002.0,694516.0,315556.0
893465.0,642904.0,372241.0,469556.0,301044.0
1375586.0,784861.0,486952.0,674237.0,370553.0
1156766.0,918436.0,513500.0,918021.0,378612.0
