Latitude,Area
0.11,162
0.224,163
0.339,164
0.454,164
0.569,165
0.684,165
0.8,166
0.916,167
1.032,167
1.148,168
1.265,169
1.382,170
1.499,170
1.616,171
1.733,172
1.851,172
1.969,173
2.087,174
2.206,174
2.324,175
2.443,176
2.562,176
2.682,177
2.801,178
2.921,179
3.041,179
3.161,180
3.282,181
3.403,181
3.524,182
3.645,183
3.767,184
3.888,184
4.01,185
4.133,186
4.255,186
4.378,187
4.501,188
4.624,189
4.748,189
4.871,190
4.995,191
5.119,192
5.244,193
5.369,193
5.494,194
5.619,195
5.744,196
5.87,196
5.996,197
6.122,198
6.248,199
6.375,200
6.502,200
6.629,201
6.757,202
6.884,203
7.012,203
7.141,204
7.269,205
7.398,206
7.527,207
7.656,208
7.785,208
7.915,209
8.045,210
8.175,211
8.306,212
8.437,213
8.568,213
8.699,214
8.831,215
8.962,216
9.094,217
9.227,218
9.359,218
9.492,219
9.625,220
9.759,221
9.892,222
10.026,223
10.16,224
10.295,225
10.429,225
10.564,226
10.699,227
10.835,228
10.971,229
11.107,230
11.243,231
11.379,232
11.516,233
11.653,234
11.791,234
11.928,235
12.066,236
12.204,237
12.343,238
12.481,239
12.62,240
12.76,241
12.899,242
13.039,243
13.179,244
13.319,245
13.46,246
13.601,247
13.742,248
13.883,248
14.025,249
14.167,250
14.309,251
14.451,252
14.594,253
14.737,254
14.881,255
15.024,256
15.168,257
15.312,258
15.457,259
15.601,260
15.746,261
15.892,262
16.037,263
16.183,264
16.329,265
16.475,266
16.622,267
16.769,268
16.916,269
17.064,270
17.211,271
17.36,272
17.508,273
17.656,275
17.805,276
17.955,277
18.104,278
18.254,279
18.404,280
18.554,281
18.705,282
18.856,283
19.007,284
19.158,285
19.31,286
19.462,287
19.614,288
19.767,289
19.92,290
20.073,292
20.227,293
20.38,294
20.534,295
20.689,296
20.843,297
20.998,298
21.153,299
21.309,300
21.465,301
21.621,303
21.777,304
21.934,305
22.091,306
22.248,307
22.405,308
22.563,309
22.721,311
22.88,312
23.038,313
23.197,314
23.356,315
23.516,316
23.676,317
23.836,319
23.996,320
24.157,321
24.318,322
24.479,323
24.641,324
24.803,326
24.965,327
25.128,328
25.29,329
25.453,330
25.617,332
25.78,333
25.944,334
26.108,335
26.273,336
26.438,338
26.603,339
26.768,340
26.934,341
27.1,342
27.266,344
27.433,345
27.6,346
27.767,347
27.934,348
28.102,350
28.27,351
28.439,352
28.607,353
28.776,355
28.945,356
29.115,357
29.285,358
29.455,360
29.625,361
29.796,362
29.967,363
30.138,365
30.31,366
30.482,367
30.654,368
30.827,370
30.999,371
31.172,372
31.346,373
31.519,375
31.693,376
31.868,377
32.042,378
32.217,380
32.392,381
32.568,382
32.743,384
32.919,385
33.096,386
33.272,387
33.449,389
33.627,390
33.804,391
33.982,393
34.16,394
34.338,395
34.517,397
34.696,398
34.875,399
35.055,400
35.235,402
35.415,403
35.595,404
35.776,406
35.957,407
36.138,408
36.32,410
36.502,411
36.684,412
36.866,414
37.049,415
37.232,416
37.416,418
37.599,419
37.783,420
37.967,421
38.152,423
38.337,424
38.522,425
38.707,427
38.893,428
39.079,429
39.265,431
39.452,432
39.638,433
39.826,435
40.013,436
40.201,437
40.389,439
40.577,440
40.765,441
40.954,443
41.143,444
41.333,445
41.522,447
41.712,448
41.902,449
42.093,451
42.284,452
42.475,453
42.666,455
42.858,456
43.05,457
43.242,459
43.434,460
43.627,461
43.82,463
44.014,464
44.207,465
44.401,467
44.595,468
44.79,469
44.984,471
45.179,472
45.375,473
45.57,475
45.766,476
45.962,477
46.158,479
46.355,480
46.552,481
46.749,482
46.946,484
47.144,485
47.342,486
47.54,488
47.739,489
47.937,490
48.136,492
48.336,493
48.535,494
48.735,496
48.935,497
49.135,498
49.336,499
49.537,501
49.738,502
49.939,503
50.141,505
50.343,506
50.545,507
50.747,508
50.95,510
51.153,511
51.356,512
51.56,514
51.763,515
51.967,516
52.171,517
52.376,519
52.581,520
52.785,521
52.991,522
53.196,524
53.402,525
53.608,526
53.814,527
54.02,529
54.227,530
54.434,531
54.641,532
54.848,533
55.056,535
55.263,536
55.472,537
55.68,538
55.888,539
56.097,541
56.306,542
56.515,543
56.725,544
56.934,545
57.144,547
57.355,548
57.565,549
57.776,550
57.986,551
58.197,552
58.409,554
58.62,555
58.832,556
59.044,557
59.256,558
59.468,559
59.681,560
59.894,562
60.107,563
60.32,564
60.533,565
60.747,566
60.961,567
61.175,568
61.389,569
61.603,570
61.818,571
62.033,572
62.248,574
62.463,575
62.679,576
62.894,577
63.11,578
63.326,579
63.542,580
63.759,581
63.975,582
64.192,583
64.409,584
64.626,585
64.844,586
65.061,587
65.279,588
65.497,589
65.715,590
65.933,591
66.152,592
66.37,593
66.589,593
66.808,594
67.027,595
67.247,596
67.466,597
67.686,598
67.905,599
68.125,600
68.346,601
68.566,602
68.786,602
69.007,603
69.228,604
69.449,605
69.67,606
69.891,607
70.112,607
70.334,608
70.556,609
70.778,610
70.999,611
71.222,611
71.444,612
71.666,613
71.889,614
72.112,614
72.334,615
72.557,616
72.78,617
73.004,617
73.227,618
73.45,619
73.674,619
73.898,620
74.122,621
74.346,621
74.57,622
74.794,623
75.018,623
75.243,624
75.467,624
75.692,625
75.917,626
76.142,626
76.367,627
76.592,627
76.817,628
77.042,628
77.268,629
77.493,629
77.719,630
77.944,630
78.17,631
78.396,631
78.622,632
78.848,632
79.074,633
79.3,633
79.527,634
79.753,634
79.979,634
80.206,635
80.433,635
80.659,635
80.886,636
81.113,636
81.34,636
81.567,637
81.794,637
82.021,637
82.248,637
82.475,637
82.702,638
82.929,638
83.157,638
83.384,638
83.612,638
83.839,638
84.066,638
84.294,638
84.522,638
84.749,638
84.977,638
85.204,638
85.432,638
85.66,638
85.887,638
86.115,639
86.343,639
86.57,639
86.798,639
87.025,639
87.253,639
87.48,639
87.707,639
87.934,639
88.161,639
88.387,639
88.612,639
88.837,639
89.06,639
89.279,639
89.49,639
89.677,639
89.771,639
